width,dataset,partition,method,alpha,n,rmse,mae,finite,coef_date,coef_state
16,exact_hidden_doy,exact2019,joint,0.10674905914404692,249,0.05687713986397655,0.03914585457008607,244,0.10526890512163468,0.01771494404821819
16,exact_hidden_doy,exact2020,date,0.11997414520409946,222,0.05499852110116029,0.03749404990927908,219,,
16,exact_hidden_doy,exact2020,crop,0.14430534452358784,222,0.05451874455621441,0.03709696131642276,201,,
16,exact_hidden_doy,exact2020,state,0.017416661206540708,222,0.055318347628945296,0.03766257442341367,222,,
16,exact_hidden_doy,exact2020,joint,0.11084074666229093,222,0.055026413549160026,0.037545488674850476,219,0.10741666082141203,0.027337375489097083
16,exact_hidden_doy,exact2021,date,0.13283033298456634,130,0.07707443966904397,0.056805599590187966,126,,
16,exact_hidden_doy,exact2021,crop,0.15831967987306705,130,0.07650226679911923,0.05599739633357396,121,,
16,exact_hidden_doy,exact2021,state,0.040277628085475504,130,0.07727284613675181,0.05690795723816415,130,,
16,exact_hidden_doy,exact2021,joint,0.12514326897327888,130,0.07710569160018657,0.05677825270088511,126,0.1192676028929311,0.03789560224475286
16,exact_hidden_doy,exact2022,date,0.12655327210503128,192,0.06646921757021994,0.04742785417011861,189,,
16,exact_hidden_doy,exact2022,crop,0.14594011894197878,192,0.06589810802101105,0.04714684779485603,185,,
16,exact_hidden_doy,exact2022,state,-0.1686717944951162,192,0.06728852536533564,0.04819172023647481,192,,
16,exact_hidden_doy,exact2022,joint,0.14444393902951422,192,0.0668510404250984,0.04773461800710554,189,0.10962375415841226,-0.09405681286636293
16,exact_hidden_doy,exact2023,date,0.12049817671224657,169,0.0706298044968477,0.04494753287941107,169,,
16,exact_hidden_doy,exact2023,crop,0.18527323039534452,169,0.0710186162044611,0.04526848362280757,155,,
16,exact_hidden_doy,exact2023,state,0.07223792816271009,169,0.07099500861800237,0.04521361359361723,169,,
16,exact_hidden_doy,exact2023,joint,0.1268895893297799,169,0.07075474114914132,0.04507030262744256,169,0.11044179138120937,0.06247862511923274
16,exact_hidden_doy,exact2024,date,0.1560375907539624,152,0.051598161883480945,0.03614318576196137,152,,
16,exact_hidden_doy,exact2024,crop,0.2085912576458372,152,0.05254112787330641,0.03650801971003146,140,,
16,exact_hidden_doy,exact2024,state,0.025174539125194285,152,0.0511800341836421,0.035630466891488244,152,,
16,exact_hidden_doy,exact2024,joint,0.14560802238291662,152,0.05156349279052764,0.03616317617575675,152,0.14088079584634947,0.03680078183902011
24,random_private_like,random0,date,0.20103144517319957,2644,0.0734091577016113,0.043335877931950186,2410,,
24,random_private_like,random0,crop,0.22574337867563565,2644,0.07313731327181636,0.04315805493073777,1924,,
24,random_private_like,random0,state,-0.0699220498885399,2644,0.07339901326406689,0.043430930589718135,2644,,
24,random_private_like,random0,joint,0.2163947611769911,2644,0.07338844247131306,0.043276476801662515,2410,0.1991537771170107,-0.08464316703003878
24,random_private_like,random1,date,0.1397189793256582,2644,0.06615886376568984,0.04307585543062535,2393,,
24,random_private_like,random1,crop,0.18605142003917627,2644,0.06599593132969538,0.04293897945328778,1920,,
24,random_private_like,random1,state,-0.06525991616140871,2644,0.06652580821088966,0.043326159332382964,2644,,
24,random_private_like,random1,joint,0.15727807762515988,2644,0.06613876341979709,0.04303059313912736,2393,0.1388326897659292,-0.07390451917050185
24,random_private_like,random2,date,0.1605412144219083,2644,0.06790447843803359,0.04047164773971485,2403,,
24,random_private_like,random2,crop,0.22100511876732937,2644,0.06789049089242388,0.040448881139974496,1926,,
24,random_private_like,random2,state,-0.07126747366274516,2644,0.06820090388173007,0.04076612796808128,2644,,
24,random_private_like,random2,joint,0.1786333414411358,2644,0.06788660147861206,0.04038724721959921,2403,0.15922165078529288,-0.080983557563444
24,exact_hidden_doy,exact2019,date,0.15623700185280417,249,0.056695252631804596,0.03866295587425415,244,,
24,exact_hidden_doy,exact2019,crop,0.18431111906644906,249,0.056053613597123825,0.038176039011615634,226,,
24,exact_hidden_doy,exact2019,state,0.06835784935562518,249,0.05727036934186429,0.03945665233813811,249,,
24,exact_hidden_doy,exact2019,joint,0.1521609283496012,249,0.056780337896671425,0.03870686196323886,244,0.14377903891039445,0.04980498053624511
24,exact_hidden_doy,exact2020,date,0.17807552235524282,222,0.055470968859419365,0.038111080278646466,219,,
24,exact_hidden_doy,exact2020,crop,0.19658787646820924,222,0.05468150242838059,0.037469072901768125,201,,
24,exact_hidden_doy,exact2020,state,0.07430914669828445,222,0.05547623065465615,0.037865431535094266,222,,
24,exact_hidden_doy,exact2020,joint,0.17083776990360414,222,0.05552462402626929,0.03821046594027616,219,0.1637771179112285,0.048606576451426214
24,exact_hidden_doy,exact2021,date,0.13227791324042007,130,0.07595303538289827,0.055892812364868774,126,,
24,exact_hidden_doy,exact2021,crop,0.18744461173354257,130,0.0755413733419787,0.055223570927656174,121,,
24,exact_hidden_doy,exact2021,state,0.04257644261635601,130,0.07725372430301986,0.05694313895806158,130,,
24,exact_hidden_doy,exact2021,joint,0.12326691079836129,130,0.0760382681844463,0.05598613691911149,126,0.12079892681642627,0.024542831494569782
24,exact_hidden_doy,exact2022,date,0.1586820969796062,192,0.06629477658264511,0.0471791684342577,189,,
24,exact_hidden_doy,exact2022,crop,0.1936012026123151,192,0.06585881916562647,0.046979588936512794,185,,
24,exact_hidden_doy,exact2022,state,-0.056476879148159374,192,0.06682509398092346,0.04777659048798217,192,,
24,exact_hidden_doy,exact2022,joint,0.1563720807524523,192,0.06649253511245533,0.047287920288131204,189,0.14799650629062217,-0.05049021454322902
24,exact_hidden_doy,exact2023,date,0.16264919906176167,169,0.0707079124523367,0.045027500172954336,169,,
24,exact_hidden_doy,exact2023,crop,0.2199903802738601,169,0.07136906277326524,0.04563516906169086,155,,
24,exact_hidden_doy,exact2023,state,0.022162756324337212,169,0.07084741992899135,0.04505916838539016,169,,
24,exact_hidden_doy,exact2023,joint,0.15125981783454587,169,0.07069727309741643,0.04497963426167628,169,0.15115651446175907,0.00558933154429235
24,exact_hidden_doy,exact2024,date,0.1620436788057672,152,0.05079167127619125,0.03554852166596314,152,,
24,exact_hidden_doy,exact2024,crop,0.19813581953846263,152,0.05039350277202879,0.035510093594288895,140,,
24,exact_hidden_doy,exact2024,state,0.021277852645447102,152,0.05113988700128133,0.03558154021162169,152,,
24,exact_hidden_doy,exact2024,joint,0.15092000449711415,152,0.050780387615953985,0.03552763430698367,152,0.15029034058614227,0.013771756747427533
32,random_private_like,random0,date,0.15889983818439518,2644,0.07346051031685659,0.04343436313353441,2410,,
32,random_private_like,random0,crop,0.18004905844363242,2644,0.07321334415485167,0.04327132346214915,1924,,
32,random_private_like,random0,state,-0.09067687828908044,2644,0.0733883175766446,0.043490082680965735,2644,,
32,random_private_like,random0,joint,0.18824961159653225,2644,0.07342613716943631,0.0434427083345077,2410,0.15952632897760055,-0.09994631873748834
32,random_private_like,random1,date,0.10023269701943965,2644,0.06628692712834458,0.04317202339106802,2393,,
32,random_private_like,random1,crop,0.15024500290926854,2644,0.06614876662424059,0.0430184196373946,1920,,
32,random_private_like,random1,state,-0.09490491417861104,2644,0.06652563895709165,0.04343371474303038,2644,,
32,random_private_like,random1,joint,0.14313031126059883,2644,0.0662599535694993,0.043224421431623895,2393,0.10228163041425443,-0.10012369390587708
32,random_private_like,random2,date,0.11642017646176661,2644,0.06801616072615052,0.040594579281905366,2403,,
32,random_private_like,random2,crop,0.17814220305856016,2644,0.0679804229482408,0.04059450815583624,1926,,
32,random_private_like,random2,state,-0.06961250814651626,2644,0.06816025574789535,0.040803409105679145,2644,,
32,random_private_like,random2,joint,0.14223400969095223,2644,0.06795373847969326,0.04057333198469268,2403,0.11793367043094974,-0.07951202985366443
32,exact_hidden_doy,exact2019,date,0.11142260982371972,249,0.05741645662825147,0.039175546440774756,244,,
32,exact_hidden_doy,exact2019,crop,0.1419149814180405,249,0.057411053763036776,0.03904570803854604,226,,
32,exact_hidden_doy,exact2019,state,-0.07177488841859993,249,0.057249423692153766,0.039587399271946364,249,,
32,exact_hidden_doy,exact2019,joint,0.13902756625496634,249,0.057440567523318886,0.03941917067886836,244,0.11172932800917906,-0.0827358534215749
32,exact_hidden_doy,exact2020,date,0.06885962943678166,222,0.05487102078688441,0.03736789211821006,219,,
32,exact_hidden_doy,exact2020,crop,0.09702853292537215,222,0.05439296597629633,0.0370145393178669,201,,
32,exact_hidden_doy,exact2020,state,-0.04274112971546917,222,0.055253018661846044,0.037554827678044876,222,,
32,exact_hidden_doy,exact2020,joint,0.08688279973343459,222,0.05478217049888818,0.037264086149066324,219,0.06998854786448282,-0.05148032689621444
32,exact_hidden_doy,exact2021,date,0.05849609642251858,130,0.07657980723477788,0.05647150318225405,126,,
32,exact_hidden_doy,exact2021,crop,0.0886142515514682,130,0.07581752992630773,0.055807176371525935,121,,
32,exact_hidden_doy,exact2021,state,-0.055417627657211484,130,0.07720554572576516,0.056636011866911945,130,,
32,exact_hidden_doy,exact2021,joint,0.08778744959895679,130,0.07652267218752543,0.05624083018124925,126,0.061670413411632576,-0.06247716716311415
32,exact_hidden_doy,exact2022,date,0.11298042241271482,192,0.06699700955753982,0.0474873212933905,189,,
32,exact_hidden_doy,exact2022,crop,0.12340629257036308,192,0.06622328402442897,0.04708366987607663,185,,
32,exact_hidden_doy,exact2022,state,-0.02677518557206133,192,0.06651361643980298,0.04771043640053144,192,,
32,exact_hidden_doy,exact2022,joint,0.11652477917195606,192,0.06680888304138197,0.04753154708504507,189,0.10933908463950259,-0.040286334299223736
32,exact_hidden_doy,exact2023,date,0.08717034302244919,169,0.07072694884993525,0.044997708246089035,169,,
32,exact_hidden_doy,exact2023,crop,0.14203731036628992,169,0.07129679782981962,0.046014829770313785,155,,
32,exact_hidden_doy,exact2023,state,-0.06757468614952798,169,0.0709266995924741,0.045361608813069894,169,,
32,exact_hidden_doy,exact2023,joint,0.12338623777424508,169,0.07082634358615181,0.04527506688874546,169,0.09168425024428427,-0.082572161950781
32,exact_hidden_doy,exact2024,date,0.09157918274204244,152,0.0510982530029094,0.03542466112274589,152,,
32,exact_hidden_doy,exact2024,crop,0.1305575800887101,152,0.051417797002540594,0.035175420980739794,140,,
32,exact_hidden_doy,exact2024,state,-0.05323969445247029,152,0.05113904058980112,0.03552015674828022,152,,
32,exact_hidden_doy,exact2024,joint,0.11695750351491728,152,0.05109371516038425,0.03548524079231073,152,0.09439020849537531,-0.06906190099209163
45,random_private_like,random0,date,0.08575062402397227,2644,0.0735535729704762,0.043477204502491575,2410,,
45,random_private_like,random0,crop,0.12522325382250948,2644,0.073518912071519,0.0434239246939117,1924,,
45,random_private_like,random0,state,-0.023821987264272638,2644,0.07341450651774356,0.043495392578691006,2644,,
45,random_private_like,random0,joint,0.09598058835310751,2644,0.07356298428057102,0.04352149665629058,2410,0.08853488046039054,-0.03706545942616971
45,random_private_like,random1,date,0.03944662192151649,2644,0.06643543401364303,0.04329450004278151,2393,,
45,random_private_like,random1,crop,0.0787177655199089,2644,0.06626715791765714,0.043209702620937866,1920,,
