route,policy,slice,n,rmse,rmse_base
crop_hier_n1_p67,new2025_0.70,source_modis,1818,0.0635203511,0.0651471604
crop_hier_n1_p67,dist_new2025_0.50,all,10576,0.0667997895,0.0680787938
crop_hier_n1_p67,dist_new2025_0.50,near,6890,0.0646084820,0.0662006592
crop_hier_n1_p67,dist_new2025_0.50,mid,1711,0.0717388934,0.0729940242
crop_hier_n1_p67,dist_new2025_0.50,far,1975,0.0698139339,0.0700986011
crop_hier_n1_p67,dist_new2025_0.50,history,7552,0.0672697116,0.0684564515
crop_hier_n1_p67,dist_new2025_0.50,2025,3024,0.0656115307,0.0671263704
crop_hier_n1_p67,dist_new2025_0.50,new,9068,0.0691299889,0.0704712639
crop_hier_n1_p67,dist_new2025_0.50,shared,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.50,new2025,1516,0.0777365752,0.0797533421
crop_hier_n1_p67,dist_new2025_0.50,shared2025,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.50,new2025_near,1408,0.0767322650,0.0789108893
crop_hier_n1_p67,dist_new2025_0.50,new2025_far,18,0.0911327161,0.0931731510
crop_hier_n1_p67,dist_new2025_0.50,shared2025_near,1431,0.0505139803,0.0513532772
crop_hier_n1_p67,dist_new2025_0.50,shared2025_far,10,0.0969532272,0.0973607376
crop_hier_n1_p67,dist_new2025_0.50,source_s2,4693,0.0654320162,0.0665003066
crop_hier_n1_p67,dist_new2025_0.50,source_landsat,4065,0.0697127508,0.0710960435
crop_hier_n1_p67,dist_new2025_0.50,source_modis,1818,0.0635605669,0.0651471604
crop_hier_n1_p67,dist_new2025_0.55,all,10576,0.0667879079,0.0680787938
crop_hier_n1_p67,dist_new2025_0.55,near,6890,0.0645877370,0.0662006592
crop_hier_n1_p67,dist_new2025_0.55,mid,1711,0.0717471452,0.0729940242
crop_hier_n1_p67,dist_new2025_0.55,far,1975,0.0698126795,0.0700986011
crop_hier_n1_p67,dist_new2025_0.55,history,7552,0.0672697116,0.0684564515
crop_hier_n1_p67,dist_new2025_0.55,2025,3024,0.0655692144,0.0671263704
crop_hier_n1_p67,dist_new2025_0.55,new,9068,0.0691165985,0.0704712639
crop_hier_n1_p67,dist_new2025_0.55,shared,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.55,new2025,1516,0.0776653221,0.0797533421
crop_hier_n1_p67,dist_new2025_0.55,shared2025,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.55,new2025_near,1408,0.0766467557,0.0789108893
crop_hier_n1_p67,dist_new2025_0.55,new2025_far,18,0.0910272098,0.0931731510
crop_hier_n1_p67,dist_new2025_0.55,shared2025_near,1431,0.0505139803,0.0513532772
crop_hier_n1_p67,dist_new2025_0.55,shared2025_far,10,0.0969532272,0.0973607376
crop_hier_n1_p67,dist_new2025_0.55,source_s2,4693,0.0654281021,0.0665003066
crop_hier_n1_p67,dist_new2025_0.55,source_landsat,4065,0.0696847063,0.0710960435
crop_hier_n1_p67,dist_new2025_0.55,source_modis,1818,0.0635670948,0.0651471604
crop_hier_n1_p67,dist_new2025_0.60,all,10576,0.0667800616,0.0680787938
crop_hier_n1_p67,dist_new2025_0.60,near,6890,0.0645729680,0.0662006592
crop_hier_n1_p67,dist_new2025_0.60,mid,1711,0.0717566966,0.0729940242
crop_hier_n1_p67,dist_new2025_0.60,far,1975,0.0698116432,0.0700986011
crop_hier_n1_p67,dist_new2025_0.60,history,7552,0.0672697116,0.0684564515
crop_hier_n1_p67,dist_new2025_0.60,2025,3024,0.0655412588,0.0671263704
crop_hier_n1_p67,dist_new2025_0.60,new,9068,0.0691077556,0.0704712639
crop_hier_n1_p67,dist_new2025_0.60,shared,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.60,new2025,1516,0.0776182391,0.0797533421
crop_hier_n1_p67,dist_new2025_0.60,shared2025,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.60,new2025_near,1408,0.0765858372,0.0789108893
crop_hier_n1_p67,dist_new2025_0.60,new2025_far,18,0.0909399641,0.0931731510
crop_hier_n1_p67,dist_new2025_0.60,shared2025_near,1431,0.0505139803,0.0513532772
crop_hier_n1_p67,dist_new2025_0.60,shared2025_far,10,0.0969532272,0.0973607376
crop_hier_n1_p67,dist_new2025_0.60,source_s2,4693,0.0654289688,0.0665003066
crop_hier_n1_p67,dist_new2025_0.60,source_landsat,4065,0.0696594853,0.0710960435
crop_hier_n1_p67,dist_new2025_0.60,source_modis,1818,0.0635786457,0.0651471604
crop_hier_n1_p67,dist_new2025_0.65,all,10576,0.0667762520,0.0680787938
crop_hier_n1_p67,dist_new2025_0.65,near,6890,0.0645641789,0.0662006592
crop_hier_n1_p67,dist_new2025_0.65,mid,1711,0.0717675474,0.0729940242
crop_hier_n1_p67,dist_new2025_0.65,far,1975,0.0698108251,0.0700986011
crop_hier_n1_p67,dist_new2025_0.65,history,7552,0.0672697116,0.0684564515
crop_hier_n1_p67,dist_new2025_0.65,2025,3024,0.0655276822,0.0671263704
crop_hier_n1_p67,dist_new2025_0.65,new,9068,0.0691034621,0.0704712639
crop_hier_n1_p67,dist_new2025_0.65,shared,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.65,new2025,1516,0.0775953704,0.0797533421
crop_hier_n1_p67,dist_new2025_0.65,shared2025,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.65,new2025_near,1408,0.0765495682,0.0789108893
crop_hier_n1_p67,dist_new2025_0.65,new2025_far,18,0.0908710316,0.0931731510
crop_hier_n1_p67,dist_new2025_0.65,shared2025_near,1431,0.0505139803,0.0513532772
crop_hier_n1_p67,dist_new2025_0.65,shared2025_far,10,0.0969532272,0.0973607376
crop_hier_n1_p67,dist_new2025_0.65,source_s2,4693,0.0654346161,0.0665003066
crop_hier_n1_p67,dist_new2025_0.65,source_landsat,4065,0.0696370908,0.0710960435
crop_hier_n1_p67,dist_new2025_0.65,source_modis,1818,0.0635952169,0.0651471604
crop_hier_n1_p67,dist_new2025_0.70,all,10576,0.0667764797,0.0680787938
crop_hier_n1_p67,dist_new2025_0.70,near,6890,0.0645613722,0.0662006592
crop_hier_n1_p67,dist_new2025_0.70,mid,1711,0.0717796967,0.0729940242
crop_hier_n1_p67,dist_new2025_0.70,far,1975,0.0698102252,0.0700986011
crop_hier_n1_p67,dist_new2025_0.70,history,7552,0.0672697116,0.0684564515
crop_hier_n1_p67,dist_new2025_0.70,2025,3024,0.0655284936,0.0671263704
crop_hier_n1_p67,dist_new2025_0.70,new,9068,0.0691037187,0.0704712639
crop_hier_n1_p67,dist_new2025_0.70,shared,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.70,new2025,1516,0.0775967372,0.0797533421
crop_hier_n1_p67,dist_new2025_0.70,shared2025,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,dist_new2025_0.70,new2025_near,1408,0.0765379838,0.0789108893
crop_hier_n1_p67,dist_new2025_0.70,new2025_far,18,0.0908204539,0.0931731510
crop_hier_n1_p67,dist_new2025_0.70,shared2025_near,1431,0.0505139803,0.0513532772
crop_hier_n1_p67,dist_new2025_0.70,shared2025_far,10,0.0969532272,0.0973607376
crop_hier_n1_p67,dist_new2025_0.70,source_s2,4693,0.0654450427,0.0665003066
crop_hier_n1_p67,dist_new2025_0.70,source_landsat,4065,0.0696175256,0.0710960435
crop_hier_n1_p67,dist_new2025_0.70,source_modis,1818,0.0636168045,0.0651471604
soft_all_r1_l0_p4,fixed040,all,10576,0.0669633799,0.0680787938
soft_all_r1_l0_p4,fixed040,near,6890,0.0647864956,0.0662006592
soft_all_r1_l0_p4,fixed040,mid,1711,0.0718148147,0.0729940242
soft_all_r1_l0_p4,fixed040,far,1975,0.0700097516,0.0700986011
soft_all_r1_l0_p4,fixed040,history,7552,0.0673956483,0.0684564515
soft_all_r1_l0_p4,fixed040,2025,3024,0.0658714655,0.0671263704
soft_all_r1_l0_p4,fixed040,new,9068,0.0693120660,0.0704712639
soft_all_r1_l0_p4,fixed040,shared,1508,0.0505909066,0.0513951813
soft_all_r1_l0_p4,fixed040,new2025,1516,0.0781618131,0.0797533421
soft_all_r1_l0_p4,fixed040,shared2025,1508,0.0505909066,0.0513951813
soft_all_r1_l0_p4,fixed040,new2025_near,1408,0.0771442860,0.0789108893
soft_all_r1_l0_p4,fixed040,new2025_far,18,0.0914698496,0.0931731510
soft_all_r1_l0_p4,fixed040,shared2025_near,1431,0.0504829347,0.0513532772
soft_all_r1_l0_p4,fixed040,shared2025_far,10,0.0968777940,0.0973607376
soft_all_r1_l0_p4,fixed040,source_s2,4693,0.0653996418,0.0665003066
soft_all_r1_l0_p4,fixed040,source_landsat,4065,0.0701824014,0.0710960435
