route,features,group,model,cap,runs,n,rmse,baseline_rmse,delta_rmse,improved_runs
new25,compact,group_aoi,hgb8,0.06,9.0,674.0,0.11866509382336207,0.11781112936276211,0.0008539644605999597,2.0
new25,compact,group_aoi,ridge100,0.01,9.0,674.0,0.11847872841819106,0.11781112936276211,0.000667599055428944,2.0
new25,compact,group_aoi,ridge100,0.02,9.0,674.0,0.11897400619004266,0.11781112936276211,0.0011628768272805429,2.0
new25,compact,group_aoi,ridge100,0.03,9.0,674.0,0.11923795585710066,0.11781112936276211,0.0014268264943385484,2.0
new25,compact,group_aoi,ridge100,0.04,9.0,674.0,0.11935019367766457,0.11781112936276211,0.001539064314902458,2.0
new25,compact,group_aoi,ridge100,0.06,9.0,674.0,0.11945936916659443,0.11781112936276211,0.001648239803832316,1.0
new25,compact,group_aoi,ridge30,0.01,9.0,674.0,0.11850211383340319,0.11781112936276211,0.0006909844706410734,2.0
new25,compact,group_aoi,ridge30,0.02,9.0,674.0,0.11934131370123566,0.11781112936276211,0.0015301843384735447,2.0
new25,compact,group_aoi,ridge30,0.03,9.0,674.0,0.11979934332465687,0.11781112936276211,0.001988213961894761,2.0
new25,compact,group_aoi,ridge30,0.04,9.0,674.0,0.12005319663839623,0.11781112936276211,0.002242067275634113,2.0
new25,compact,group_aoi,ridge30,0.06,9.0,674.0,0.12024163804053294,0.11781112936276211,0.0024305086777708235,1.0
new25,compact,group_aoiyear,hgb8,0.01,9.0,674.0,0.11825997994740405,0.11781112936276211,0.0004488505846419327,1.0
new25,compact,group_aoiyear,hgb8,0.02,9.0,674.0,0.11854350707125638,0.11781112936276211,0.0007323777084942695,2.0
new25,compact,group_aoiyear,hgb8,0.03,9.0,674.0,0.11865460645728544,0.11781112936276211,0.0008434770945233289,2.0
new25,compact,group_aoiyear,hgb8,0.04,9.0,674.0,0.11866509382336207,0.11781112936276211,0.0008539644605999597,2.0
new25,compact,group_aoiyear,hgb8,0.06,9.0,674.0,0.11866509382336207,0.11781112936276211,0.0008539644605999597,2.0
new25,compact,group_aoiyear,ridge100,0.01,9.0,674.0,0.11847872841819106,0.11781112936276211,0.000667599055428944,2.0
new25,compact,group_aoiyear,ridge100,0.02,9.0,674.0,0.11897400619004266,0.11781112936276211,0.0011628768272805429,2.0
new25,compact,group_aoiyear,ridge100,0.03,9.0,674.0,0.11923795585710066,0.11781112936276211,0.0014268264943385484,2.0
new25,compact,group_aoiyear,ridge100,0.04,9.0,674.0,0.11935019367766457,0.11781112936276211,0.001539064314902458,2.0
new25,compact,group_aoiyear,ridge100,0.06,9.0,674.0,0.11945936916659443,0.11781112936276211,0.001648239803832316,1.0
new25,compact,group_aoiyear,ridge30,0.01,9.0,674.0,0.11850211383340319,0.11781112936276211,0.0006909844706410734,2.0
new25,compact,group_aoiyear,ridge30,0.02,9.0,674.0,0.11934131370123566,0.11781112936276211,0.0015301843384735447,2.0
new25,compact,group_aoiyear,ridge30,0.03,9.0,674.0,0.11979934332465687,0.11781112936276211,0.001988213961894761,2.0
new25,compact,group_aoiyear,ridge30,0.04,9.0,674.0,0.12005319663839623,0.11781112936276211,0.002242067275634113,2.0
new25,compact,group_aoiyear,ridge30,0.06,9.0,674.0,0.12024163804053294,0.11781112936276211,0.0024305086777708235,1.0
shared25,candidate,group_aoi,hgb8,0.01,9.0,668.0,0.06287082176692152,0.0632222019435464,-0.00035138017662487975,4.0
shared25,candidate,group_aoi,hgb8,0.02,9.0,668.0,0.06298176216124615,0.0632222019435464,-0.00024043978230024743,4.0
shared25,candidate,group_aoi,hgb8,0.03,9.0,668.0,0.06316170845486895,0.0632222019435464,-6.049348867745441e-05,4.0
shared25,candidate,group_aoi,hgb8,0.04,9.0,668.0,0.06316170845486895,0.0632222019435464,-6.049348867745441e-05,4.0
shared25,candidate,group_aoi,hgb8,0.06,9.0,668.0,0.06316170845486895,0.0632222019435464,-6.049348867745441e-05,4.0
shared25,candidate,group_aoi,ridge100,0.01,9.0,668.0,0.06298344856507683,0.0632222019435464,-0.00023875337846956945,5.0
shared25,candidate,group_aoi,ridge100,0.02,9.0,668.0,0.06324274073001243,0.0632222019435464,2.053878646603169e-05,5.0
shared25,candidate,group_aoi,ridge100,0.03,9.0,668.0,0.06327842964587713,0.0632222019435464,5.622770233072727e-05,5.0
shared25,candidate,group_aoi,ridge100,0.04,9.0,668.0,0.06327842964587713,0.0632222019435464,5.622770233072727e-05,5.0
shared25,candidate,group_aoi,ridge100,0.06,9.0,668.0,0.06327842964587713,0.0632222019435464,5.622770233072727e-05,5.0
shared25,candidate,group_aoi,ridge30,0.01,9.0,668.0,0.06298795599434596,0.0632222019435464,-0.0002342459492004345,5.0
shared25,candidate,group_aoi,ridge30,0.02,9.0,668.0,0.06326713362748355,0.0632222019435464,4.4931683937154965e-05,5.0
shared25,candidate,group_aoi,ridge30,0.03,9.0,668.0,0.06331142881673901,0.0632222019435464,8.922687319261324e-05,5.0
shared25,candidate,group_aoi,ridge30,0.04,9.0,668.0,0.06331142881673901,0.0632222019435464,8.922687319261324e-05,5.0
shared25,candidate,group_aoi,ridge30,0.06,9.0,668.0,0.06331142881673901,0.0632222019435464,8.922687319261324e-05,5.0
shared25,candidate,group_aoiyear,hgb8,0.01,9.0,668.0,0.06287082176692152,0.0632222019435464,-0.00035138017662487975,4.0
shared25,candidate,group_aoiyear,hgb8,0.02,9.0,668.0,0.06298176216124615,0.0632222019435464,-0.00024043978230024743,4.0
shared25,candidate,group_aoiyear,hgb8,0.03,9.0,668.0,0.06316170845486895,0.0632222019435464,-6.049348867745441e-05,4.0
