radius,method,policy,pred,seed,n,rmse
1,median,dist502,bucket_0.03_0.03,70404,2644,0.06838798689223491
1,median,dist502,bucket_0.03_0.03,-1,10576,0.06695319968009683
1,median,dist502,bucket_0.03_0.05,0,2644,0.07059968395409867
1,median,dist502,bucket_0.03_0.05,1,2644,0.06345911682820331
1,median,dist502,bucket_0.03_0.05,2,2644,0.06553111699141376
1,median,dist502,bucket_0.03_0.05,70404,2644,0.06841904719271619
1,median,dist502,bucket_0.03_0.05,-1,10576,0.06705756518830602
1,median,dist502,bucket_0.05_0,0,2644,0.0707150412777221
1,median,dist502,bucket_0.05_0,1,2644,0.06351916076365244
1,median,dist502,bucket_0.05_0,2,2644,0.06544769031493342
1,median,dist502,bucket_0.05_0,70404,2644,0.06870056635021762
1,median,dist502,bucket_0.05_0,-1,10576,0.06715368350177961
1,median,dist502,bucket_0.05_0.005,0,2644,0.0707116762436084
1,median,dist502,bucket_0.05_0.005,1,2644,0.06352713550093658
1,median,dist502,bucket_0.05_0.005,2,2644,0.06546092240476721
1,median,dist502,bucket_0.05_0.005,70404,2644,0.06868005563847612
1,median,dist502,bucket_0.05_0.005,-1,10576,0.06715266284132443
1,median,dist502,bucket_0.05_0.01,0,2644,0.07071133458620837
1,median,dist502,bucket_0.05_0.01,1,2644,0.06353900888473163
1,median,dist502,bucket_0.05_0.01,2,2644,0.0654779505088456
1,median,dist502,bucket_0.05_0.01,70404,2644,0.06866330616614269
1,median,dist502,bucket_0.05_0.01,-1,10576,0.06715524943279005
1,median,dist502,bucket_0.05_0.02,0,2644,0.07071972118906386
1,median,dist502,bucket_0.05_0.02,1,2644,0.06357444213711469
1,median,dist502,bucket_0.05_0.02,2,2644,0.06552338226196547
1,median,dist502,bucket_0.05_0.02,70404,2644,0.06864110133499643
1,median,dist502,bucket_0.05_0.02,-1,10576,0.06717124212345855
1,median,dist502,bucket_0.05_0.03,0,2644,0.07074019678512775
1,median,dist502,bucket_0.05_0.03,1,2644,0.06362543448254587
1,median,dist502,bucket_0.05_0.03,2,2644,0.06558395404507023
1,median,dist502,bucket_0.05_0.03,70404,2644,0.06863396646914742
1,median,dist502,bucket_0.05_0.03,-1,10576,0.06720165127391825
1,median,dist502,bucket_0.05_0.05,0,2644,0.07081736682204645
1,median,dist502,bucket_0.05_0.05,1,2644,0.06377393577595547
1,median,dist502,bucket_0.05_0.05,2,2644,0.06575033987174964
1,median,dist502,bucket_0.05_0.05,70404,2644,0.06866491550183898
1,median,dist502,bucket_0.05_0.05,-1,10576,0.06730563152903561
1,median,dist503,route_plus_direct_-0.1,0,2644,0.07289293765053405
1,median,dist503,route_plus_direct_-0.1,1,2644,0.0652653864286452
1,median,dist503,route_plus_direct_-0.1,2,2644,0.0678739598594851
1,median,dist503,route_plus_direct_-0.1,70404,2644,0.07151274803661098
1,median,dist503,route_plus_direct_-0.1,-1,10576,0.06945123934056151
1,median,dist503,route_plus_direct_-0.05,0,2644,0.07111552648046748
1,median,dist503,route_plus_direct_-0.05,1,2644,0.06350709842413259
1,median,dist503,route_plus_direct_-0.05,2,2644,0.06590175274695732
1,median,dist503,route_plus_direct_-0.05,70404,2644,0.06932158616213933
1,median,dist503,route_plus_direct_-0.05,-1,10576,0.0675260930677959
1,median,dist503,route_plus_direct_-0.03,0,2644,0.07070292120726741
1,median,dist503,route_plus_direct_-0.03,1,2644,0.06315114392544917
1,median,dist503,route_plus_direct_-0.03,2,2644,0.06546017351881338
1,median,dist503,route_plus_direct_-0.03,70404,2644,0.0687831801204909
1,median,dist503,route_plus_direct_-0.03,-1,10576,0.06708787191239358
1,median,dist503,route_plus_direct_-0.02,0,2644,0.0705623570483793
1,median,dist503,route_plus_direct_-0.02,1,2644,0.06304975072694348
1,median,dist503,route_plus_direct_-0.02,2,2644,0.06531627097316993
1,median,dist503,route_plus_direct_-0.02,70404,2644,0.06858910092917504
1,median,dist503,route_plus_direct_-0.02,-1,10576,0.06694213418891311
1,median,dist503,route_plus_direct_-0.01,0,2644,0.07046599548938813
1,median,dist503,route_plus_direct_-0.01,1,2644,0.06299978362273259
1,median,dist503,route_plus_direct_-0.01,2,2644,0.06522411911546896
1,median,dist503,route_plus_direct_-0.01,70404,2644,0.06844570897991109
1,median,dist503,route_plus_direct_-0.01,-1,10576,0.0668457740791689
1,median,dist503,route_plus_direct_0,0,2644,0.07041401800425519
1,median,dist503,route_plus_direct_0,1,2644,0.06300136497280864
1,median,dist503,route_plus_direct_0,2,2644,0.06518393742907928
1,median,dist503,route_plus_direct_0,70404,2644,0.06835332326930599
1,median,dist503,route_plus_direct_0,-1,10576,0.06679900527076917
1,median,dist503,route_plus_direct_0.005,0,2644,0.07040470728768587
1,median,dist503,route_plus_direct_0.005,1,2644,0.06302149004668316
1,median,dist503,route_plus_direct_0.005,2,2644,0.06518337029009459
1,median,dist503,route_plus_direct_0.005,70404,2644,0.06832632687200868
1,median,dist503,route_plus_direct_0.005,-1,10576,0.0667942544725313
1,median,dist503,route_plus_direct_0.01,0,2644,0.0704065228924301
