width,radius,source_profile,agg,mode,n,rmse_pooled,base_rmse_pooled,delta_pooled,wins,coverage
16,8,False,median,fixed020,10576.0000000000,0.0658353433,0.0666343245,-0.0007989812,4.0000000000,0.9922465961
16,2,False,exp,fixed020,10576.0000000000,0.0658357533,0.0666343245,-0.0007985712,4.0000000000,0.9712556732
8,4,False,inv1,fixed020,10576.0000000000,0.0658366902,0.0666343245,-0.0007976343,4.0000000000,0.9895990923
12,8,False,mean,fixed020,10576.0000000000,0.0658383391,0.0666343245,-0.0007959854,4.0000000000,0.9922465961
8,8,False,inv2,loo,10576.0000000000,0.0658396110,0.0666343245,-0.0007947134,4.0000000000,0.9922465961
8,4,False,mean,fixed020,10576.0000000000,0.0658408966,0.0666343245,-0.0007934279,4.0000000000,0.9895990923
8,4,False,exp,fixed020,10576.0000000000,0.0658409967,0.0666343245,-0.0007933278,4.0000000000,0.9895990923
20,8,False,inv1,fixed020,10576.0000000000,0.0658414580,0.0666343245,-0.0007928665,4.0000000000,0.9922465961
16,2,False,inv2,loo,10576.0000000000,0.0658420054,0.0666343245,-0.0007923191,4.0000000000,0.9712556732
12,4,False,inv2,loo,10576.0000000000,0.0658421075,0.0666343245,-0.0007922169,4.0000000000,0.9895990923
20,16,False,exp,fixed020,10576.0000000000,0.0658427507,0.0666343245,-0.0007915737,4.0000000000,0.9932866868
8,32,False,inv2,loo,10576.0000000000,0.0658438042,0.0666343245,-0.0007905203,4.0000000000,0.9948940998
32,4,False,inv2,loo,10576.0000000000,0.0658450549,0.0666343245,-0.0007892695,4.0000000000,0.9895990923
20,4,False,inv1,loo,10576.0000000000,0.0658454518,0.0666343245,-0.0007888726,4.0000000000,0.9895990923
32,16,False,exp,loo,10576.0000000000,0.0658458365,0.0666343245,-0.0007884879,4.0000000000,0.9932866868
32,8,False,exp,fixed020,10576.0000000000,0.0658460762,0.0666343245,-0.0007882482,4.0000000000,0.9922465961
