year,method,alpha,threshold,n,rmse
2022,mod8,0.5,-1.0,192,0.07258749535934159
2022,mod8,0.75,-1.0,192,0.07297065133731609
2022,mod8,1.0,-1.0,192,0.07349096493765213
2022,mod8,1.0,0.5,192,0.07404320518464876
2022,mod8,1.0,0.6,192,0.07404320518464876
2022,mod8,1.0,0.7,192,0.07310963327875133
2022,mod8,1.0,0.8,192,0.07264219106587555
2022,mod8,1.0,0.9,192,0.07223888848426947
2022,mod10,0.1,-1.0,192,0.07224722146950721
2022,mod10,0.2,-1.0,192,0.07227942016199859
2022,mod10,0.3,-1.0,192,0.07233716701386075
2022,mod10,0.5,-1.0,192,0.07252903410429053
2022,mod10,0.75,-1.0,192,0.07291092865482418
2022,mod10,1.0,-1.0,192,0.07344832295517245
2022,mod10,1.0,0.5,192,0.07415623252266697
2022,mod10,1.0,0.6,192,0.07415623252266697
2022,mod10,1.0,0.7,192,0.07326582363761974
2022,mod10,1.0,0.8,192,0.07251552053533869
2022,mod10,1.0,0.9,192,0.07221477993481955
2022,mod12,0.1,-1.0,192,0.0722551664653793
2022,mod12,0.2,-1.0,192,0.07229880933426246
2022,mod12,0.3,-1.0,192,0.07237148109273536
2022,mod12,0.5,-1.0,192,0.07260352778577385
2022,mod12,0.75,-1.0,192,0.07305460194948434
2022,mod12,1.0,-1.0,192,0.07368145508711138
2022,mod12,1.0,0.5,192,0.07452206990142818
2022,mod12,1.0,0.6,192,0.07452206990142818
2022,mod12,1.0,0.7,192,0.07344052714975154
2022,mod12,1.0,0.8,192,0.0724908001066312
2022,mod12,1.0,0.9,192,0.07220525729153858
2022,mod16,0.1,-1.0,192,0.07223414981209361
2022,mod16,0.2,-1.0,192,0.07226494641944813
2022,mod16,0.3,-1.0,192,0.07233294733873519
2022,mod16,0.5,-1.0,192,0.07258008661769225
2022,mod16,0.75,-1.0,192,0.0730952381011108
2022,mod16,1.0,-1.0,192,0.07383495524658004
2022,mod16,1.0,0.5,192,0.0747769104462817
2022,mod16,1.0,0.6,192,0.0747769104462817
2022,mod16,1.0,0.7,192,0.07362370907238229
2022,mod16,1.0,0.8,192,0.07245611371968827
2022,mod16,1.0,0.9,192,0.0722286120920161
2023,base,1.0,0.0,169,0.07616221867194352
2023,mod6,1.0,0.0,169,0.10495178294937017
2023,mod8,1.0,0.0,169,0.105746226768204
2023,mod10,1.0,0.0,169,0.10586811787097647
2023,mod12,1.0,0.0,169,0.10654353699852641
2023,mod16,1.0,0.0,169,0.10852238075667686
2023,mod6,0.1,-1.0,169,0.07634100750564952
2023,mod6,0.2,-1.0,169,0.07653342635208064
2023,mod6,0.3,-1.0,169,0.07673937268226842
2023,mod6,0.5,-1.0,169,0.07719140758806388
2023,mod6,0.75,-1.0,169,0.07783048910373584
2023,mod6,1.0,-1.0,169,0.0785499488510066
2023,mod6,1.0,0.5,169,0.07938784700718252
2023,mod6,1.0,0.6,169,0.07843182202131413
2023,mod6,1.0,0.7,169,0.07843182202131413
2023,mod6,1.0,0.8,169,0.0764638420488034
2023,mod6,1.0,0.9,169,0.07616549509486756
2023,mod8,0.1,-1.0,169,0.0763596183503507
2023,mod8,0.2,-1.0,169,0.07656915934409396
2023,mod8,0.3,-1.0,169,0.07679074226222232
2023,mod8,0.5,-1.0,169,0.07726961385720768
2023,mod8,0.75,-1.0,169,0.07793399930466374
2023,mod8,1.0,-1.0,169,0.0786697531459533
2023,mod8,1.0,0.5,169,0.07945735909687308
2023,mod8,1.0,0.6,169,0.07850725365205698
2023,mod8,1.0,0.7,169,0.07850725365205698
2023,mod8,1.0,0.8,169,0.07653537672834822
2023,mod8,1.0,0.9,169,0.07614060255159326
2023,mod10,0.1,-1.0,169,0.07632681586569114
2023,mod10,0.2,-1.0,169,0.0765048516989676
2023,mod10,0.3,-1.0,169,0.07669623258603164
2023,mod10,0.5,-1.0,169,0.07711862518277364
2023,mod10,0.75,-1.0,169,0.07771978709450504
2023,mod10,1.0,-1.0,169,0.07840049298456336
2023,mod10,1.0,0.5,169,0.07912647077642633
2023,mod10,1.0,0.6,169,0.07819562609257204
2023,mod10,1.0,0.7,169,0.07819562609257204
2023,mod10,1.0,0.8,169,0.07634085922765237
2023,mod10,1.0,0.9,169,0.07599668260293281
2023,mod12,0.1,-1.0,169,0.07629860644376246
2023,mod12,0.2,-1.0,169,0.07645062997873928
2023,mod12,0.3,-1.0,169,0.07661819620488865
2023,mod12,0.5,-1.0,169,0.07699954143211812
2023,mod12,0.75,-1.0,169,0.07756166486766525
2023,mod12,1.0,-1.0,169,0.0782167972685455
2023,mod12,1.0,0.5,169,0.07885957329385682
2023,mod12,1.0,0.6,169,0.07797856292930282
2023,mod12,1.0,0.7,169,0.07797856292930282
2023,mod12,1.0,0.8,169,0.07608499576858754
2023,mod12,1.0,0.9,169,0.07577442373288254
2023,mod16,0.1,-1.0,169,0.07624507220604754
2023,mod16,0.2,-1.0,169,0.07635317850208127
2023,mod16,0.3,-1.0,169,0.07648643048298692
2023,mod16,0.5,-1.0,169,0.07682782345168626
2023,mod16,0.75,-1.0,169,0.0773931848083309
2023,mod16,1.0,-1.0,169,0.07810940458379255
2023,mod16,1.0,0.5,169,0.07871482183358865
2023,mod16,1.0,0.6,169,0.07784712856830724
2023,mod16,1.0,0.7,169,0.07784712856830724
2023,mod16,1.0,0.8,169,0.07576646830998324
2023,mod16,1.0,0.9,169,0.07538422038563705
2024,base,1.0,0.0,152,0.05923181948845261
2024,mod6,1.0,0.0,152,0.09951519448436771
2024,mod8,1.0,0.0,152,0.10002770247407354
2024,mod10,1.0,0.0,152,0.10009650771207379
2024,mod12,1.0,0.0,152,0.1005832271247073
2024,mod16,1.0,0.0,152,0.1017625333561427
2024,mod6,0.1,-1.0,152,0.05937294950509679
2024,mod6,0.2,-1.0,152,0.05955711744883929
2024,mod6,0.3,-1.0,152,0.05978392557830932
2024,mod6,0.5,-1.0,152,0.06036344948395992
2024,mod6,0.75,-1.0,152,0.06131746244741872
2024,mod6,1.0,-1.0,152,0.06251554965559099
2024,mod6,1.0,0.5,152,0.06178398174733513
2024,mod6,1.0,0.6,152,0.05938509123568301
2024,mod6,1.0,0.7,152,0.05938509123568301
2024,mod6,1.0,0.8,152,0.05938509123568301
2024,mod6,1.0,0.9,152,0.059261406428438274
2024,mod8,0.1,-1.0,152,0.05939663311733034
2024,mod8,0.2,-1.0,152,0.05960297419789868
2024,mod8,0.3,-1.0,152,0.05985041321991459
2024,mod8,0.5,-1.0,152,0.06046648316801958
2024,mod8,0.75,-1.0,152,0.06145723352028963
2024,mod8,1.0,-1.0,152,0.0626821807092509
2024,mod8,1.0,0.5,152,0.061866632890572364
2024,mod8,1.0,0.6,152,0.05944589047364613
2024,mod8,1.0,0.7,152,0.05944589047364613
2024,mod8,1.0,0.8,152,0.05944589047364613
2024,mod8,1.0,0.9,152,0.05928006375777679
2024,mod10,0.1,-1.0,152,0.059393091508277845
2024,mod10,0.2,-1.0,152,0.059596197310505646
2024,mod10,0.3,-1.0,152,0.059840710931595695
2024,mod10,0.5,-1.0,152,0.06045186675813259
2024,mod10,0.75,-1.0,152,0.06143822585753041
2024,mod10,1.0,-1.0,152,0.0626606842308154
2024,mod10,1.0,0.5,152,0.06192071877219828
2024,mod10,1.0,0.6,152,0.059488877709023925
2024,mod10,1.0,0.7,152,0.059488877709023925
2024,mod10,1.0,0.8,152,0.059488877709023925
2024,mod10,1.0,0.9,152,0.059298445486076816
2024,mod12,0.1,-1.0,152,0.05941871650355592
2024,mod12,0.2,-1.0,152,0.059648169567534125
2024,mod12,0.3,-1.0,152,0.05991968979721692
2024,mod12,0.5,-1.0,152,0.06058658187337871
