a,b,w_b,rmse,mae
base_k12,lag_k12_d2,0.7000000000000001,0.06818928074151155,0.04882265489345541
base_k6,lag_k12_d2,0.7000000000000001,0.06819564024186302,0.04862439581958925
lag_k12_d2,lag_k16_d3,0.1,0.068200927883944,0.048509855743911014
base_k8,lag_k12_d2,0.7000000000000001,0.06820163741330716,0.048711864155424535
base_k6,lag_k12_d2,0.9,0.06820587014358243,0.04853878611118288
base_k8,lag_k12_d2,0.9,0.06820808071239935,0.04856286976395182
lag_k12_d2,lag_k24_d2,0.05,0.06821512644180566,0.048510285808843825
lag_k16_d3,lag_k24_d2,0.7000000000000001,0.06823164714955682,0.048496550389828856
lag_k12_d2,lag_k24_d2,0.7000000000000001,0.06823195249861135,0.04850676588624935
base_k12,lag_k12_d2,0.9500000000000001,0.0682369424832176,0.04857496202568404
base_k6,lag_k12_d2,0.65,0.068241123160021,0.0486748796739887
base_k8,lag_k12_d2,0.65,0.06824792997089546,0.04877974885796649
base_k6,lag_k12_d2,0.9500000000000001,0.06825645721255671,0.04855561756517513
base_k8,lag_k12_d2,0.9500000000000001,0.06825758813664382,0.04856982190967643
base_k12,lag_k12_d2,0.65,0.06825954657525457,0.04893611994639387
lag_k12_d2,lag_k16_d3,0.05,0.06826211082094281,0.04855080692356198
base_k8,lag_k16_d3,0.5,0.0682709655652278,0.04889031017977232
base_k6,lag_k12_d2,0.6000000000000001,0.06830576978957692,0.04874092075515183
base_k8,lag_k12_d2,0.6000000000000001,0.068313330158996,0.048858203512769
base_k8,lag_k12_d2,1.0,0.06832619508386166,0.04859330193658419
hgb,lag_k12_d2,1.0,0.06832619508386166,0.04859330193658419
lag_k12_d2,lag_k24_d2,0.0,0.06832619508386166,0.04859330193658419
lag_k12_d2,lag_k16_d3,0.0,0.06832619508386166,0.04859330193658419
base_k12,lag_k12_d2,1.0,0.06832619508386166,0.04859330193658419
base_k6,lag_k12_d2,1.0,0.06832619508386166,0.04859330193658419
base_k6,lag_k16_d3,0.45,0.06834307415004195,0.04879209062618883
lag_k12_d2,lag_k24_d2,0.75,0.06834557784626107,0.048575859157267864
hgb,lag_k24_d2,0.9500000000000001,0.06835260021282882,0.04843316587386044
base_k12,lag_k16_d3,0.55,0.06835493077743957,0.049135444407701984
base_k12,lag_k12_d2,0.6000000000000001,0.06835629286008074,0.04906033666212023
lag_k16_d3,lag_k24_d2,0.75,0.06835814791321078,0.04857284242270176
base_k12,hgb,0.2,0.0683736819040486,0.049020685052337636
base_k6,lag_k12_d2,0.55,0.06838952578585543,0.04881972900583672
base_k8,lag_k12_d2,0.55,0.06839778316696705,0.048941041564329234
base_k6,hgb,0.15000000000000002,0.068406619810332,0.04845092645567942
base_k8,hgb,0.15000000000000002,0.0684229899626064,0.0487102021742722
base_k8,lag_k16_d3,0.45,0.06842834538058881,0.04901515344078534
lag_k12_d2,lag_k24_d2,0.8,0.06847502029187394,0.04865554452617214
base_k12,lag_k12_d2,0.55,0.06847940736298767,0.04920163191026426
base_k6,lag_k12_d2,0.5,0.06849232104508997,0.04890051908534099
lag_k16_d3,lag_k24_d2,0.8,0.06849529606697638,0.04866025496960948
base_k8,lag_k12_d2,0.5,0.06850121852596931,0.04902828155055205
base_k6,lag_k24_d2,0.65,0.06851583631585524,0.04886960849093628
