radius,method,pred,seed,n,rmse
1,median,bucket_0.03_0.03,2,2644,0.06442400768368764
1,median,bucket_0.03_0.03,70404,2644,0.06724915924586489
1,median,bucket_0.03_0.03,-1,10576,0.06594598288796645
1,median,bucket_0.03_0.05,0,2644,0.06973587812773467
1,median,bucket_0.03_0.05,1,2644,0.06212484006168594
1,median,bucket_0.03_0.05,2,2644,0.06442400768368764
1,median,bucket_0.03_0.05,70404,2644,0.06724915924586489
1,median,bucket_0.03_0.05,-1,10576,0.06594598288796645
2,mean,local_plus_direct_-0.1,0,2644,0.07212052583872385
2,mean,local_plus_direct_-0.1,1,2644,0.06449342315413888
2,mean,local_plus_direct_-0.1,2,2644,0.06681493179664645
2,mean,local_plus_direct_-0.1,70404,2644,0.0698495670082562
2,mean,local_plus_direct_-0.1,-1,10576,0.06838122732085217
2,mean,local_plus_direct_-0.05,0,2644,0.07028436548533781
2,mean,local_plus_direct_-0.05,1,2644,0.06245325431047849
2,mean,local_plus_direct_-0.05,2,2644,0.06483733289212425
2,mean,local_plus_direct_-0.05,70404,2644,0.0678687900711805
2,mean,local_plus_direct_-0.05,-1,10576,0.06642731630875952
2,mean,local_plus_direct_-0.03,0,2644,0.06986450192606569
2,mean,local_plus_direct_-0.03,1,2644,0.06199950592411558
2,mean,local_plus_direct_-0.03,2,2644,0.06441180209039335
2,mean,local_plus_direct_-0.03,70404,2644,0.0674218760331303
2,mean,local_plus_direct_-0.03,-1,10576,0.06599162253758137
2,mean,local_plus_direct_-0.02,0,2644,0.0697239560424747
