method,n,rmse,mae
joint40+doy16_none*0.5,2644,0.07857123098689867,0.049512243198042344
joint40+doy16_ridge*0.5,2644,0.07863210364220911,0.04954416945344143
hgb+year_doy8_none*0.5,2644,0.07874151520987469,0.04944250650949371
hgb+year_doy8_ridge*0.5,2644,0.07874937082490321,0.049522729686656976
hgb+doy8_none*0.5,2644,0.07905208740243676,0.05004112938724184
hgb+doy8_ridge*0.5,2644,0.0791505221651674,0.04997418683366002
hgb+doy16_none*0.5,2644,0.07928415286295991,0.05004966838647008
hgb+doy16_ridge*0.5,2644,0.07933491722417126,0.05007405511854208
ext40+season24_mean*0.3,2644,0.08302032164091076,0.056009215141030265
ext40+season24_trim*0.3,2644,0.08310488229312714,0.056001960525263406
ext40+season16_mean*0.3,2644,0.08314331812871596,0.05599366128945741
ext40+season16_trim*0.3,2644,0.08327862514371205,0.055997605171014354
ext40+season24_median*0.3,2644,0.08338375954223438,0.05617979947974769
hgb+season24_mean*0.3,2644,0.08341262463842006,0.05646293889122311
hgb+season24_trim*0.3,2644,0.08349365306269554,0.05646557624962425
hgb+season16_mean*0.3,2644,0.08353668192344783,0.05650852914975507
ext40+season16_median*0.3,2644,0.08359648593863005,0.0562274393164489
ext40+season8_mean*0.3,2644,0.08362803731805855,0.05618321037508896
hgb+season16_trim*0.3,2644,0.08367070431061346,0.05652629885227615
ext40+season8_trim*0.3,2644,0.08373786865747508,0.05622092339371433
hgb+season24_median*0.3,2644,0.08379398205385175,0.05663394134235663
joint40+season24_mean*0.3,2644,0.08394394757583257,0.056942014562090346
joint40+season16_mean*0.3,2644,0.08397635947552452,0.05691326151737139
hgb+season16_median*0.3,2644,0.0839949398709131,0.05670442887057285
joint40+season24_trim*0.3,2644,0.08402326522505985,0.0569410831023084
ext40+season8_median*0.3,2644,0.08405920476084937,0.05644009745433297
joint40+season16_trim*0.3,2644,0.08410950733716632,0.056922648090816305
hgb+season8_mean*0.3,2644,0.08411756724312931,0.05672510257428635
hgb+season8_trim*0.3,2644,0.08422396959264083,0.056767605523644994
joint40+season24_median*0.3,2644,0.08428467482486632,0.057090308123528784
joint40+season16_median*0.3,2644,0.08440328912726604,0.05710958399172865
joint40+season8_mean*0.3,2644,0.08450447982391258,0.057141939371851115
hgb+season8_median*0.3,2644,0.0845481220453848,0.05695373746566458
joint40+season8_trim*0.3,2644,0.08461422131998876,0.057169172629468364
joint40+season8_median*0.3,2644,0.08490960925349895,0.0573595237125021
ext40+season24_mean*0.4,2644,0.09160948367868049,0.06294790183811404
hgb+season24_mean*0.4,2644,0.0916989374144645,0.06323300765026808
ext40+season24_trim*0.4,2644,0.0917424807923644,0.06295045156025988
ext40+season16_mean*0.4,2644,0.09175511743785712,0.06284541313003203
hgb+season24_trim*0.4,2644,0.09182854739112617,0.06324002966297756
hgb+season16_mean*0.4,2644,0.09184613240371928,0.06316509577317157
ext40+season16_trim*0.4,2644,0.09196002459535486,0.06285241070518982
hgb+season16_trim*0.4,2644,0.09205016327206765,0.06318069000521832
ext40+season24_median*0.4,2644,0.09214179282049705,0.06318443071535115
hgb+season24_median*0.4,2644,0.09225109885940574,0.06349862030014516
joint40+season24_mean*0.4,2644,0.09239432195309155,0.06370477330366281
ext40+season16_median*0.4,2644,0.0924222957562759,0.06314962251871564
joint40+season16_mean*0.4,2644,0.09244608020259376,0.06359426905178589
hgb+season16_median*0.4,2644,0.09252013771750625,0.0634624738513059
joint40+season24_trim*0.4,2644,0.09252171401477313,0.06367710919883691
ext40+season8_mean*0.4,2644,0.09259839054717911,0.06319634372072883
joint40+season16_trim*0.4,2644,0.09264860941481165,0.06356826070451574
ext40+season8_trim*0.4,2644,0.09277020161745636,0.063230444456101
hgb+season8_mean*0.4,2644,0.09279055654009524,0.06353041370098328
