lag_weight,method,alpha,cap,baseline_rmse_exact,baseline_rmse_random,baseline_rmse_random2025,delta_rmse_exact,delta_rmse_random,delta_rmse_random2025,folds_exact,folds_random,folds_random2025,rmse_exact,rmse_random,rmse_random2025,wins_exact,wins_random,wins_random2025,worst_delta,mean_delta
0.400000000,source,1.000000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000195456,0.000008916,0.000043485,6,3,3,0.062049145,0.071675154,0.061516230,2,1,1,0.000195456,0.000082619
0.325000000,source,0.100000000,0.040000000,0.061798059,0.071355396,0.061489887,0.000196142,0.000027402,0.000044612,6,3,3,0.061994201,0.071382798,0.061534499,1,1,0,0.000196142,0.000089385
0.350000000,source,0.100000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000196407,0.000019407,0.000039884,6,3,3,0.062003695,0.071449869,0.061510434,1,1,1,0.000196407,0.000085233
0.300000000,source,0.010000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000197091,0.000031572,0.000042870,6,3,3,0.061998249,0.071299877,0.061556243,1,1,0,0.000197091,0.000090511
0.325000000,source_year,1.000000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000197350,0.000073745,0.000092491,6,3,3,0.061995409,0.071429141,0.061582378,2,1,0,0.000197350,0.000121195
0.350000000,source_year,0.100000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000199537,0.000071279,0.000090392,6,3,3,0.062006825,0.071501741,0.061560942,2,1,0,0.000199537,0.000120403
0.300000000,source_year_doy,1.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000199909,0.000080073,0.000103051,6,3,3,0.062001067,0.071348378,0.061616425,1,0,1,0.000199909,0.000127678
0.325000000,source_year_doy,1.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000200531,0.000075983,0.000107456,6,3,3,0.061998590,0.071431379,0.061597343,1,0,1,0.000200531,0.000127990
0.325000000,source_year,0.100000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000200779,0.000076803,0.000093681,6,3,3,0.061998838,0.071432199,0.061583568,2,1,0,0.000200779,0.000123754
0.400000000,source_year_doy,10.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000201970,0.000064215,0.000113203,6,3,3,0.062055659,0.071730453,0.061585948,2,0,1,0.000201970,0.000126462
0.325000000,source_year,10.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000202163,0.000054943,0.000087188,6,3,3,0.062000222,0.071410339,0.061577075,2,0,0,0.000202163,0.000114765
0.300000000,source_year,1.000000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000202413,0.000077669,0.000089349,6,3,3,0.062003571,0.071345974,0.061602722,2,1,0,0.000202413,0.000123144
0.300000000,source,0.100000000,0.040000000,0.061801158,0.071268305,0.061513373,0.000203422,0.000031275,0.000042826,6,3,3,0.062004580,0.071299580,0.061556199,1,1,0,0.000203422,0.000092508
0.300000000,source_year,10.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000204531,0.000058741,0.000083966,6,3,3,0.062005688,0.071327047,0.061597340,2,0,0,0.000204531,0.000115746
0.300000000,source_year,0.100000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000205118,0.000080818,0.000090554,6,3,3,0.062006276,0.071349123,0.061603927,2,1,0,0.000205118,0.000125497
0.350000000,source,1.000000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000205132,0.000016808,0.000039466,6,3,3,0.062012420,0.071447270,0.061510015,2,1,1,0.000205132,0.000087135
0.350000000,source_year_doy,10.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000205243,0.000071662,0.000105107,6,3,3,0.062012530,0.071502124,0.061575657,2,0,1,0.000205243,0.000127337
0.325000000,source,10.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000205827,0.000011968,0.000043077,6,3,3,0.062003886,0.071367364,0.061532965,2,1,0,0.000205827,0.000086957
0.300000000,source,10.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000207606,0.000015661,0.000041357,6,3,3,0.062008764,0.071283966,0.061554730,2,1,0,0.000207606,0.000088208
0.325000000,source,1.000000000,0.020000000,0.061798059,0.071355396,0.061489887,0.000210212,0.000024763,0.000044216,6,3,3,0.062008271,0.071380159,0.061534103,2,1,0,0.000210212,0.000093063
0.300000000,source,1.000000000,0.020000000,0.061801158,0.071268305,0.061513373,0.000215051,0.000028605,0.000042442,6,3,3,0.062016209,0.071296911,0.061555816,2,1,0,0.000215051,0.000095366
0.400000000,source_year,1.000000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000215405,0.000060584,0.000096042,6,3,3,0.062069094,0.071726822,0.061568788,2,1,0,0.000215405,0.000124010
0.325000000,source_year_doy,10.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000215906,0.000078017,0.000108889,6,3,3,0.062013965,0.071433413,0.061598776,2,0,1,0.000215906,0.000134271
0.300000000,source_year_doy,10.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000217372,0.000081505,0.000104956,6,3,3,0.062018530,0.071349811,0.061618329,2,0,1,0.000217372,0.000134611
0.400000000,source_year,10.000000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000218167,0.000046365,0.000090944,6,3,3,0.062071857,0.071712603,0.061563689,2,1,0,0.000218167,0.000118492
0.400000000,source_year,10.000000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000218167,0.000046365,0.000090944,6,3,3,0.062071857,0.071712603,0.061563689,2,1,0,0.000218167,0.000118492
0.350000000,source_year,10.000000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000224185,0.000053628,0.000083960,6,3,3,0.062031473,0.071484090,0.061554509,2,1,0,0.000224185,0.000120591
0.350000000,source_year,10.000000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000224185,0.000053628,0.000083960,6,3,3,0.062031473,0.071484090,0.061554509,2,1,0,0.000224185,0.000120591
0.350000000,source_year,1.000000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000225821,0.000068538,0.000089218,6,3,3,0.062033109,0.071499001,0.061559768,2,1,0,0.000225821,0.000127859
0.350000000,source_year_doy,0.100000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000228078,0.000068289,0.000109804,6,3,3,0.062035365,0.071498751,0.061580354,1,0,1,0.000228078,0.000135390
