protocol,partition,kind,scale,n,rmse,mae,corr_abs
exact,exact2023,canon,0.75,169,0.07047267034039902,0.04506470393382218,0.009920989015293568
exact,exact2024,canon,0.75,152,0.04891784216428728,0.033506685181898414,0.00893837503258297
exact,exact2019,canon,1.0,249,0.05762815738162029,0.03991089627878057,0.01094424713157385
exact,exact2020,canon,1.0,222,0.05627809808117691,0.03885037729930917,0.01132954258489649
exact,exact2021,canon,1.0,130,0.07752064411216872,0.05651740307036761,0.01238846377733248
exact,exact2022,canon,1.0,192,0.06653522113403,0.047053919095706075,0.008662218974316608
exact,exact2023,canon,1.0,169,0.07072108931977805,0.04548483037273266,0.013227985353724757
exact,exact2024,canon,1.0,152,0.04870131564037426,0.03357162285385475,0.011906177718711724
exact,exact2019,mode,0.25,249,0.05716450598510821,0.03914671765031517,0.0037323694877377145
exact,exact2020,mode,0.25,222,0.054721720892284276,0.03726321249707528,0.0041028710244227565
exact,exact2021,mode,0.25,130,0.07690303700342001,0.05652931496765383,0.003310156978133822
exact,exact2022,mode,0.25,192,0.06653912528415265,0.0476923858774321,0.00263535411431672
exact,exact2023,mode,0.25,169,0.07055368597755617,0.04466315572112195,0.0035210121666227846
exact,exact2024,mode,0.25,152,0.05050783993600453,0.03508977251928561,0.0032673568407775664
exact,exact2019,mode,0.5,249,0.057406838940110144,0.03919124248514502,0.007464738975475429
exact,exact2020,mode,0.5,222,0.05446798039919198,0.037462387854413026,0.008205742048845513
exact,exact2021,mode,0.5,130,0.07672773929240649,0.05640106895140206,0.006620313956267644
exact,exact2022,mode,0.5,192,0.0666202621937817,0.0478451286468445,0.00527070822863344
exact,exact2023,mode,0.5,169,0.07042992879967334,0.04452208551700215,0.007042024333245569
exact,exact2024,mode,0.5,152,0.05007504756760803,0.034970462214479,0.006534713681555133
exact,exact2019,mode,0.75,249,0.05790480478417496,0.03953563651125409,0.011197108463213142
exact,exact2020,mode,0.75,222,0.05455438772445632,0.03810072326352373,0.01230861307326827
exact,exact2021,mode,0.75,130,0.07669784502664011,0.05645194049682371,0.009930470934401466
exact,exact2022,mode,0.75,192,0.0668409875804187,0.04803621359336585,0.007906062342950161
exact,exact2023,mode,0.75,169,0.070486891064154,0.04467553221292877,0.010563036499868355
exact,exact2024,mode,0.75,152,0.04986166985035258,0.03499398968232268,0.0098020705223327
exact,exact2019,mode,1.0,249,0.05865189276156795,0.04021611849205961,0.014929477950950858
exact,exact2020,mode,1.0,222,0.05497933912920116,0.039003527965609616,0.016411484097691026
exact,exact2021,mode,1.0,130,0.07681352397052488,0.056597596006595606,0.013240627912535288
exact,exact2022,mode,1.0,192,0.06719992597802897,0.0483497031678275,0.01054141645726688
exact,exact2023,mode,1.0,169,0.07072413611001671,0.04535570128652307,0.014084048666491138
exact,exact2024,mode,1.0,152,0.04987052324873998,0.035257766891746846,0.013069427363110266
random,random0,global,0.25,2644,0.07334730151733412,0.04342599098475331,0.0019496825806862078
random,random1,global,0.25,2644,0.06644789445880599,0.0432930874539673,0.001914345418552679
random,random2,global,0.25,2644,0.06810307422446232,0.04078264881903575,0.0018155194851521487
random,random0,global,0.5,2644,0.0733415904417891,0.043491326471755944,0.0038993651613724156
random,random1,global,0.5,2644,0.0664132863524964,0.043302104675651105,0.003828690837105358
