dataset,partition,method,n,rmse,mae,rmse_2025,mae_2025,n_2025,rmse_shared,mae_shared,n_shared,rmse_new,mae_new,n_new,rmse_S2,mae_S2,n_S2,rmse_L8,mae_L8,n_L8,rmse_MOD,mae_MOD,n_MOD
exact_hidden_doy,exact2019,joint_robust_shock,249,0.05708823912094531,0.03878062918807912,,,,0.05708823912094531,0.03878062918807912,249,,,,0.06071325226861293,0.03807087968944583,120,0.05773259495485564,0.041282907930267565,73,0.04740836656431381,0.03703962189622619,56
exact_hidden_doy,exact2020,hgb,222,0.05596693316851813,0.03761340888680115,,,,0.05596693316851813,0.03761340888680115,222,,,,0.054355239296994894,0.0352531919689381,128,0.035675682707418534,0.025980397826249776,25,0.0643108652244088,0.04620664137955843,69
exact_hidden_doy,exact2020,lagblend20,222,0.05531092808775867,0.037629656313872696,,,,0.05531092808775867,0.037629656313872696,222,,,,0.054198357934744396,0.035837304723834534,128,0.03649657808179568,0.026843657741264296,25,0.06253916852463867,0.04486256889126538,69
exact_hidden_doy,exact2020,interp_blend0.05,222,0.05656094306729897,0.03796314961273504,,,,0.05656094306729897,0.03796314961273504,222,,,,0.05436161697838588,0.03521907401319445,128,0.03637381247411301,0.02661673163540794,25,0.06581364282984366,0.047164629702218706,69
exact_hidden_doy,exact2020,robust_blend0.05,222,0.05625492267085495,0.037837906984365406,,,,0.05625492267085495,0.037837906984365406,222,,,,0.05436044888046924,0.035266910399636,128,0.0355246549678974,0.026058653049753557,25,0.06513612510905312,0.046875137581621366,69
exact_hidden_doy,exact2020,interp_blend0.10,222,0.05730528763707016,0.038373563981743616,,,,0.05730528763707016,0.038373563981743616,222,,,,0.054462546864221854,0.03519998145576385,128,0.037184794767329644,0.027378196310687716,25,0.06754360401519403,0.04824461840350893,69
exact_hidden_doy,exact2020,robust_blend0.10,222,0.056644427349743176,0.03810354336416942,,,,0.056644427349743176,0.03810354336416942,222,,,,0.05440936973812799,0.03528062883033391,128,0.03541776416630204,0.026236228282233758,25,0.0661594699290599,0.04764000622473952,69
exact_hidden_doy,exact2020,interp_blend0.15,222,0.0581941985064208,0.038950609576356626,,,,0.0581941985064208,0.038950609576356626,222,,,,0.054657505160152234,0.03540015495761023,128,0.03810142412823785,0.02825187726235145,25,0.06948378205303299,0.04941331246113442,69
exact_hidden_doy,exact2020,robust_blend0.15,222,0.0571333710148348,0.03841014432426047,,,,0.0571333710148348,0.03841014432426047,222,,,,0.054501884164459904,0.03529434726103181,128,0.03535541062546581,0.026459973619084646,25,0.06737187385792352,0.048519945653574474,69
exact_hidden_doy,exact2020,interp_blend0.20,222,0.059221166204105787,0.039712019928163776,,,,0.059221166204105787,0.039712019928163776,222,,,,0.054945490976860425,0.03576385612728622,128,0.039116274235108994,0.02931476326324841,25,0.07161709403229366,0.05080327185765959,69
exact_hidden_doy,exact2020,robust_blend0.20,222,0.05771922665732074,0.038819838869591186,,,,0.05771922665732074,0.038819838869591186,222,,,,0.05463777071782641,0.0353575067558488,128,0.03533783010393661,0.026683718955935527,25,0.06876333740972403,0.04963986073046679,69
exact_hidden_doy,exact2020,interp_blend0.30,222,0.061660759113964084,0.04192928359785383,,,,0.061660759113964084,0.04192928359785383,222,,,,0.055794318189988146,0.03677295034384355,128,0.04141106351065955,0.03162174441983772,25,0.07639696675077652,0.055229271075588865,69
exact_hidden_doy,exact2020,robust_blend0.30,222,0.059169684270797614,0.039877275585163144,,,,0.059169684270797614,0.039877275585163144,222,,,,0.055038272685231766,0.035528994915585255,128,0.03543708495891135,0.027365349924526595,25,0.0720406185231651,0.0524769577188136,69
exact_hidden_doy,exact2020,interp_blend0.40,222,0.0645647276380478,0.04442931433367631,,,,0.0645647276380478,0.04442931433367631,222,,,,0.056992682878855075,0.037995158641117056,128,0.04401237070451108,0.034053937545710754,25,0.08175942487950799,0.06012433387493322,69
exact_hidden_doy,exact2020,robust_blend0.40,222,0.06096899525283698,0.04123984163960975,,,,0.06096899525283698,0.04123984163960975,222,,,,0.05560715717226336,0.03573100377173296,128,0.035714034780895666,0.028347442449891798,25,0.07590413623593976,0.05613029420238048,69
