protocol,partition,method,n,rmse,mae,rmse_2025,mae_2025,n_2025,rmse_hidden_doy,mae_hidden_doy,n_hidden_doy,rmse_non_hidden_doy,mae_non_hidden_doy,n_non_hidden_doy,rmse_canon,mae_canon,n_canon,rmse_noncanon,mae_noncanon,n_noncanon,rmse_shared,mae_shared,n_shared,rmse_private_only,mae_private_only,n_private_only,dataset
crossfit,random1,blend_lag_0.25,2644,0.06654145676032422,0.04341055899165087,0.05504571753386037,0.03554745250954479,756,0.06654145676032422,0.04341055899165087,2644,,,0,0.06867035823691041,0.05253296292683551,604,0.06589794011848606,0.04070961194417463,2040,0.05153156041034279,0.033850831001473444,377,0.06872038480402083,0.04500033290091284,2267,random_private_like
crossfit,random1,blend_lag_0.30,2644,0.06659653956431116,0.043503241254975594,0.054868270542570506,0.0354899901133397,756,0.06659653956431116,0.043503241254975594,2644,,,0,0.06862736598066439,0.05261515336386967,604,0.06598326397410326,0.040805400610969704,2040,0.05153371213510709,0.03384879381356288,377,0.06878232036779906,0.04510876692123611,2267,random_private_like
crossfit,random1,blend_lag_fit_global,2644,0.06656792585034967,0.04336640846630664,0.055447634578232825,0.035744906035111323,756,0.06656792585034967,0.04336640846630664,2644,,,0,0.0688984436518386,0.05255043407685243,604,0.06586208911168294,0.04064721656985092,2040,0.051632588064850445,0.033908539296785896,377,0.06873766980317006,0.044939243348048726,2267,random_private_like
crossfit,random1,blend_lag_fit_canon,2644,0.06656111833275578,0.04336353073349255,0.055456228006745774,0.0357540107297891,756,0.06656111833275578,0.04336353073349255,2644,,,0,0.06886393218865129,0.05253889492694633,604,0.06586385840581219,0.04064690329582289,2040,0.051637457725388136,0.033926501905371324,377,0.06872937238374384,0.04493289988576502,2267,random_private_like
crossfit,random1,blend_lag_fit_hidden_doy,2644,0.06656792585034967,0.04336640846630664,0.055447634578232825,0.035744906035111323,756,0.06656792585034967,0.04336640846630664,2644,,,0,0.0688984436518386,0.05255043407685243,604,0.06586208911168294,0.04064721656985092,2040,0.051632588064850445,0.033908539296785896,377,0.06873766980317006,0.044939243348048726,2267,random_private_like
crossfit,random1,blend_lag_fit_span,2644,0.06652304105245324,0.04340500483464808,0.055287631269919264,0.035688875823133334,756,0.06652304105245324,0.04340500483464808,2644,,,0,0.06888234479089407,0.05260780398108095,604,0.06580827497217816,0.04068025449913561,2040,0.05154503774958682,0.03388834512137579,377,0.06869790590886914,0.04498761652935635,2267,random_private_like
crossfit,random1,hgb_groupbias_canon,2644,0.06713971954628249,0.043713398845670076,0.05680865861471179,0.036473676107989704,756,0.06713971954628249,0.043713398845670076,2644,,,0,0.06999125776121216,0.05318314561675781,604,0.06627190310847261,0.04090961107619116,2040,0.05232616329078298,0.03422920474244585,377,0.0692967808444096,0.04529061153950137,2267,random_private_like
crossfit,random1,hgb_groupbias_hidden_doy,2644,0.06714001160053826,0.04372105716275379,0.05677720876445477,0.03645998102409361,756,0.06714001160053826,0.04372105716275379,2644,,,0,0.07005952835621282,0.053239380849211114,604,0.06625092497638332,0.040902886816371324,2040,0.05229272578859542,0.034236330381005105,377,0.06930130821699791,0.04529835844053026,2267,random_private_like
crossfit,random1,hgb_groupbias_span,2644,0.06715695321642398,0.04375648111047107,0.05685031463072151,0.036596574008764406,756,0.06715695321642398,0.04375648111047107,2644,,,0,0.06993059059250685,0.053064067939430214,604,0.06631348375114364,0.04100070540228905,2040,0.05230877385690422,0.034306207796941476,377,0.06931843719257096,0.04532805280839814,2267,random_private_like
crossfit,random1,hgb_groupbias_year,2644,0.06722850425805688,0.043789430707325334,0.05674735806845672,0.036440408756195676,756,0.06722850425805688,0.043789430707325334,2644,,,0,0.07031821176977264,0.05365450693370808,604,0.06628608174458447,0.04086859441284731,2040,0.05226508381931146,0.03424485239664047,377,0.0694047547563519,0.04537668523892136,2267,random_private_like
