protocol,partition,method,source,n,rmse,mae
exact_hidden_doy,exact2024,lag_soft,modis,39,0.06926078863943037,0.05208097878384447
exact_hidden_doy,exact2024,lag_hard,all,152,0.06306840395779971,0.04232231957821378
exact_hidden_doy,exact2024,lag_hard,s2,62,0.058303419814674635,0.03892997926109962
exact_hidden_doy,exact2024,lag_hard,landsat,51,0.04673051115748825,0.0324818869973504
exact_hidden_doy,exact2024,lag_hard,modis,39,0.08510507927967764,0.06058352884193459
exact_hidden_doy,exact2024,lag_oracle_source,all,152,0.049475358840924424,0.03330650859746337
exact_hidden_doy,exact2024,lag_route_accuracy,all,152,0.7236842105263158,0.6333422271167247
private_like,random0,base_soft,all,2644,0.08117700485768442,0.05140062876841171
private_like,random0,base_soft,s2,1156,0.07346429970359718,0.04653364903514246
private_like,random0,base_soft,landsat,1035,0.08939442355035095,0.052625662695115254
private_like,random0,base_soft,modis,453,0.08019273773459476,0.06102164081591967
private_like,random0,base_hard,all,2644,0.08195480535115049,0.05205156901596756
private_like,random0,base_hard,s2,1156,0.07324858794910086,0.04598519847551736
private_like,random0,base_hard,landsat,1035,0.09099004200848493,0.05439508231806221
private_like,random0,base_hard,modis,453,0.08120714316898706,0.062177812011756685
private_like,random0,base_oracle_source,all,2644,0.0788997897728875,0.04897280199853583
private_like,random0,base_route_accuracy,all,2644,0.875945537065053,0.29035840981029587
private_like,random0,lag_soft,all,2644,0.07945899515216152,0.049940579002725805
private_like,random0,lag_soft,s2,1156,0.07237270152043992,0.045275115868949486
private_like,random0,lag_soft,landsat,1035,0.08687851222771749,0.05106204994692649
private_like,random0,lag_soft,modis,453,0.07899129058840233,0.05928396301022628
private_like,random0,lag_hard,all,2644,0.08038145237663662,0.05076798767779395
private_like,random0,lag_hard,s2,1156,0.07211645250013514,0.04481378120916298
private_like,random0,lag_hard,landsat,1035,0.08873985251267716,0.052965110767871304
private_like,random0,lag_hard,modis,453,0.08029844210632661,0.06094246953101111
private_like,random0,lag_oracle_source,all,2644,0.0771784028619199,0.047646309418037595
private_like,random0,lag_route_accuracy,all,2644,0.875945537065053,0.29035840981029587
private_2025_date,date25_0,base_soft,all,925,0.06749832492941764,0.04377729982699651
private_2025_date,date25_0,base_soft,s2,607,0.07150490244532055,0.04427596049853561
private_2025_date,date25_0,base_soft,landsat,215,0.04946974963782382,0.0341888264771348
private_2025_date,date25_0,base_soft,modis,103,0.0753374743087185,0.060853365289093846
private_2025_date,date25_0,base_hard,all,925,0.06867250327045325,0.0440836533681726
private_2025_date,date25_0,base_hard,s2,607,0.0713342752217087,0.04339217870952797
private_2025_date,date25_0,base_hard,landsat,215,0.053522662745836155,0.03590889286921451
private_2025_date,date25_0,base_hard,modis,103,0.07989961487187551,0.06522247497082584
private_2025_date,date25_0,base_oracle_source,all,925,0.06492517197918138,0.04027811324698725
private_2025_date,date25_0,base_route_accuracy,all,925,0.8854054054054054,0.3079217282165573
private_2025_date,date25_0,lag_soft,all,925,0.06603229408190997,0.041977969501171455
private_2025_date,date25_0,lag_soft,s2,607,0.07135502896053383,0.042755131312757995
private_2025_date,date25_0,lag_soft,landsat,215,0.049190357125992866,0.03516995303441563
private_2025_date,date25_0,lag_soft,modis,103,0.06404227827314102,0.051608904653787764
private_2025_date,date25_0,lag_hard,all,925,0.06763337484830874,0.04286401201141554
private_2025_date,date25_0,lag_hard,s2,607,0.07123998324873186,0.042390865237215004
private_2025_date,date25_0,lag_hard,landsat,215,0.053397696172658875,0.03718191629705327
private_2025_date,date25_0,lag_hard,modis,103,0.07224307093797032,0.057513047647606036
private_2025_date,date25_0,lag_oracle_source,all,925,0.06314462428033629,0.03829073044508004
private_2025_date,date25_0,lag_route_accuracy,all,925,0.8854054054054054,0.3079217282165573
private_like,random1,base_soft,all,2644,0.07594827168305597,0.05141087797808511
private_like,random1,base_soft,s2,1181,0.08095192333794668,0.050062975138643696
private_like,random1,base_soft,landsat,1002,0.0669596072179592,0.048287623401740205
private_like,random1,base_soft,modis,461,0.0809255073980554,0.06165247090406753
private_like,random1,base_hard,all,2644,0.07736196286966908,0.052243334528710356
