route,policy,slice,n,rmse,rmse_base
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,seed0,2644,0.0706045577,0.0713661302
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,seed1,2644,0.0632611926,0.0644679552
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,seed2,2644,0.0653056146,0.0668046092
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,seed70404,2644,0.0683546053,0.0694751110
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,new2025,1516,0.0780084364,0.0797533421
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,shared2025,1508,0.0507219866,0.0513951813
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,near,6890,0.0647361119,0.0662006592
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,mid,1711,0.0717866002,0.0729940242
soft_all_r1_l0_p4,peer050_purity80_040_fallback025,far,1975,0.0700805443,0.0700986011
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,all,10576,0.0669728720,0.0680787938
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,seed0,2644,0.0706681639,0.0713661302
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,seed1,2644,0.0632907950,0.0644679552
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,seed2,2644,0.0653009568,0.0668046092
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,seed70404,2644,0.0683924942,0.0694751110
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,new2025,1516,0.0779581214,0.0797533421
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,shared2025,1508,0.0508386247,0.0513951813
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,near,6890,0.0647553380,0.0662006592
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,mid,1711,0.0718126894,0.0729940242
soft_all_r1_l0_p4,peer055_purity80_040_fallback025,far,1975,0.0701606618,0.0700986011
soft_all_r1_l0_p4,distance504030,all,10576,0.0669090974,0.0680787938
soft_all_r1_l0_p4,distance504030,seed0,2644,0.0705392189,0.0713661302
soft_all_r1_l0_p4,distance504030,seed1,2644,0.0632222914,0.0644679552
soft_all_r1_l0_p4,distance504030,seed2,2644,0.0653080800,0.0668046092
soft_all_r1_l0_p4,distance504030,seed70404,2644,0.0683324552,0.0694751110
soft_all_r1_l0_p4,distance504030,new2025,1516,0.0779680639,0.0797533421
soft_all_r1_l0_p4,distance504030,shared2025,1508,0.0507197525,0.0513951813
soft_all_r1_l0_p4,distance504030,near,6890,0.0647329089,0.0662006592
soft_all_r1_l0_p4,distance504030,mid,1711,0.0718148147,0.0729940242
soft_all_r1_l0_p4,distance504030,far,1975,0.0699046791,0.0700986011
soft_all_r1_l0_p4,distance504025,all,10576,0.0669050542,0.0680787938
soft_all_r1_l0_p4,distance504025,seed0,2644,0.0705409417,0.0713661302
soft_all_r1_l0_p4,distance504025,seed1,2644,0.0632171177,0.0644679552
soft_all_r1_l0_p4,distance504025,seed2,2644,0.0652930519,0.0668046092
soft_all_r1_l0_p4,distance504025,seed70404,2644,0.0683339889,0.0694751110
soft_all_r1_l0_p4,distance504025,new2025,1516,0.0779706951,0.0797533421
soft_all_r1_l0_p4,distance504025,shared2025,1508,0.0507203034,0.0513951813
soft_all_r1_l0_p4,distance504025,near,6890,0.0647329089,0.0662006592
soft_all_r1_l0_p4,distance504025,mid,1711,0.0718148147,0.0729940242
soft_all_r1_l0_p4,distance504025,far,1975,0.0698839531,0.0700986011
soft_all_r1_l0_p4,cohort_year_dist,all,10576,0.0668809976,0.0680787938
soft_all_r1_l0_p4,cohort_year_dist,seed0,2644,0.0704941152,0.0713661302
soft_all_r1_l0_p4,cohort_year_dist,seed1,2644,0.0632570261,0.0644679552
soft_all_r1_l0_p4,cohort_year_dist,seed2,2644,0.0652744656,0.0668046092
soft_all_r1_l0_p4,cohort_year_dist,seed70404,2644,0.0682689086,0.0694751110
soft_all_r1_l0_p4,cohort_year_dist,new2025,1516,0.0778952460,0.0797533421
soft_all_r1_l0_p4,cohort_year_dist,shared2025,1508,0.0505720969,0.0513951813
soft_all_r1_l0_p4,cohort_year_dist,near,6890,0.0646784394,0.0662006592
soft_all_r1_l0_p4,cohort_year_dist,mid,1711,0.0718612014,0.0729940242
soft_all_r1_l0_p4,cohort_year_dist,far,1975,0.0698952768,0.0700986011
soft_all_r1_l0_p4,cohort_year_dist_src,all,10576,0.0668940460,0.0680787938
soft_all_r1_l0_p4,cohort_year_dist_src,seed0,2644,0.0705087009,0.0713661302
soft_all_r1_l0_p4,cohort_year_dist_src,seed1,2644,0.0632558212,0.0644679552
soft_all_r1_l0_p4,cohort_year_dist_src,seed2,2644,0.0652962632,0.0668046092
soft_all_r1_l0_p4,cohort_year_dist_src,seed70404,2644,0.0682852528,0.0694751110
soft_all_r1_l0_p4,cohort_year_dist_src,new2025,1516,0.0778952460,0.0797533421
soft_all_r1_l0_p4,cohort_year_dist_src,shared2025,1508,0.0506013007,0.0513951813
soft_all_r1_l0_p4,cohort_year_dist_src,near,6890,0.0646880061,0.0662006592
soft_all_r1_l0_p4,cohort_year_dist_src,mid,1711,0.0718857391,0.0729940242
soft_all_r1_l0_p4,cohort_year_dist_src,far,1975,0.0699093967,0.0700986011
soft_all_r1_l0_p4,confidence_src,all,10576,0.0669539481,0.0680787938
soft_all_r1_l0_p4,confidence_src,seed0,2644,0.0706225569,0.0713661302
soft_all_r1_l0_p4,confidence_src,seed1,2644,0.0632772075,0.0644679552
soft_all_r1_l0_p4,confidence_src,seed2,2644,0.0653188965,0.0668046092
