base,peer_config,peer_weight,exact_rmse,exact_baseline_rmse,exact_delta_rmse,exact_coverage,exact_improved_runs,exact_runs,random_rmse,random_baseline_rmse,random_delta_rmse,random_coverage,random_improved_runs,random_runs,random2025_rmse,random2025_baseline_rmse,random2025_delta_rmse,random2025_coverage,random2025_improved_runs,random2025_runs,worst_delta,mean_delta,all_three_improve
hgb,n12_c80_r125_k3,0.08,0.06295123326090953,0.06340553155480409,-0.0004542982938945672,0.7154398563734291,6.0,6.0,0.06934526753166242,0.06982641959795943,-0.00048115206629700813,0.6219112455874937,3.0,3.0,0.06304606210166014,0.06339685499406654,-0.0003507928924064013,0.8470017636684304,3.0,3.0,-0.0003507928924064013,-0.0004287477508659922,True
hgb,n12_c80_r100_k2,0.1,0.06305501840280206,0.06340553155480409,-0.0003505131520020327,0.6606822262118492,6.0,6.0,0.06924783024709605,0.06982641959795943,-0.0005785893508633844,0.5639183055975794,3.0,3.0,0.06300299401028854,0.06339685499406654,-0.0003938609837779994,0.8130511463844797,3.0,3.0,-0.0003505131520020327,-0.0004409878288811388,True
hgb,n12_c80_r100_k3,0.08,0.06305522453922172,0.06340553155480409,-0.00035030701558237676,0.6606822262118492,5.0,6.0,0.06933711353503576,0.06982641959795943,-0.0004893060629236751,0.5639183055975794,3.0,3.0,0.06302651191938217,0.06339685499406654,-0.000370343074684365,0.8130511463844797,3.0,3.0,-0.00035030701558237676,-0.00040331871773013894,True
hgb,n8_c80_r125_k2,0.08,0.06296141086591824,0.06340553155480409,-0.0004441206888858573,0.7154398563734291,6.0,6.0,0.06932841366881835,0.06982641959795943,-0.0004980059291410793,0.649016641452345,3.0,3.0,0.06304713123242985,0.06339685499406654,-0.0003497237616366944,0.8505291005291006,3.0,3.0,-0.0003497237616366944,-0.0004306167932212103,True
hgb,n12_c60_r080_k3,0.1,0.06305615443685757,0.06340553155480409,-0.0003493771179465255,0.5807899461400359,5.0,6.0,0.06941986566415509,0.06982641959795943,-0.00040655393380434335,0.5102118003025718,3.0,3.0,0.06301130686334581,0.06339685499406654,-0.00038554813072072536,0.7469135802469136,3.0,3.0,-0.0003493771179465255,-0.00038049306082386475,True
hgb,n12_c80_r125_k2,0.08,0.06297711174837207,0.06340553155480409,-0.0004284198064320177,0.7154398563734291,6.0,6.0,0.06932529190364461,0.06982641959795943,-0.000501127694314818,0.6219112455874937,3.0,3.0,0.0630474938157145,0.06339685499406654,-0.00034936117835203395,0.8470017636684304,3.0,3.0,-0.00034936117835203395,-0.00042630289303295654,True
hgb,n8_c80_r125_k3,0.08,0.06292748947589348,0.06340553155480409,-0.0004780420789106121,0.7154398563734291,6.0,6.0,0.06934512306794545,0.06982641959795943,-0.0004812965300139832,0.649016641452345,3.0,3.0,0.06304765505317887,0.06339685499406654,-0.0003491999408876678,0.8505291005291006,3.0,3.0,-0.0003491999408876678,-0.0004361795166040877,True
hgb,n16_c40_r125_k2,0.15,0.0630582278177932,0.06340553155480409,-0.00034730373701089,0.9201077199281867,5.0,6.0,0.06912558734480267,0.06982641959795943,-0.0007008322531567579,0.7381492687846697,3.0,3.0,0.06304227682844314,0.06339685499406654,-0.00035457816562339817,0.9545855379188712,3.0,3.0,-0.00034730373701089,-0.000467571385263682,True
hgb,n8_c60_r100_k2,0.1,0.06305839450236464,0.06340553155480409,-0.0003471370524394529,0.7989228007181328,6.0,6.0,0.06917489104320719,0.06982641959795943,-0.0006515285547522426,0.6913767019667171,3.0,3.0,0.06296405823521954,0.06339685499406654,-0.0004327967588469983,0.8884479717813051,3.0,3.0,-0.0003471370524394529,-0.0004771541220128979,True
hgb,n12_c60_r125_k2,0.15,0.06289055826337767,0.06340553155480409,-0.0005149732914264266,0.8994614003590664,6.0,6.0,0.06905349985466319,0.06982641959795943,-0.0007729197432962409,0.7489914271306102,3.0,3.0,0.06305003253961322,0.06339685499406654,-0.00034682245445331883,0.9382716049382716,3.0,3.0,-0.00034682245445331883,-0.0005449051630586621,True
hgb,n12_c80_r100_k2,0.15,0.06300856266399514,0.06340553155480409,-0.0003969688908089519,0.6606822262118492,5.0,6.0,0.06911433650522836,0.06982641959795943,-0.0007120830927310751,0.5639183055975794,3.0,3.0,0.06305006402576761,0.06339685499406654,-0.00034679096829892675,0.8130511463844797,3.0,3.0,-0.00034679096829892675,-0.0004852809839463179,True
hgb,n12_c60_r100_k2,0.15,0.06306051288646411,0.06340553155480409,-0.00034501866833998307,0.7989228007181328,6.0,6.0,0.06904038599992614,0.06982641959795943,-0.000786033598033295,0.6651538073625819,3.0,3.0,0.06299191037772107,0.06339685499406654,-0.0004049446163454651,0.8884479717813051,3.0,3.0,-0.00034501866833998307,-0.0005119989609062477,True
hgb,n12_c60_r080_k1,0.15,0.0630607861382051,0.06340553155480409,-0.0003447454165989988,0.5807899461400359,5.0,6.0,0.06936888277074169,0.06982641959795943,-0.00045753682721774713,0.5102118003025718,3.0,3.0,0.06300296092355395,0.06339685499406654,-0.0003938940705125876,0.7469135802469136,3.0,3.0,-0.0003447454165989988,-0.00039872543810977784,True
hgb,n8_c60_r125_k1,0.1,0.0630616659158889,0.06340553155480409,-0.0003438656389151973,0.8994614003590664,5.0,6.0,0.06912986401307437,0.06982641959795943,-0.0006965555848850585,0.7769793242561776,3.0,3.0,0.06300225556040617,0.06339685499406654,-0.000394599433660367,0.9404761904761905,3.0,3.0,-0.0003438656389151973,-0.0004783402191535409,True
hgb_lag20,n16_c80_r125_k2,0.1,0.062199705919665386,0.06260634739886303,-0.0004066414791976461,0.7100538599640933,6.0,6.0,0.06899627308194843,0.06944909527214516,-0.000452822190196725,0.5680786686838124,3.0,3.0,0.06209428317821276,0.062438112899989955,-0.0003438297217771974,0.8337742504409171,3.0,3.0,-0.0003438297217771974,-0.0004010977970571895,True
hgb_lag20,n16_c60_r080_k2,0.15,0.06226464427379422,0.06260634739886303,-0.00034170312506881517,0.5771992818671454,5.0,6.0,0.06899197782253924,0.06944909527214516,-0.00045711744960591494,0.4716338880484115,3.0,3.0,0.06207290088488337,0.062438112899989955,-0.0003652120151065863,0.7407407407407407,3.0,3.0,-0.00034170312506881517,-0.0003880108632604388,True
hgb,n8_c60_r080_k3,0.1,0.06306611288646735,0.06340553155480409,-0.00033941866833674117,0.585278276481149,5.0,6.0,0.0694099748864485,0.06982641959795943,-0.00041644471151093543,0.5316439737771054,3.0,3.0,0.0630234503543464,0.06339685499406654,-0.0003734046397201457,0.7469135802469136,3.0,3.0,-0.00033941866833674117,-0.0003764226731892741,True
hgb,n8_c60_r100_k3,0.08,0.06306627842867286,0.06340553155480409,-0.00033925312613122816,0.7989228007181328,6.0,6.0,0.06927742995707341,0.06982641959795943,-0.0005489896408860245,0.6913767019667171,3.0,3.0,0.06301126567254581,0.06339685499406654,-0.00038558932152073233,0.8884479717813051,3.0,3.0,-0.00033925312613122816,-0.00042461069617932834,True
hgb,n16_c60_r100_k2,0.15,0.06306660927931074,0.06340553155480409,-0.00033892227549335574,0.7989228007181328,6.0,6.0,0.06915680977912017,0.06982641959795943,-0.0006696098188392618,0.6145990922844176,3.0,3.0,0.0629426473552602,0.06339685499406654,-0.0004542076388063393,0.8844797178130511,3.0,3.0,-0.00033892227549335574,-0.000487579911046319,True
hgb_lag20,n16_c80_r125_k3,0.1,0.06216072948642526,0.06260634739886303,-0.0004456179124377735,0.7100538599640933,6.0,6.0,0.069012183695826,0.06944909527214516,-0.0004369115763191572,0.5680786686838124,3.0,3.0,0.06209937643019526,0.062438112899989955,-0.0003387364697946954,0.8337742504409171,3.0,3.0,-0.0003387364697946954,-0.000407088652850542,True
