seed,policy,alpha_history,alpha_shared25,alpha_new25,n,rmse,baseline_rmse,delta,wins
2,global_0.175,0.175,0.175,0.175,2644,0.06473518748346262,0.06514008799161364,-0.00040490050815102097,1
2,global_0.200,0.2,0.2,0.2,2644,0.0647325537792776,0.06514008799161364,-0.0004075342123360387,1
2,global_0.225,0.225,0.225,0.225,2644,0.0647437671573914,0.06514008799161364,-0.0003963208342222385,1
2,global_0.250,0.25,0.25,0.25,2644,0.06476882042579898,0.06514008799161364,-0.0003712675658146536,1
2,h0.10_s0.10_n0.05,0.1,0.1,0.05,2644,0.06485201200621644,0.06514008799161364,-0.00028807598539719315,1
2,h0.10_s0.10_n0.10,0.1,0.1,0.1,2644,0.06482610984601524,0.06514008799161364,-0.00031397814559840087,1
2,h0.10_s0.10_n0.15,0.1,0.1,0.15,2644,0.06480619936215078,0.06514008799161364,-0.00033388862946286124,1
2,h0.10_s0.15_n0.05,0.1,0.15,0.05,2644,0.06485282646642036,0.06514008799161364,-0.00028726152519327475,1
2,h0.10_s0.15_n0.10,0.1,0.15,0.1,2644,0.0648269246316438,0.06514008799161364,-0.0003131633599698369,1
2,h0.10_s0.15_n0.15,0.1,0.15,0.15,2644,0.06480701439810371,0.06514008799161364,-0.00033307359350992494,1
2,h0.10_s0.20_n0.05,0.1,0.2,0.05,2644,0.06486102726943922,0.06514008799161364,-0.00027906072217441513,1
2,h0.10_s0.20_n0.10,0.1,0.2,0.1,2644,0.06483512871090893,0.06514008799161364,-0.000304959280704703,1
2,h0.10_s0.20_n0.15,0.1,0.2,0.15,2644,0.0648152209975352,0.06514008799161364,-0.00032486699407843767,1
2,h0.15_s0.10_n0.05,0.15,0.1,0.05,2644,0.06479670262432262,0.06514008799161364,-0.00034338536729101865,1
2,h0.15_s0.10_n0.10,0.15,0.1,0.1,2644,0.06477077834562504,0.06514008799161364,-0.00036930964598859417,1
2,h0.15_s0.10_n0.15,0.15,0.1,0.15,2644,0.06475085084767063,0.06514008799161364,-0.0003892371439430109,1
2,h0.15_s0.15_n0.05,0.15,0.15,0.05,2644,0.0647975177797274,0.06514008799161364,-0.00034257021188623116,1
2,h0.15_s0.15_n0.10,0.15,0.15,0.1,2644,0.06477159382728884,0.06514008799161364,-0.00036849416432480075,1
2,h0.15_s0.15_n0.15,0.15,0.15,0.15,2644,0.06475166658030108,0.06514008799161364,-0.00038842141131255337,1
2,h0.15_s0.20_n0.05,0.15,0.2,0.05,2644,0.06480572558175238,0.06514008799161364,-0.00033436240986126076,1
2,h0.15_s0.20_n0.10,0.15,0.2,0.1,2644,0.06477980491395899,0.06514008799161364,-0.0003602830776546495,1
2,h0.15_s0.20_n0.15,0.15,0.2,0.15,2644,0.06475988019360276,0.06514008799161364,-0.0003802077980108731,1
2,h0.20_s0.10_n0.05,0.2,0.1,0.05,2644,0.06478330994628922,0.06514008799161364,-0.00035677804532441293,1
2,h0.20_s0.10_n0.10,0.2,0.1,0.1,2644,0.06475738030611003,0.06514008799161364,-0.00038270768550360823,1
2,h0.20_s0.10_n0.15,0.2,0.1,0.15,2644,0.06473744868396782,0.06514008799161364,-0.0004026393076458218,1
2,h0.20_s0.15_n0.05,0.2,0.15,0.05,2644,0.06478412527020928,0.06514008799161364,-0.00035596272140435425,1
2,h0.20_s0.15_n0.10,0.2,0.15,0.1,2644,0.06475819595649156,0.06514008799161364,-0.0003818920351220806,1
2,h0.20_s0.15_n0.15,0.2,0.15,0.15,2644,0.06473826458547184,0.06514008799161364,-0.00040182340614179635,1
2,h0.20_s0.20_n0.05,0.2,0.2,0.05,2644,0.06479233476877858,0.06514008799161364,-0.00034775322283506216,1
2,h0.20_s0.20_n0.10,0.2,0.2,0.1,2644,0.06476640874174408,0.06514008799161364,-0.00037367924986955736,1
2,h0.20_s0.20_n0.15,0.2,0.2,0.15,2644,0.06474647989892472,0.06514008799161364,-0.0003936080926889157,1
70404,global_loo,0.16818453186802432,0.16818453186802432,0.16818453186802432,2644,0.06787827210792338,0.06827732548220211,-0.00039905337427872944,1
70404,scope_loo,0.1776471775441268,0.1872437262598269,0.08945670405017511,2644,0.06791458977629004,0.06827732548220211,-0.00036273570591206783,1
70404,global_0.000,0.0,0.0,0.0,2644,0.06827732548220211,0.06827732548220211,0.0,0
70404,global_0.050,0.05,0.05,0.05,2644,0.06808230036286306,0.06827732548220211,-0.00019502511933905398,1
70404,global_0.100,0.1,0.1,0.1,2644,0.06795174955527658,0.06827732548220211,-0.00032557592692553095,1
70404,global_0.125,0.125,0.125,0.125,2644,0.06791077538981033,0.06827732548220211,-0.00036655009239178193,1
70404,global_0.150,0.15,0.15,0.15,2644,0.06788604502969922,0.06827732548220211,-0.0003912804525028901,1
70404,global_0.175,0.175,0.175,0.175,2644,0.06787757622963772,0.06827732548220211,-0.00039974925256439087,1
70404,global_0.200,0.2,0.2,0.2,2644,0.06788537507558648,0.06827732548220211,-0.0003919504066156321,1
70404,global_0.225,0.225,0.225,0.225,2644,0.06790943596292552,0.06827732548220211,-0.0003678895192765902,1
70404,global_0.250,0.25,0.25,0.25,2644,0.0679497416165739,0.06827732548220211,-0.0003275838656282143,1
70404,h0.10_s0.10_n0.05,0.1,0.1,0.05,2644,0.06798019293471738,0.06827732548220211,-0.0002971325474847297,1
70404,h0.10_s0.10_n0.10,0.1,0.1,0.1,2644,0.06795174955527658,0.06827732548220211,-0.00032557592692553095,1
70404,h0.10_s0.10_n0.15,0.1,0.1,0.15,2644,0.06793031052907209,0.06827732548220211,-0.00034701495313002595,1
70404,h0.10_s0.15_n0.05,0.1,0.15,0.05,2644,0.0679796114078677,0.06827732548220211,-0.0002977140743344181,1
70404,h0.10_s0.15_n0.10,0.1,0.15,0.1,2644,0.06795116778500815,0.06827732548220211,-0.0003261576971939628,1
70404,h0.10_s0.15_n0.15,0.1,0.15,0.15,2644,0.06792972857519348,0.06827732548220211,-0.00034759690700862655,1
70404,h0.10_s0.20_n0.05,0.1,0.2,0.05,2644,0.06798513438166394,0.06827732548220211,-0.0002921911005381722,1
70404,h0.10_s0.20_n0.10,0.1,0.2,0.1,2644,0.06795669307047347,0.06827732548220211,-0.00032063241172863854,1
70404,h0.10_s0.20_n0.15,0.1,0.2,0.15,2644,0.06793525560434485,0.06827732548220211,-0.0003420698778572595,1
70404,h0.15_s0.10_n0.05,0.15,0.1,0.05,2644,0.06793654183807334,0.06827732548220211,-0.0003407836441287754,1
70404,h0.15_s0.10_n0.10,0.15,0.1,0.1,2644,0.06790808017532173,0.06827732548220211,-0.00036924530688038637,1
70404,h0.15_s0.10_n0.15,0.15,0.1,0.15,2644,0.06788662735805229,0.06827732548220211,-0.0003906981241498242,1
