group,label,weight_archive,n,rmse,mae
year,2013,0.2000000000,234,0.0707291032,0.0546332300
year,2013,0.2200000000,234,0.0707512662,0.0546695532
year,2013,0.2400000000,234,0.0707755679,0.0547093340
year,2013,0.2600000000,234,0.0708020061,0.0547491149
year,2013,0.2800000000,234,0.0708305784,0.0547888957
year,2013,0.3000000000,234,0.0708612822,0.0548286766
year,2013,0.3200000000,234,0.0708941147,0.0548684574
year,2013,0.3400000000,234,0.0709290730,0.0549082383
year,2013,0.3600000000,234,0.0709661539,0.0549480192
year,2013,0.3800000000,234,0.0710053541,0.0549878000
year,2013,0.4000000000,234,0.0710466701,0.0550275809
year,2013,0.4200000000,234,0.0710900982,0.0550673617
year,2013,0.4400000000,234,0.0711356346,0.0551095618
year,2013,0.4600000000,234,0.0711832752,0.0551517931
year,2013,0.4800000000,234,0.0712330157,0.0551940244
year,2013,0.5000000000,234,0.0712848518,0.0552362557
year,2014,0.0000000000,285,0.0537294251,0.0405761061
year,2014,0.0200000000,285,0.0537665899,0.0406076521
year,2014,0.0400000000,285,0.0538066546,0.0406391982
year,2014,0.0600000000,285,0.0538496126,0.0406720255
year,2014,0.0800000000,285,0.0538954571,0.0407058920
year,2014,0.1000000000,285,0.0539441807,0.0407432877
year,2014,0.1200000000,285,0.0539957755,0.0407814459
year,2014,0.1400000000,285,0.0540502334,0.0408206376
year,2014,0.1600000000,285,0.0541075457,0.0408608513
year,2014,0.1800000000,285,0.0541677034,0.0409045378
year,2014,0.2000000000,285,0.0542306970,0.0409502833
year,2014,0.2200000000,285,0.0542965166,0.0409984360
year,2014,0.2400000000,285,0.0543651519,0.0410473962
year,2014,0.2600000000,285,0.0544365924,0.0410969340
year,2014,0.2800000000,285,0.0545108269,0.0411467723
year,2014,0.3000000000,285,0.0545878441,0.0411966105
year,2014,0.3200000000,285,0.0546676322,0.0412464487
year,2014,0.3400000000,285,0.0547501791,0.0412962869
year,2014,0.3600000000,285,0.0548354724,0.0413461251
year,2014,0.3800000000,285,0.0549234992,0.0413990504
year,2014,0.4000000000,285,0.0550142464,0.0414561032
year,2014,0.4200000000,285,0.0551077006,0.0415131560
year,2014,0.4400000000,285,0.0552038481,0.0415749938
year,2014,0.4600000000,285,0.0553026747,0.0416426384
year,2014,0.4800000000,285,0.0554041662,0.0417113014
year,2014,0.5000000000,285,0.0555083080,0.0417799643
year,2015,0.0000000000,276,0.1096425723,0.0495070232
year,2015,0.0200000000,276,0.1096197485,0.0494810286
