seed,radius,crop,method,pred,n,rmse,coverage
0,4,1,median,blend0.2,2644,0.07875114616922547,0.9931921331316188
0,4,1,median,blend0.3,2644,0.08757610912076144,0.9931921331316188
0,4,1,median,blend0.4,2644,0.09872396789525824,0.9931921331316188
0,4,1,mean,mix,2644,0.17723220387867736,0.9931921331316188
0,4,1,mean,blend0.01,2644,0.0713443163188973,0.9931921331316188
0,4,1,mean,blend0.02,2644,0.07136049607091466,0.9931921331316188
0,4,1,mean,blend0.03,2644,0.07141464362670016,0.9931921331316188
0,4,1,mean,blend0.05,2644,0.07163643739821186,0.9931921331316188
0,4,1,mean,blend0.08,2644,0.072249815875319,0.9931921331316188
0,4,1,mean,blend0.1,2644,0.0728421834959038,0.9931921331316188
0,4,1,mean,blend0.15,2644,0.07493822882167091,0.9931921331316188
0,4,1,mean,blend0.2,2644,0.07785269738771092,0.9931921331316188
0,4,1,mean,blend0.3,2644,0.08578053929169978,0.9931921331316188
0,4,1,mean,blend0.4,2644,0.09590494767397557,0.9931921331316188
0,4,1,mean,hard,2644,0.17861010198507643,0.9931921331316188
0,4,1,mean,blend0.01,2644,0.07134793839851314,0.9931921331316188
0,4,1,mean,blend0.02,2644,0.07136835449072726,0.9931921331316188
0,4,1,mean,blend0.03,2644,0.07142734536498181,0.9931921331316188
0,4,1,mean,blend0.05,2644,0.07166060811053393,0.9931921331316188
0,4,1,mean,blend0.08,2644,0.07229545555864951,0.9931921331316188
0,4,1,mean,blend0.1,2644,0.07290479631065246,0.9931921331316188
0,4,1,mean,blend0.15,2644,0.07505147733308612,0.9931921331316188
0,4,1,mean,blend0.2,2644,0.07802619771022146,0.9931921331316188
0,4,1,mean,blend0.3,2644,0.08609331652893078,0.9931921331316188
0,4,1,mean,blend0.4,2644,0.09636920768900209,0.9931921331316188
0,4,0,median,mix,2644,0.18968275207765886,0.9965960665658093
0,4,0,median,blend0.01,2644,0.07135888637091525,0.9965960665658093
0,4,0,median,blend0.02,2644,0.07139588531706319,0.9965960665658093
0,4,0,median,blend0.03,2644,0.07147705832804163,0.9965960665658093
0,4,0,median,blend0.05,2644,0.07177124545397871,0.9965960665658093
0,4,0,median,blend0.08,2644,0.07253751971249166,0.9965960665658093
0,4,0,median,blend0.1,2644,0.07325974393863882,0.9965960665658093
0,4,0,median,blend0.15,2644,0.07576780162258326,0.9965960665658093
0,4,0,median,blend0.2,2644,0.07919861562115761,0.9965960665658093
0,4,0,median,blend0.3,2644,0.08837090268837908,0.9965960665658093
0,4,0,median,blend0.4,2644,0.09988982560255176,0.9965960665658093
0,4,0,median,hard,2644,0.19313388705682136,0.9965960665658093
0,4,0,median,blend0.01,2644,0.07135694699384874,0.9965960665658093
0,4,0,median,blend0.02,2644,0.0713939105453325,0.9965960665658093
0,4,0,median,blend0.03,2644,0.07147694925579946,0.9965960665658093
