seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
70404,n16_c80_r080_k1,0.1200000000,2644,1168,0.4417549168,0.0670347308,0.0671352518,-0.0001005211
70404,n16_c80_r100_k3,0.0500000000,2644,1427,0.5397125567,0.0670361567,0.0671352518,-0.0000990951
70404,n16_c80_r080_k3,0.1200000000,2644,1168,0.4417549168,0.0670364326,0.0671352518,-0.0000988192
70404,n16_c60_r125_k1,0.0300000000,2644,1825,0.6902420575,0.0670367970,0.0671352518,-0.0000984548
70404,n8_c80_r080_k2,0.1000000000,2644,1307,0.4943267776,0.0670371768,0.0671352518,-0.0000980751
70404,n12_c60_r100_k2,0.0500000000,2644,1777,0.6720877458,0.0670381488,0.0671352518,-0.0000971030
70404,n16_c60_r100_k1,0.0300000000,2644,1639,0.6198940998,0.0670382430,0.0671352518,-0.0000970089
70404,n16_c40_r125_k1,0.0500000000,2644,1960,0.7413010590,0.0670382693,0.0671352518,-0.0000969825
70404,n16_c60_r100_k3,0.0500000000,2644,1639,0.6198940998,0.0670382750,0.0671352518,-0.0000969768
70404,n8_c80_r100_k2,0.1200000000,2644,1604,0.6066565809,0.0670385867,0.0671352518,-0.0000966651
70404,n16_c80_r125_k3,0.0800000000,2644,1563,0.5911497731,0.0670388939,0.0671352518,-0.0000963580
70404,n16_c60_r125_k2,0.0500000000,2644,1825,0.6902420575,0.0670393634,0.0671352518,-0.0000958884
70404,n16_c80_r080_k1,0.0500000000,2644,1168,0.4417549168,0.0670403544,0.0671352518,-0.0000948974
70404,n12_c60_r100_k1,0.0500000000,2644,1777,0.6720877458,0.0670407301,0.0671352518,-0.0000945217
70404,n12_c80_r100_k1,0.0800000000,2644,1532,0.5794251135,0.0670407878,0.0671352518,-0.0000944640
70404,n12_c80_r100_k1,0.0500000000,2644,1532,0.5794251135,0.0670408105,0.0671352518,-0.0000944413
70404,n16_c60_r125_k2,0.0800000000,2644,1825,0.6902420575,0.0670410283,0.0671352518,-0.0000942235
70404,n16_c60_r100_k3,0.1000000000,2644,1639,0.6198940998,0.0670414096,0.0671352518,-0.0000938422
70404,n16_c60_r125_k3,0.0500000000,2644,1825,0.6902420575,0.0670421491,0.0671352518,-0.0000931027
70404,n16_c60_r100_k2,0.1200000000,2644,1639,0.6198940998,0.0670427794,0.0671352518,-0.0000924724
70404,n16_c80_r125_k3,0.0500000000,2644,1563,0.5911497731,0.0670430517,0.0671352518,-0.0000922001
70404,n8_c60_r100_k2,0.0500000000,2644,1861,0.7038577912,0.0670433476,0.0671352518,-0.0000919042
70404,n12_c80_r080_k3,0.0800000000,2644,1256,0.4750378215,0.0670433674,0.0671352518,-0.0000918844
70404,n16_c80_r125_k2,0.0800000000,2644,1563,0.5911497731,0.0670435815,0.0671352518,-0.0000916703
70404,n16_c60_r125_k3,0.0800000000,2644,1825,0.6902420575,0.0670438897,0.0671352518,-0.0000913621
70404,n12_c60_r100_k3,0.0800000000,2644,1777,0.6720877458,0.0670440063,0.0671352518,-0.0000912455
70404,n8_c80_r080_k3,0.0500000000,2644,1307,0.4943267776,0.0670440944,0.0671352518,-0.0000911574
70404,n12_c60_r100_k3,0.0500000000,2644,1777,0.6720877458,0.0670448464,0.0671352518,-0.0000904054
70404,n16_c80_r080_k2,0.0500000000,2644,1168,0.4417549168,0.0670452753,0.0671352518,-0.0000899765
70404,n16_c80_r125_k2,0.0500000000,2644,1563,0.5911497731,0.0670454844,0.0671352518,-0.0000897674
70404,n8_c80_r080_k2,0.0500000000,2644,1307,0.4943267776,0.0670466298,0.0671352518,-0.0000886220
70404,n16_c80_r100_k3,0.1200000000,2644,1427,0.5397125567,0.0670468398,0.0671352518,-0.0000884121
70404,n8_c80_r100_k3,0.1200000000,2644,1604,0.6066565809,0.0670469315,0.0671352518,-0.0000883203
70404,n16_c80_r125_k1,0.0300000000,2644,1563,0.5911497731,0.0670472607,0.0671352518,-0.0000879911
70404,n12_c60_r100_k1,0.0800000000,2644,1777,0.6720877458,0.0670474437,0.0671352518,-0.0000878081
70404,n12_c80_r080_k2,0.0800000000,2644,1256,0.4750378215,0.0670474678,0.0671352518,-0.0000877840
70404,n8_c80_r080_k3,0.1200000000,2644,1307,0.4943267776,0.0670475144,0.0671352518,-0.0000877374
70404,n16_c80_r100_k1,0.0300000000,2644,1427,0.5397125567,0.0670483431,0.0671352518,-0.0000869087
70404,n12_c80_r080_k3,0.1000000000,2644,1256,0.4750378215,0.0670490290,0.0671352518,-0.0000862228
70404,n16_c80_r080_k3,0.0500000000,2644,1168,0.4417549168,0.0670490437,0.0671352518,-0.0000862081
70404,n8_c60_r100_k2,0.0800000000,2644,1861,0.7038577912,0.0670492280,0.0671352518,-0.0000860238
70404,n16_c40_r100_k2,0.0500000000,2644,1735,0.6562027231,0.0670493314,0.0671352518,-0.0000859204
70404,n16_c40_r100_k2,0.0800000000,2644,1735,0.6562027231,0.0670497999,0.0671352518,-0.0000854519
70404,n16_c40_r100_k1,0.0300000000,2644,1735,0.6562027231,0.0670519577,0.0671352518,-0.0000832941
70404,n8_c80_r100_k2,0.0300000000,2644,1604,0.6066565809,0.0670527553,0.0671352518,-0.0000824965
70404,n8_c80_r080_k1,0.0800000000,2644,1307,0.4943267776,0.0670531141,0.0671352518,-0.0000821377
70404,n12_c80_r100_k2,0.1200000000,2644,1532,0.5794251135,0.0670532952,0.0671352518,-0.0000819566
70404,n12_c60_r100_k2,0.1000000000,2644,1777,0.6720877458,0.0670545036,0.0671352518,-0.0000807482
70404,n12_c80_r080_k2,0.1000000000,2644,1256,0.4750378215,0.0670548484,0.0671352518,-0.0000804034
70404,n8_c80_r100_k1,0.1000000000,2644,1604,0.6066565809,0.0670549687,0.0671352518,-0.0000802831
70404,n8_c60_r100_k3,0.0500000000,2644,1861,0.7038577912,0.0670554210,0.0671352518,-0.0000798308
70404,n8_c80_r080_k2,0.1200000000,2644,1307,0.4943267776,0.0670555798,0.0671352518,-0.0000796720
70404,n16_c60_r080_k1,0.0800000000,2644,1287,0.4867624811,0.0670556604,0.0671352518,-0.0000795914
70404,n8_c80_r100_k3,0.0300000000,2644,1604,0.6066565809,0.0670558083,0.0671352518,-0.0000794435
70404,n12_c80_r080_k3,0.0500000000,2644,1256,0.4750378215,0.0670563599,0.0671352518,-0.0000788919
70404,n8_c80_r080_k1,0.0500000000,2644,1307,0.4943267776,0.0670565847,0.0671352518,-0.0000786671
70404,n16_c60_r100_k2,0.0300000000,2644,1639,0.6198940998,0.0670571219,0.0671352518,-0.0000781299
70404,n16_c40_r125_k1,0.0800000000,2644,1960,0.7413010590,0.0670573920,0.0671352518,-0.0000778598
70404,n16_c80_r125_k3,0.1000000000,2644,1563,0.5911497731,0.0670574541,0.0671352518,-0.0000777977
70404,n12_c80_r100_k3,0.1200000000,2644,1532,0.5794251135,0.0670574849,0.0671352518,-0.0000777669
70404,n16_c40_r125_k1,0.0300000000,2644,1960,0.7413010590,0.0670577483,0.0671352518,-0.0000775035
70404,n8_c80_r100_k1,0.0300000000,2644,1604,0.6066565809,0.0670580824,0.0671352518,-0.0000771695
70404,n12_c80_r080_k2,0.0500000000,2644,1256,0.4750378215,0.0670584014,0.0671352518,-0.0000768504
70404,n8_c60_r100_k1,0.0500000000,2644,1861,0.7038577912,0.0670593520,0.0671352518,-0.0000758998
70404,n12_c80_r100_k2,0.0300000000,2644,1532,0.5794251135,0.0670600242,0.0671352518,-0.0000752276
70404,n16_c80_r100_k2,0.0300000000,2644,1427,0.5397125567,0.0670605458,0.0671352518,-0.0000747060
70404,n16_c60_r080_k1,0.0500000000,2644,1287,0.4867624811,0.0670613618,0.0671352518,-0.0000738900
70404,n12_c80_r100_k3,0.0300000000,2644,1532,0.5794251135,0.0670621347,0.0671352518,-0.0000731171
70404,n12_c60_r100_k1,0.0300000000,2644,1777,0.6720877458,0.0670626951,0.0671352518,-0.0000725567
70404,n16_c80_r080_k2,0.1500000000,2644,1168,0.4417549168,0.0670627658,0.0671352518,-0.0000724860
70404,n12_c40_r100_k2,0.0500000000,2644,1867,0.7061270802,0.0670627814,0.0671352518,-0.0000724705
70404,n16_c60_r125_k2,0.0300000000,2644,1825,0.6902420575,0.0670629323,0.0671352518,-0.0000723195
70404,n12_c60_r100_k2,0.0300000000,2644,1777,0.6720877458,0.0670633898,0.0671352518,-0.0000718621
70404,n12_c80_r125_k3,0.0500000000,2644,1687,0.6380484115,0.0670635834,0.0671352518,-0.0000716684
70404,n16_c60_r125_k1,0.0200000000,2644,1825,0.6902420575,0.0670636039,0.0671352518,-0.0000716479
70404,n16_c80_r125_k2,0.1000000000,2644,1563,0.5911497731,0.0670639743,0.0671352518,-0.0000712775
70404,n12_c80_r100_k1,0.1000000000,2644,1532,0.5794251135,0.0670643860,0.0671352518,-0.0000708658
70404,n12_c80_r100_k1,0.0300000000,2644,1532,0.5794251135,0.0670644389,0.0671352518,-0.0000708129
70404,n8_c60_r100_k2,0.0300000000,2644,1861,0.7038577912,0.0670648658,0.0671352518,-0.0000703860
70404,n16_c60_r125_k3,0.0300000000,2644,1825,0.6902420575,0.0670650019,0.0671352518,-0.0000702499
70404,n16_c60_r100_k3,0.0300000000,2644,1639,0.6198940998,0.0670650666,0.0671352518,-0.0000701852
70404,n16_c80_r100_k3,0.0300000000,2644,1427,0.5397125567,0.0670651378,0.0671352518,-0.0000701140
70404,n12_c80_r125_k2,0.0500000000,2644,1687,0.6380484115,0.0670653534,0.0671352518,-0.0000698984
70404,n12_c60_r100_k3,0.1000000000,2644,1777,0.6720877458,0.0670657095,0.0671352518,-0.0000695423
70404,n16_c60_r100_k1,0.0200000000,2644,1639,0.6198940998,0.0670658357,0.0671352518,-0.0000694162
70404,n12_c80_r080_k3,0.1200000000,2644,1256,0.4750378215,0.0670661467,0.0671352518,-0.0000691051
70404,n16_c60_r125_k2,0.1000000000,2644,1825,0.6902420575,0.0670668156,0.0671352518,-0.0000684362
70404,n16_c60_r125_k1,0.1200000000,2644,1825,0.6902420575,0.0670668321,0.0671352518,-0.0000684198
70404,n16_c40_r100_k3,0.0500000000,2644,1735,0.6562027231,0.0670670590,0.0671352518,-0.0000681929
70404,n16_c80_r125_k3,0.0300000000,2644,1563,0.5911497731,0.0670671527,0.0671352518,-0.0000680991
70404,n16_c80_r125_k1,0.1200000000,2644,1563,0.5911497731,0.0670671567,0.0671352518,-0.0000680951
70404,n8_c60_r100_k3,0.0800000000,2644,1861,0.7038577912,0.0670675625,0.0671352518,-0.0000676893
70404,n12_c60_r100_k3,0.0300000000,2644,1777,0.6720877458,0.0670676691,0.0671352518,-0.0000675827
70404,n16_c60_r080_k1,0.1000000000,2644,1287,0.4867624811,0.0670679668,0.0671352518,-0.0000672851
70404,n16_c80_r125_k2,0.0300000000,2644,1563,0.5911497731,0.0670684131,0.0671352518,-0.0000668387
70404,n8_c80_r080_k1,0.1000000000,2644,1307,0.4943267776,0.0670690315,0.0671352518,-0.0000662203
70404,n16_c60_r125_k3,0.1000000000,2644,1825,0.6902420575,0.0670690617,0.0671352518,-0.0000661901
70404,n16_c80_r080_k1,0.0300000000,2644,1168,0.4417549168,0.0670692393,0.0671352518,-0.0000660126
70404,n16_c80_r080_k3,0.1500000000,2644,1168,0.4417549168,0.0670696545,0.0671352518,-0.0000655973
70404,n12_c80_r125_k1,0.0500000000,2644,1687,0.6380484115,0.0670698732,0.0671352518,-0.0000653786
70404,n16_c40_r100_k2,0.0300000000,2644,1735,0.6562027231,0.0670707047,0.0671352518,-0.0000645471
70404,n16_c60_r100_k3,0.1200000000,2644,1639,0.6198940998,0.0670707065,0.0671352518,-0.0000645453
70404,n8_c80_r080_k3,0.0300000000,2644,1307,0.4943267776,0.0670712105,0.0671352518,-0.0000640414
70404,n16_c80_r125_k1,0.0200000000,2644,1563,0.5911497731,0.0670713459,0.0671352518,-0.0000639059
70404,n16_c40_r100_k2,0.1000000000,2644,1735,0.6562027231,0.0670717975,0.0671352518,-0.0000634543
70404,n8_c60_r100_k1,0.0300000000,2644,1861,0.7038577912,0.0670719064,0.0671352518,-0.0000633454
70404,n8_c60_r100_k3,0.0300000000,2644,1861,0.7038577912,0.0670723528,0.0671352518,-0.0000628990
70404,n8_c80_r080_k2,0.0300000000,2644,1307,0.4943267776,0.0670725896,0.0671352518,-0.0000626622
70404,n16_c40_r100_k1,0.1200000000,2644,1735,0.6562027231,0.0670729048,0.0671352518,-0.0000623470
70404,n12_c40_r100_k1,0.0500000000,2644,1867,0.7061270802,0.0670729576,0.0671352518,-0.0000622942
70404,n16_c80_r100_k1,0.0200000000,2644,1427,0.5397125567,0.0670730917,0.0671352518,-0.0000621602
70404,n16_c80_r080_k2,0.0300000000,2644,1168,0.4417549168,0.0670733815,0.0671352518,-0.0000618703
70404,n12_c80_r080_k1,0.0500000000,2644,1256,0.4750378215,0.0670734042,0.0671352518,-0.0000618476
70404,n12_c80_r080_k2,0.1200000000,2644,1256,0.4750378215,0.0670739611,0.0671352518,-0.0000612907
70404,n16_c60_r080_k2,0.0800000000,2644,1287,0.4867624811,0.0670745871,0.0671352518,-0.0000606647
70404,n16_c40_r100_k1,0.0200000000,2644,1735,0.6562027231,0.0670747175,0.0671352518,-0.0000605343
70404,n16_c80_r080_k3,0.0300000000,2644,1168,0.4417549168,0.0670758181,0.0671352518,-0.0000594337
70404,n8_c80_r100_k2,0.0200000000,2644,1604,0.6066565809,0.0670759435,0.0671352518,-0.0000593083
70404,n16_c60_r080_k2,0.0500000000,2644,1287,0.4867624811,0.0670763924,0.0671352518,-0.0000588594
70404,n12_c80_r080_k1,0.0800000000,2644,1256,0.4750378215,0.0670767149,0.0671352518,-0.0000585369
70404,n16_c40_r125_k2,0.0500000000,2644,1960,0.7413010590,0.0670767823,0.0671352518,-0.0000584695
70404,n16_c40_r080_k1,0.0500000000,2644,1361,0.5147503782,0.0670769645,0.0671352518,-0.0000582873
70404,n8_c80_r080_k1,0.0300000000,2644,1307,0.4943267776,0.0670771275,0.0671352518,-0.0000581243
70404,n16_c40_r125_k1,0.0200000000,2644,1960,0.7413010590,0.0670771504,0.0671352518,-0.0000581014
70404,n12_c80_r125_k3,0.0300000000,2644,1687,0.6380484115,0.0670772204,0.0671352518,-0.0000580314
70404,n12_c40_r100_k2,0.0300000000,2644,1867,0.7061270802,0.0670772422,0.0671352518,-0.0000580096
70404,n16_c40_r100_k3,0.0800000000,2644,1735,0.6562027231,0.0670772837,0.0671352518,-0.0000579681
70404,n8_c80_r125_k3,0.0500000000,2644,1773,0.6705748865,0.0670773697,0.0671352518,-0.0000578821
70404,n12_c40_r100_k2,0.0800000000,2644,1867,0.7061270802,0.0670774397,0.0671352518,-0.0000578121
70404,n12_c80_r125_k1,0.0300000000,2644,1687,0.6380484115,0.0670776394,0.0671352518,-0.0000576124
70404,n16_c80_r080_k1,0.1500000000,2644,1168,0.4417549168,0.0670777844,0.0671352518,-0.0000574674
70404,n12_c80_r125_k2,0.0300000000,2644,1687,0.6380484115,0.0670779954,0.0671352518,-0.0000572565
70404,n8_c80_r100_k3,0.0200000000,2644,1604,0.6066565809,0.0670780497,0.0671352518,-0.0000572021
70404,n8_c80_r125_k2,0.0500000000,2644,1773,0.6705748865,0.0670782423,0.0671352518,-0.0000570095
70404,n12_c60_r100_k1,0.1000000000,2644,1777,0.6720877458,0.0670783541,0.0671352518,-0.0000568977
70404,n16_c60_r100_k1,0.1500000000,2644,1639,0.6198940998,0.0670784315,0.0671352518,-0.0000568203
70404,n8_c60_r100_k2,0.1000000000,2644,1861,0.7038577912,0.0670785815,0.0671352518,-0.0000566703
70404,n8_c80_r100_k1,0.0200000000,2644,1604,0.6066565809,0.0670787585,0.0671352518,-0.0000564933
70404,n8_c80_r125_k1,0.0500000000,2644,1773,0.6705748865,0.0670788020,0.0671352518,-0.0000564498
70404,n12_c40_r100_k3,0.0500000000,2644,1867,0.7061270802,0.0670788146,0.0671352518,-0.0000564372
70404,n16_c60_r100_k2,0.0200000000,2644,1639,0.6198940998,0.0670790993,0.0671352518,-0.0000561525
70404,n12_c80_r080_k3,0.0300000000,2644,1256,0.4750378215,0.0670793384,0.0671352518,-0.0000559134
70404,n12_c80_r080_k2,0.0300000000,2644,1256,0.4750378215,0.0670803546,0.0671352518,-0.0000548972
70404,n12_c80_r125_k3,0.0800000000,2644,1687,0.6380484115,0.0670807345,0.0671352518,-0.0000545173
70404,n12_c80_r100_k2,0.0200000000,2644,1532,0.5794251135,0.0670810538,0.0671352518,-0.0000541980
70404,n12_c40_r100_k1,0.0300000000,2644,1867,0.7061270802,0.0670811180,0.0671352518,-0.0000541338
70404,n16_c60_r080_k1,0.0300000000,2644,1287,0.4867624811,0.0670812668,0.0671352518,-0.0000539850
70404,n8_c80_r125_k1,0.0300000000,2644,1773,0.6705748865,0.0670813801,0.0671352518,-0.0000538717
70404,n16_c40_r100_k3,0.0300000000,2644,1735,0.6562027231,0.0670815579,0.0671352518,-0.0000536939
