path,rows,finite,unique_keys,min,max,mean,std,sha256
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide20_submission.csv,3112,True,3112,0.05153952,0.90921187,0.3781367632840617,0.2027098518102863,602fbcab620c72ffa82092743766faee2610b8a4f104f1fbc3f2f8206a34c9be
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide30_no2025_submission.csv,3112,True,3112,0.05230309,0.90631831,0.37816819750321334,0.20278654116832384,b911a874f882447fff032aa5d4eebdf853624b27ce80b5d144f5410815947f35
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide30_submission.csv,3112,True,3112,0.05230309,0.90631831,0.37819032267352176,0.20297544882827148,912e352ae483e626a6fcdcd6dcdeb95e30c2fe01c3c545c8f3ccfbaa27a8566c
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_no2025_submission.csv,3112,True,3112,0.05306666,0.90342474,0.3782143821947301,0.20300378814167822,1a36e653b4b9faba481e7859a18d99f5c7a03bdaf5a671db727cb5f29125136d
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_submission.csv,3112,True,3112,0.05306666,0.90342474,0.3782438824935732,0.20327216905280265,79e6f967986658a879c72927555c24b7d462ef6edcb76d819a6dc31647cdb8b4
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_lgbm05_submission.csv,3112,True,3112,0.05670976,0.89975813,0.37871988178663235,0.20403873417993956,d44202389cb624af2826492cea7b5608a25f1ebc60353748a5301e42fa483292
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_lgbm10_submission.csv,3112,True,3112,0.05963585,0.89910015,0.3788994608097686,0.20421058162677475,6606105600fa783ff52f099a11606e07b4f82423a95f4e11f57ba5e6f443e878
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_lgbm15_submission.csv,3112,True,3112,0.06256194,0.89844216,0.37907903924485864,0.2043868564542483,3d450c08b2e3ebc6e9c4875d494a37ed2d95dd0c3e90ef42e5cd0f79a47304ec
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_lgbm20_submission.csv,3112,True,3112,0.06548803,0.89778418,0.3792586181169666,0.20456754725459386,af8817522993df59ffe73b2c88c25916c253ce59af61f56f002601a4468d5c24
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_spectral20_routed_submission.csv,3112,True,3112,0.05444131,0.89481489,0.37836196848971726,0.20415076592337655,d3ae6717d5ee5756bfd1431bca9ec5edcf2011e3d7e65208baa754ec45e81790
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_spectral30_historyonly_submission.csv,3112,True,3112,0.05477012,0.89201428,0.37830653996143954,0.20429401117996943,0c177eec91e60011ef3bb6c72237e103f6e95f82d77177df7ae6169bf03df9ef
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_spectral30_routed_submission.csv,3112,True,3112,0.05477012,0.89201428,0.37827280084511566,0.20432653769511347,4638c2f96d04664969db8c8ba05a6ad08680e4cdbf6f2e7bbb06f1a854812689
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_spectral40_historyonly_submission.csv,3112,True,3112,0.05509894,0.89069976,0.37822861920629824,0.20447573359393337,caa16441c5d37e77c1274de0280161339fe49b8e22a9397a5af6a468c56a5de8
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_extwide40_v3_30_spectral40_routed_submission.csv,3112,True,3112,0.05509894,0.89069976,0.37818363371786634,0.20452626402450655,adc44364b268278514b03b90fa76bce594fbaee83fb02fe4c299e1c72ba7fce9
