seed,route,policy,alpha,n,rmse,rmse_base
2,fixed_r2,fixed,0.3000000000,2644,0.0656741881,0.0668046092
2,fixed_r2,fixed,0.4000000000,2644,0.0655446673,0.0668046092
2,fixed_r2,fixed,0.5000000000,2644,0.0655405944,0.0668046092
2,fixed_r2,fixed,0.6000000000,2644,0.0656619929,0.0668046092
2,fixed_r2,cohort_year_dist,,2644,0.0654322387,0.0668046092
2,fixed_r3,fixed,0.2000000000,2644,0.0660534630,0.0668046092
2,fixed_r3,fixed,0.3000000000,2644,0.0658616706,0.0668046092
2,fixed_r3,fixed,0.4000000000,2644,0.0657940555,0.0668046092
2,fixed_r3,fixed,0.5000000000,2644,0.0658510002,0.0668046092
2,fixed_r3,fixed,0.6000000000,2644,0.0660321824,0.0668046092
2,fixed_r3,cohort_year_dist,,2644,0.0658071092,0.0668046092
2,fixed_r4,fixed,0.2000000000,2644,0.0661406721,0.0668046092
2,fixed_r4,fixed,0.3000000000,2644,0.0659913367,0.0668046092
2,fixed_r4,fixed,0.4000000000,2644,0.0659650839,0.0668046092
2,fixed_r4,fixed,0.5000000000,2644,0.0660620605,0.0668046092
2,fixed_r4,fixed,0.6000000000,2644,0.0662817256,0.0668046092
2,fixed_r4,cohort_year_dist,,2644,0.0660363880,0.0668046092
2,fixed_r5,fixed,0.2000000000,2644,0.0662043642,0.0668046092
2,fixed_r5,fixed,0.3000000000,2644,0.0660872863,0.0668046092
2,fixed_r5,fixed,0.4000000000,2644,0.0660933281,0.0668046092
2,fixed_r5,fixed,0.5000000000,2644,0.0662224560,0.0668046092
2,fixed_r5,fixed,0.6000000000,2644,0.0664739527,0.0668046092
2,fixed_r5,cohort_year_dist,,2644,0.0661816072,0.0668046092
2,fixed_r6,fixed,0.2000000000,2644,0.0662066592,0.0668046092
2,fixed_r6,fixed,0.3000000000,2644,0.0660901122,0.0668046092
2,fixed_r6,fixed,0.4000000000,2644,0.0660962656,0.0668046092
2,fixed_r6,fixed,0.5000000000,2644,0.0662250850,0.0668046092
2,fixed_r6,fixed,0.6000000000,2644,0.0664758575,0.0668046092
2,fixed_r6,cohort_year_dist,,2644,0.0661843644,0.0668046092
2,fixed_r8,fixed,0.2000000000,2644,0.0661293102,0.0668046092
2,fixed_r8,fixed,0.3000000000,2644,0.0659765376,0.0668046092
2,fixed_r8,fixed,0.4000000000,2644,0.0659483887,0.0668046092
2,fixed_r8,fixed,0.5000000000,2644,0.0660450229,0.0668046092
2,fixed_r8,fixed,0.6000000000,2644,0.0662658943,0.0668046092
2,fixed_r8,cohort_year_dist,,2644,0.0660401698,0.0668046092
2,fixed_r16,fixed,0.2000000000,2644,0.0661168518,0.0668046092
2,fixed_r16,fixed,0.3000000000,2644,0.0659477083,0.0668046092
2,fixed_r16,fixed,0.4000000000,2644,0.0658964569,0.0668046092
2,fixed_r16,fixed,0.5000000000,2644,0.0659633724,0.0668046092
2,fixed_r16,fixed,0.6000000000,2644,0.0661480963,0.0668046092
2,fixed_r16,cohort_year_dist,,2644,0.0659296102,0.0668046092
2,fixed_r32,fixed,0.2000000000,2644,0.0659196202,0.0668046092
2,fixed_r32,fixed,0.3000000000,2644,0.0656598059,0.0668046092
2,fixed_r32,fixed,0.4000000000,2644,0.0655239366,0.0668046092
2,fixed_r32,fixed,0.5000000000,2644,0.0655127832,0.0668046092
2,fixed_r32,fixed,0.6000000000,2644,0.0656264095,0.0668046092
2,fixed_r32,cohort_year_dist,,2644,0.0653944418,0.0668046092
2,vote_r2_r4,fixed,0.2000000000,2644,0.0659886056,0.0668046092
2,vote_r2_r4,fixed,0.3000000000,2644,0.0657638883,0.0668046092
