mode,seed,cohort,method,n,cov,rmse,mae
2025,0,all,blend_peer_0.40,756,238,0.05831008195054672,0.037749507486321304
2025,0,all,blend_peer_0.50,756,238,0.06094970585814707,0.03923773861883027
2025,0,2025,blend_peer_0.00,756,238,0.053924913524637665,0.03476183250341118
2025,0,2025,blend_peer_0.02,756,238,0.05388281221447938,0.034698562669822845
2025,0,2025,blend_peer_0.05,756,238,0.053873016824917117,0.03463714133718362
2025,0,2025,blend_peer_0.10,756,238,0.05399892082020229,0.03476416077559082
2025,0,2025,blend_peer_0.15,756,238,0.0543013887706905,0.03508261184794199
2025,0,2025,blend_peer_0.20,756,238,0.05477749592538335,0.035461429402815645
2025,0,2025,blend_peer_0.25,756,238,0.055422767542189985,0.035927002612016895
2025,0,2025,blend_peer_0.30,756,238,0.05623138028686819,0.03646245423008464
2025,0,2025,blend_peer_0.40,756,238,0.05831008195054672,0.037749507486321304
2025,0,2025,blend_peer_0.50,756,238,0.06094970585814707,0.03923773861883027
2025,0,private_only_2025,blend_peer_0.00,379,93,0.05403649577713272,0.03466913259950033
2025,0,private_only_2025,blend_peer_0.02,379,93,0.054035572796515906,0.03464499210152846
2025,0,private_only_2025,blend_peer_0.05,379,93,0.05406806130566941,0.0346391949826176
2025,0,private_only_2025,blend_peer_0.10,379,93,0.05421229988952008,0.034732034092229705
2025,0,private_only_2025,blend_peer_0.15,379,93,0.05446831642106247,0.03495266667802644
2025,0,private_only_2025,blend_peer_0.20,379,93,0.05483454528538372,0.035200497395089105
2025,0,private_only_2025,blend_peer_0.25,379,93,0.055308797202983026,0.035501461142316046
2025,0,private_only_2025,blend_peer_0.30,379,93,0.05588832228563226,0.03588478313124617
2025,0,private_only_2025,blend_peer_0.40,379,93,0.057349848239162435,0.03665396753147204
2025,0,private_only_2025,blend_peer_0.50,379,93,0.05918892575568159,0.037504801410969374
2025,0,exact_comp,blend_peer_0.00,296,238,0.05135818476841771,0.03537440445720005
2025,0,exact_comp,blend_peer_0.02,296,238,0.051245201564692276,0.035212809882224444
2025,0,exact_comp,blend_peer_0.05,296,238,0.05121889156342871,0.03505593647859181
2025,0,exact_comp,blend_peer_0.10,296,238,0.05155640366018236,0.035380350990199406
