dataset,partition,lag_weight,mode,n,rmse,baseline_rmse,delta_rmse,coverage,map_global
exact,exact_2024,0.350000000,source_doy_mode,152,0.050823457,0.050846056,-0.000022599,0.927631579,0.001575241
exact,exact_2024,0.400000000,none,152,0.051041833,0.051041833,0.000000000,0.927631579,0.000000000
exact,exact_2024,0.400000000,global,152,0.051013882,0.051041833,-0.000027952,0.927631579,0.001858031
exact,exact_2024,0.400000000,doy,152,0.051013882,0.051041833,-0.000027952,0.927631579,0.001858031
exact,exact_2024,0.400000000,source_oracle,152,0.050839148,0.051041833,-0.000202686,0.927631579,0.001858031
exact,exact_2024,0.400000000,source_soft,152,0.050982691,0.051041833,-0.000059143,0.927631579,0.001858031
exact,exact_2024,0.400000000,source_mode,152,0.050988143,0.051041833,-0.000053690,0.927631579,0.001858031
exact,exact_2024,0.400000000,source_doy_soft,152,0.051013882,0.051041833,-0.000027952,0.927631579,0.001858031
exact,exact_2024,0.400000000,source_doy_mode,152,0.051013882,0.051041833,-0.000027952,0.927631579,0.001858031
random,random_0,0.300000000,none,2644,0.072586583,0.072586583,0.000000000,0.695537065,0.000000000
random,random_0,0.300000000,global,2644,0.072565128,0.072586583,-0.000021455,0.695537065,0.001964701
random,random_0,0.300000000,doy,2644,0.072578039,0.072586583,-0.000008544,0.695537065,0.001964701
random,random_0,0.300000000,source_oracle,2644,0.072348172,0.072586583,-0.000238410,0.695537065,0.001964701
random,random_0,0.300000000,source_soft,2644,0.072610436,0.072586583,0.000023853,0.695537065,0.001964701
random,random_0,0.300000000,source_mode,2644,0.072665536,0.072586583,0.000078953,0.695537065,0.001964701
random,random_0,0.300000000,source_doy_soft,2644,0.072565128,0.072586583,-0.000021455,0.695537065,0.001964701
random,random_0,0.300000000,source_doy_mode,2644,0.072565128,0.072586583,-0.000021455,0.695537065,0.001964701
random,random_0,0.325000000,none,2644,0.072633419,0.072633419,0.000000000,0.695537065,0.000000000
random,random_0,0.325000000,global,2644,0.072613242,0.072633419,-0.000020176,0.695537065,0.001852408
random,random_0,0.325000000,doy,2644,0.072624735,0.072633419,-0.000008683,0.695537065,0.001852408
random,random_0,0.325000000,source_oracle,2644,0.072397010,0.072633419,-0.000236409,0.695537065,0.001852408
random,random_0,0.325000000,source_soft,2644,0.072656638,0.072633419,0.000023220,0.695537065,0.001852408
random,random_0,0.325000000,source_mode,2644,0.072709676,0.072633419,0.000076258,0.695537065,0.001852408
random,random_0,0.325000000,source_doy_soft,2644,0.072613242,0.072633419,-0.000020176,0.695537065,0.001852408
random,random_0,0.325000000,source_doy_mode,2644,0.072613242,0.072633419,-0.000020176,0.695537065,0.001852408
random,random_0,0.350000000,none,2644,0.072665418,0.072665418,0.000000000,0.695537065,0.000000000
random,random_0,0.350000000,global,2644,0.072643178,0.072665418,-0.000022240,0.695537065,0.001993596
random,random_0,0.350000000,doy,2644,0.072657538,0.072665418,-0.000007880,0.695537065,0.001993596
