mode,mask_seed,method,weight,cohort,n,rmse,mae,bias
2025,0,hgb_seed_mean+base_k6,0.65,all,756,0.056097381689756885,0.03688110333530689,-0.002958697718041959
2025,0,hgb_seed_mean+base_k6,0.7,all,756,0.056519922960755455,0.037190386706164,-0.0029942059872904905
2025,0,hgb_seed_mean+base_k6,0.75,all,756,0.056983930520566835,0.037515931729461584,-0.003029714256539023
2025,0,hgb_seed_mean+base_k6,0.8,all,756,0.05748840031428465,0.037886871123728065,-0.003065222525787555
2025,0,hgb_seed_mean+base_k6,0.85,all,756,0.058032277146926554,0.03830524704080738,-0.0031007307950360855
2025,0,hgb_seed_mean+base_k6,0.9,all,756,0.058614464068688206,0.03873939471581912,-0.00313623906428462
2025,0,hgb_seed_mean+base_k6,0.95,all,756,0.0592338314842201,0.03920209520747982,-0.003171747333533152
2025,0,hgb_seed_mean+base_k6,1.0,all,756,0.05988922585559129,0.03970485283862908,-0.003207255602781683
2025,0,hgb_seed42+lag_k16_d3,0.0,all,756,0.05451510216322277,0.03500901622501005,-0.0019305775738329518
2025,0,hgb_seed42+lag_k16_d3,0.05,all,756,0.05426781332138583,0.034835083321810456,-0.00194852335853482
2025,0,hgb_seed42+lag_k16_d3,0.1,all,756,0.054066287050282186,0.034725393347807124,-0.001966469143236643
2025,0,hgb_seed42+lag_k16_d3,0.15,all,756,0.05391103655118129,0.03464538226036186,-0.001984414927938505
2025,0,hgb_seed42+lag_k16_d3,0.2,all,756,0.053802462420809924,0.03461302243087188,-0.0020023607126403355
2025,0,hgb_seed42+lag_k16_d3,0.25,all,756,0.05374084756461408,0.034620618897076655,-0.0020203064973422077
2025,0,hgb_seed42+lag_k16_d3,0.3,all,756,0.05372635354538846,0.03466823969237968,-0.0020382522820440586
2025,0,hgb_seed42+lag_k16_d3,0.35,all,756,0.05375901847602528,0.03474158772197566,-0.002056198066745928
2025,0,hgb_seed42+lag_k16_d3,0.4,all,756,0.053838756520073375,0.03485903803319826,-0.0020741438514477626
2025,0,hgb_seed42+lag_k16_d3,0.45,all,756,0.053965359015301875,0.03499501930250103,-0.002092089636149593
2025,0,hgb_seed42+lag_k16_d3,0.5,all,756,0.054138497186139826,0.03515570480937075,-0.002110035420851462
2025,0,hgb_seed42+lag_k16_d3,0.55,all,756,0.054357726363392714,0.03535101569825904,-0.0021279812055533163
2025,0,hgb_seed42+lag_k16_d3,0.6,all,756,0.05462249158654202,0.03556323696931717,-0.002145926990255165
2025,0,hgb_seed42+lag_k16_d3,0.65,all,756,0.05493213442737131,0.035834090948201384,-0.0021638727749570172
2025,0,hgb_seed42+lag_k16_d3,0.7,all,756,0.05528590084526339,0.03613519110795484,-0.0021818185596588695
2025,0,hgb_seed42+lag_k16_d3,0.75,all,756,0.05568294986527172,0.03647326699672953,-0.00219976434436072
2025,0,hgb_seed42+lag_k16_d3,0.8,all,756,0.05612236286031617,0.03685771192863477,-0.0022177101290625713
2025,0,hgb_seed42+lag_k16_d3,0.85,all,756,0.05660315321828097,0.03727682338933956,-0.0022356559137644227
2025,0,hgb_seed42+lag_k16_d3,0.9,all,756,0.05712427618254741,0.037727375898242405,-0.0022536016984662736
2025,0,hgb_seed42+lag_k16_d3,0.95,all,756,0.057684638669305004,0.03819806333676224,-0.0022715474831681275
