protocol,partition,candidate,n,rmse,mae
exact_hidden_doy,exact2020,factor_peer_w0.100,222,0.05540947769582541,0.03837764051209339
exact_hidden_doy,exact2020,factor_peer_w0.125,222,0.0558173808651523,0.03874399058059013
exact_hidden_doy,exact2020,factor_peer_w0.150,222,0.056373810983077845,0.03922153626941918
exact_hidden_doy,exact2020,factor_peer_w0.175,222,0.057074424157017384,0.03992606498891954
exact_hidden_doy,exact2020,factor_peer_w0.200,222,0.057913987869455966,0.04074356272515523
exact_hidden_doy,exact2020,factor_peer_w0.225,222,0.05888655923910717,0.04157669863109365
exact_hidden_doy,exact2020,factor_peer_w0.250,222,0.05998566909760435,0.042433800215985126
exact_hidden_doy,exact2020,factor_peer_w0.275,222,0.06120450069351694,0.04336408880534034
exact_hidden_doy,exact2020,factor_peer_w0.300,222,0.06253605426621645,0.044339218830470026
exact_hidden_doy,exact2020,factor_peer_w0.325,222,0.06397329154593065,0.045379877806173696
exact_hidden_doy,exact2020,factor_peer_w0.350,222,0.06550925697367617,0.046518873362285024
exact_hidden_doy,exact2020,factor_peer_w0.375,222,0.06713717477861768,0.04768181208338324
exact_hidden_doy,exact2020,factor_peer_w0.400,222,0.06885052283937428,0.04886043906302886
exact_hidden_doy,exact2020,factor_peer_w0.425,222,0.0706430854595463,0.050087721350566314
exact_hidden_doy,exact2020,factor_peer_w0.450,222,0.07250898786511467,0.05132564275757227
exact_hidden_doy,exact2020,factor_peer_w0.475,222,0.07444271548775579,0.052569252597973584
exact_hidden_doy,exact2020,factor_peer_w0.500,222,0.07643912105164204,0.05384959842384835
exact_hidden_doy,exact2021,factor_abs_w0.000,130,0.07722274795685638,0.056872823530196855
exact_hidden_doy,exact2021,factor_abs_w0.025,130,0.07746043854813235,0.05810041341808333
exact_hidden_doy,exact2021,factor_abs_w0.050,130,0.07919771205599682,0.06020751543484184
exact_hidden_doy,exact2021,factor_abs_w0.075,130,0.08233970467833215,0.06289102831419421
exact_hidden_doy,exact2021,factor_abs_w0.100,130,0.08673388988682627,0.06685756355075263
exact_hidden_doy,exact2021,factor_abs_w0.125,130,0.09220140812406301,0.07149006947240306
exact_hidden_doy,exact2021,factor_abs_w0.150,130,0.09856380158047244,0.07716170278450302
exact_hidden_doy,exact2021,factor_abs_w0.175,130,0.10565953634530213,0.08354351666057719
exact_hidden_doy,exact2021,factor_abs_w0.200,130,0.11335097518851998,0.09023553092121478
exact_hidden_doy,exact2021,factor_abs_w0.225,130,0.12152506263502812,0.0975465837443164
exact_hidden_doy,exact2021,factor_abs_w0.250,130,0.1300908507062711,0.10539056216295183
exact_hidden_doy,exact2021,factor_abs_w0.275,130,0.13897593080562515,0.11362135437588426
exact_hidden_doy,exact2021,factor_abs_w0.300,130,0.1481228563249888,0.12196075858476929
exact_hidden_doy,exact2021,factor_abs_w0.325,130,0.157486009236476,0.130488957453553
exact_hidden_doy,exact2021,factor_abs_w0.350,130,0.16702903029522842,0.13945376773198936
exact_hidden_doy,exact2021,factor_abs_w0.375,130,0.17672278329143648,0.14847095811012495
exact_hidden_doy,exact2021,factor_abs_w0.400,130,0.1865437713351869,0.1578481045264446
exact_hidden_doy,exact2021,factor_abs_w0.425,130,0.19647291525910573,0.16727205653882146
exact_hidden_doy,exact2021,factor_abs_w0.450,130,0.2064946138610975,0.17669600855119824
exact_hidden_doy,exact2021,factor_abs_w0.475,130,0.21659602026272454,0.18619164184419384
exact_hidden_doy,exact2021,factor_abs_w0.500,130,0.22676648286383094,0.19593744069926342
exact_hidden_doy,exact2021,factor_z_w0.000,130,0.07722274795685638,0.056872823530196855
exact_hidden_doy,exact2021,factor_z_w0.025,130,0.07706976458741885,0.05684566705034156
exact_hidden_doy,exact2021,factor_z_w0.050,130,0.0770006648912491,0.05683109963328088
exact_hidden_doy,exact2021,factor_z_w0.075,130,0.0770156746540015,0.0568409356021043
exact_hidden_doy,exact2021,factor_z_w0.100,130,0.07711474476200943,0.05689195364176086
exact_hidden_doy,exact2021,factor_z_w0.125,130,0.0772975520025764,0.0570171309951174
exact_hidden_doy,exact2021,factor_z_w0.150,130,0.07756350430488831,0.0572157558570804
exact_hidden_doy,exact2021,factor_z_w0.175,130,0.07791175022485466,0.05742725434830679
exact_hidden_doy,exact2021,factor_z_w0.200,130,0.07834119232388628,0.057705242181568264
exact_hidden_doy,exact2021,factor_z_w0.225,130,0.07885050396122034,0.058077253487758496
exact_hidden_doy,exact2021,factor_z_w0.250,130,0.07943814891933847,0.05852548723616881
exact_hidden_doy,exact2021,factor_z_w0.275,130,0.08010240321679402,0.059024959865608635
exact_hidden_doy,exact2021,factor_z_w0.300,130,0.08084137843371424,0.059530779633847786
