dataset,partition,cohort,lag_weight,peer_weight,alpha,beta,n,coverage,rmse,baseline_rmse,delta_rmse
exact,exact_2022,all,0.250000000,0.100000000,0.325000000,-0.125000000,192,0.812500000,0.065986028,0.066372413,-0.000386385
exact,exact_2023,all,0.250000000,0.100000000,0.325000000,-0.125000000,169,0.958579882,0.068903851,0.070550725,-0.001646874
exact,exact_2024,all,0.250000000,0.100000000,0.325000000,-0.125000000,152,0.927631579,0.050650694,0.051238653,-0.000587960
random,random_0,all,0.250000000,0.100000000,0.325000000,-0.125000000,2644,0.695537065,0.072542938,0.073433179,-0.000890241
random,random_0,year2025,0.250000000,0.100000000,0.325000000,-0.125000000,756,0.940476190,0.051576259,0.052464820,-0.000888562
random,random_1,all,0.250000000,0.100000000,0.325000000,-0.125000000,2644,0.692133132,0.065503595,0.066541457,-0.001037861
random,random_1,year2025,0.250000000,0.100000000,0.325000000,-0.125000000,756,0.933862434,0.054772157,0.055045718,-0.000273561
random,random_2,all,0.250000000,0.100000000,0.325000000,-0.125000000,2644,0.669062027,0.067415498,0.068311653,-0.000896156
random,random_2,year2025,0.250000000,0.100000000,0.325000000,-0.125000000,756,0.927248677,0.075641656,0.076608182,-0.000966526
exact,exact_2019,all,0.250000000,0.100000000,0.325000000,-0.150000000,249,0.879518072,0.056165350,0.057195772,-0.001030422
exact,exact_2020,all,0.250000000,0.100000000,0.325000000,-0.150000000,222,0.941441441,0.055209303,0.055301391,-0.000092088
exact,exact_2021,all,0.250000000,0.100000000,0.325000000,-0.150000000,130,0.884615385,0.076996216,0.077316350,-0.000320134
exact,exact_2022,all,0.250000000,0.100000000,0.325000000,-0.150000000,192,0.812500000,0.066024056,0.066372413,-0.000348357
exact,exact_2023,all,0.250000000,0.100000000,0.325000000,-0.150000000,169,0.958579882,0.068844078,0.070550725,-0.001706647
exact,exact_2024,all,0.250000000,0.100000000,0.325000000,-0.150000000,152,0.927631579,0.050619154,0.051238653,-0.000619499
random,random_0,all,0.250000000,0.100000000,0.325000000,-0.150000000,2644,0.695537065,0.072526091,0.073433179,-0.000907089
random,random_0,year2025,0.250000000,0.100000000,0.325000000,-0.150000000,756,0.940476190,0.051565348,0.052464820,-0.000899472
random,random_1,all,0.250000000,0.100000000,0.325000000,-0.150000000,2644,0.692133132,0.065498297,0.066541457,-0.001043160
random,random_1,year2025,0.250000000,0.100000000,0.325000000,-0.150000000,756,0.933862434,0.054785558,0.055045718,-0.000260159
random,random_2,all,0.250000000,0.100000000,0.325000000,-0.150000000,2644,0.669062027,0.067403005,0.068311653,-0.000908649
random,random_2,year2025,0.250000000,0.100000000,0.325000000,-0.150000000,756,0.927248677,0.075631270,0.076608182,-0.000976912
exact,exact_2019,all,0.250000000,0.100000000,0.325000000,-0.175000000,249,0.879518072,0.056212722,0.057195772,-0.000983050
exact,exact_2020,all,0.250000000,0.100000000,0.325000000,-0.175000000,222,0.941441441,0.055197967,0.055301391,-0.000103424
exact,exact_2021,all,0.250000000,0.100000000,0.325000000,-0.175000000,130,0.884615385,0.076992429,0.077316350,-0.000323922
exact,exact_2022,all,0.250000000,0.100000000,0.325000000,-0.175000000,192,0.812500000,0.066064840,0.066372413,-0.000307574
exact,exact_2023,all,0.250000000,0.100000000,0.325000000,-0.175000000,169,0.958579882,0.068785631,0.070550725,-0.001765094
