group,model,cap,cohort,n,rmse,baseline_rmse,delta_rmse
group_aoiyear,hgb8,0.06,new_2025,623,0.13795333623073167,0.13720534816020127,0.0007479880705303921
group_aoiyear,hgb8,0.06,shared_2025,789,0.059451610241648495,0.05919489273644048,0.00025671750520801784
group_aoiyear,hgb8,0.08,all,4814,0.07818390903149572,0.07828438403249433,-0.00010047500099860662
group_aoiyear,hgb8,0.08,history,3402,0.06591629339063114,0.06642257497532737,-0.0005062815846962332
group_aoiyear,hgb8,0.08,2025,1412,0.1018424648232677,0.10131168943801397,0.0005307753852537289
group_aoiyear,hgb8,0.08,new,4025,0.08135183281512677,0.08150395229491074,-0.00015211947978396867
group_aoiyear,hgb8,0.08,shared,789,0.059451610241648495,0.05919489273644048,0.00025671750520801784
group_aoiyear,hgb8,0.08,new_history,3402,0.06591629339063114,0.06642257497532737,-0.0005062815846962332
group_aoiyear,hgb8,0.08,new_2025,623,0.13795333623073167,0.13720534816020127,0.0007479880705303921
group_aoiyear,hgb8,0.08,shared_2025,789,0.059451610241648495,0.05919489273644048,0.00025671750520801784
group_aoiyear,hgb16,0.02,all,4814,0.07825592360943054,0.07828438403249433,-2.8460423063786378e-05
group_aoiyear,hgb16,0.02,history,3402,0.06606424473791407,0.06642257497532737,-0.0003583302374133013
group_aoiyear,hgb16,0.02,2025,1412,0.10180005189031165,0.10131168943801397,0.0004883624522976776
group_aoiyear,hgb16,0.02,new,4025,0.0814167063565546,0.08150395229491074,-8.724593835614247e-05
group_aoiyear,hgb16,0.02,shared,789,0.05957654266892046,0.05919489273644048,0.0003816499324799799
group_aoiyear,hgb16,0.02,new_history,3402,0.06606424473791407,0.06642257497532737,-0.0003583302374133013
group_aoiyear,hgb16,0.02,new_2025,623,0.1378140584218541,0.13720534816020127,0.0006087102616528228
group_aoiyear,hgb16,0.02,shared_2025,789,0.05957654266892046,0.05919489273644048,0.0003816499324799799
group_aoiyear,hgb16,0.04,all,4814,0.07822218745563726,0.07828438403249433,-6.219657685706259e-05
group_aoiyear,hgb16,0.04,history,3402,0.06596821794100176,0.06642257497532737,-0.00045435703432561425
group_aoiyear,hgb16,0.04,2025,1412,0.10186167097803049,0.10131168943801397,0.0005499815400165226
group_aoiyear,hgb16,0.04,new,4025,0.08138170014143453,0.08150395229491074,-0.00012225215347620721
group_aoiyear,hgb16,0.04,shared,789,0.05955021396292641,0.05919489273644048,0.0003553212264859329
group_aoiyear,hgb16,0.04,new_history,3402,0.06596821794100176,0.06642257497532737,-0.00045435703432561425
group_aoiyear,hgb16,0.04,new_2025,623,0.13793161204583435,0.13720534816020127,0.0007262638856330716
group_aoiyear,hgb16,0.04,shared_2025,789,0.05955021396292641,0.05919489273644048,0.0003553212264859329
group_aoiyear,hgb16,0.06,all,4814,0.0782217648121546,0.07828438403249433,-6.261922033971856e-05
