radius,method,policy,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
8,mean,override5525,bucket_0.005_0.01,0.06677974346445316,0.06304256400969115,0.0703812080806479
16,mean,override5525,bucket_0_0.005,0.0667799136745684,0.06303868443405837,0.07038576862832513
4,median,dist502,bucket_0_0.03,0.06677995669874968,0.06299654472775851,0.07034952110653031
16,median,override6035,route_plus_direct_0.005,0.06678048425734288,0.06303927016191703,0.0703959605565856
16,median,override6035,bucket_0.005_0.005,0.06678048425734288,0.06303927016191703,0.0703959605565856
1,median,override5525,route_plus_direct_0.005,0.06678061895767066,0.06306074517393913,0.07038422348536523
1,mean,override5525,bucket_0.005_0.005,0.06678061895767066,0.06306074517393913,0.07038422348536523
1,median,override5525,bucket_0.005_0.005,0.06678061895767066,0.06306074517393913,0.07038422348536523
1,mean,override5525,route_plus_direct_0.005,0.06678061895767066,0.06306074517393913,0.07038422348536523
1,mean,override6035,bucket_0.005_0.02,0.06678090728628855,0.0630896719539424,0.07038610360956613
1,median,override6035,bucket_0.005_0.02,0.06678090728628855,0.0630896719539424,0.07038610360956613
8,mean,override6035,bucket_0.005_0.03,0.06678095676849868,0.06305921881512523,0.07037966550662916
16,median,override5525,bucket_0_0.005,0.06678100393095972,0.06303859581752728,0.07038601793358977
4,mean,dist502,bucket_0_0.005,0.06678121701113707,0.06298213837066095,0.07039372549848001
8,mean,override6035,bucket_0.01_0.005,0.06678123076824778,0.06304249245871063,0.07039313957449572
16,median,override6035,bucket_0.005_0.01,0.06678131601357816,0.06304121122685008,0.07039339816991083
4,median,dist502,bucket_0_0.005,0.066781473227452,0.06298343650025592,0.07039272982238969
4,median,dist503,bucket_0.005_0.01,0.06678154259952743,0.06299977412706217,0.07038079144102632
8,mean,dist502,bucket_0_0.01,0.06678171251432147,0.06298743623656482,0.07039478881225063
1,mean,override5525,bucket_0.005_0,0.06678175431902782,0.06305291596206125,0.07038749702599256
1,median,override5525,bucket_0.005_0,0.06678175431902782,0.06305291596206125,0.07038749702599256
4,median,override6035,route_plus_direct_0.015,0.06678176074513738,0.06307969018223888,0.07036884336941139
8,mean,override5525,bucket_0.005_0.02,0.06678181022884043,0.0630515852821484,0.07037723982675485
16,median,override5525,bucket_0_0.01,0.06678182513426452,0.06304050753280582,0.0703834249221621
2,mean,dist503,bucket_0.01_0.02,0.06678193122972483,0.06298765272539271,0.07039550733248043
16,mean,override6035,route_plus_direct_-0.01,0.06678195035522119,0.06303318830009264,0.07040428706687099
4,mean,dist503,bucket_0.01_0.02,0.06678210977337955,0.06300151964115197,0.07036626493510226
16,mean,override6035,bucket_0.005_0.02,0.06678212895370544,0.06304975171082566,0.0703893148518054
2,median,dist503,bucket_0_0.005,0.06678218204032478,0.0629838468221505,0.07040213771546969
8,median,override5525,bucket_0_0.02,0.06678270371761381,0.06305192873266241,0.07037532351919329
