split,seed,stat,alpha,base_rmse,rmse,delta
released,-1,date,0.0200000000,0.0615333398,0.0617393536,0.0002060138
released,-1,date,0.0300000000,0.0615333398,0.0619179308,0.0003845910
released,-1,date,0.0500000000,0.0615333398,0.0624240639,0.0008907242
released,-1,date,0.0800000000,0.0615333398,0.0635459389,0.0020125991
released,-1,date,0.1000000000,0.0615333398,0.0645258309,0.0029924911
released,-1,date,0.1500000000,0.0615333398,0.0677259859,0.0061926462
released,-1,date,0.2000000000,0.0615333398,0.0718779710,0.0103446313
released,-1,date,0.3000000000,0.0615333398,0.0824313745,0.0208980347
released,-1,bin,0.0100000000,0.0615333398,0.0616110517,0.0000777120
released,-1,bin,0.0200000000,0.0615333398,0.0617393536,0.0002060138
released,-1,bin,0.0300000000,0.0615333398,0.0619179308,0.0003845910
released,-1,bin,0.0500000000,0.0615333398,0.0624240639,0.0008907242
released,-1,bin,0.0800000000,0.0615333398,0.0635459389,0.0020125991
released,-1,bin,0.1000000000,0.0615333398,0.0645258309,0.0029924911
released,-1,bin,0.1500000000,0.0615333398,0.0677259859,0.0061926462
released,-1,bin,0.2000000000,0.0615333398,0.0718779710,0.0103446313
released,-1,bin,0.3000000000,0.0615333398,0.0824313745,0.0208980347
