year,bd,robust,base,alpha,n,rmse,mae,facn
2019,8,trimmean,lag,0.1,249,0.06398692874833058,0.04482842357442414,247
2019,8,trimmean,lag,0.2,249,0.06431818097941448,0.04496452637501787,247
2019,8,trimmean,lag,0.3,249,0.06548815013986466,0.04636258404659302,247
2019,8,trimmean,lag,0.4,249,0.06745320795459737,0.04849347213892572,247
2019,8,trimmean,lag,0.5,249,0.07014656633346225,0.05117330115682362,247
2019,8,trimmean,lag,0.7,249,0.07739415953122061,0.05788365804135059,247
2019,8,trimmean,lag,1.0,249,0.09172834376122539,0.0709328792671302,247
2019,8,trimmean,lag,1.5,249,0.1210034651965772,0.09653231162380727,247
2019,8,trimmean,base,0.0,249,0.06504498648921714,0.04715896372924984,247
2019,8,trimmean,base,0.1,249,0.06409838027619738,0.04584923219813114,247
2019,8,trimmean,base,0.2,249,0.06399783192472644,0.04514093287086316,247
2019,8,trimmean,base,0.3,249,0.0647472831745319,0.04541493608183827,247
2019,8,trimmean,base,0.4,249,0.06631792303958615,0.046712091411574855,247
2019,8,trimmean,base,0.5,249,0.06865341364032732,0.04886092708988294,247
2019,8,trimmean,base,0.7,249,0.07531164539427204,0.055375780468696914,247
2019,8,trimmean,base,1.0,249,0.08905017350435837,0.06830665228606576,247
2019,8,trimmean,base,1.5,249,0.11781670873624756,0.0933077294670918,247
2019,8,trimmean,hgb,0.0,249,0.057749371318698485,0.03972701940527716,247
2019,8,trimmean,hgb,0.1,249,0.05826648185693361,0.03986827120014949,247
2019,8,trimmean,hgb,0.2,249,0.059702127086459764,0.04099849710588858,247
2019,8,trimmean,hgb,0.3,249,0.061992524546877203,0.04301694245482188,247
2019,8,trimmean,hgb,0.4,249,0.06504744630749552,0.04613075775825793,247
2019,8,trimmean,hgb,0.5,249,0.06876507465961056,0.04983595865559351,247
2019,8,trimmean,hgb,0.7,249,0.07779248092022967,0.05868352489027122,247
2019,8,trimmean,hgb,1.0,249,0.09410888564730603,0.07350996246623577,247
2019,8,trimmean,hgb,1.5,249,0.12537356372941086,0.1007505532557037,247
2019,8,mean,lag,0.0,249,0.06450731545469175,0.045785213056398634,247
2019,8,mean,lag,0.1,249,0.06390841518809741,0.044852600698479086,247
2019,8,mean,lag,0.2,249,0.06401808922435967,0.04474913661235589,247
2019,8,mean,lag,0.3,249,0.06483274169293336,0.04570703613521875,247
