radius,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse
8,median,r_plus_d_-0.1,0.06929575207437916,0.0656180680957823,0.07263390671491861
16,mean,b40_d_-0.1,0.06931520146844763,0.06575383361135537,0.07253716464259377
8,mean,b40_d_0.1,0.06934508479992776,0.06585418011077752,0.07246266665388176
16,median,r_plus_d_0.1,0.06935805088095867,0.06581267230399661,0.07262267008119104
16,mean,b40_d_0.1,0.06942514343106886,0.06591355682932881,0.07258847620148498
1,mean,r_plus_d_-0.1,0.06948665689560836,0.06536936477586519,0.07288106333327976
1,median,r_plus_d_-0.1,0.06948665689560836,0.06536936477586519,0.07288106333327976
4,median,b40_d_0.1,0.06949397503891534,0.06620614667277931,0.07246143028118252
2,mean,b40_d_0.1,0.06950266303606684,0.06588500307601218,0.07266404307006921
16,median,b40_d_-0.1,0.06950546075210003,0.0659654828852335,0.07271599573358607
1,mean,b40_d_0.1,0.06953473392861871,0.06633644163508122,0.07267751504603186
1,median,b40_d_0.1,0.06953473392861871,0.06633644163508122,0.07267751504603186
4,median,r_plus_d_-0.1,0.06953674646320239,0.06570353120243126,0.07295147302643973
8,mean,b40_d_-0.1,0.06955585854770006,0.06600168732581156,0.07275884209581561
2,median,b40_d_0.1,0.06960861070947232,0.06602702953485771,0.0727617782215546
8,median,b40_d_0.1,0.06966708546582671,0.06626881018350174,0.07271370256339911
2,mean,r_plus_d_-0.1,0.0696777149145604,0.06604338625156041,0.07310801072238617
4,mean,b40_d_-0.1,0.06978378616045076,0.06615238555263084,0.07307597685952287
8,median,b40_d_-0.1,0.06978723779645782,0.06618999404859847,0.07295797438890636
16,median,b40_d_0.1,0.06980716234398626,0.06632530496238685,0.07292189295871639
2,median,r_plus_d_-0.1,0.06983772631520267,0.06618930145216875,0.0732341762354457
1,median,b40_d_-0.1,0.07002128070419723,0.06604089941997149,0.07321881351808972
1,mean,b40_d_-0.1,0.07002128070419723,0.06604089941997149,0.07321881351808972
4,median,b40_d_-0.1,0.07003481354060355,0.06629037273221981,0.0732613981604927
2,mean,b40_d_-0.1,0.07019104115559154,0.06667718333362949,0.073435373249934
2,median,b40_d_-0.1,0.07034772155125199,0.06681475623336999,0.07356286854277794
4,mean,r_plus_d_0.15,0.07125666195870702,0.06792071317912406,0.07406383508436408
8,mean,r_plus_d_0.15,0.07139579609558094,0.06805656220950566,0.07432098409495835
16,mean,r_plus_d_0.15,0.07145525431103401,0.06808090704011739,0.07447551336881023
4,median,r_plus_d_0.15,0.07185707559401183,0.06880392141418146,0.07451063487259774
2,mean,r_plus_d_0.15,0.07194525378328522,0.06841162002273682,0.07496066415674102
1,median,r_plus_d_0.15,0.07195999437497745,0.06902450311210163,0.07491452564161129
1,mean,r_plus_d_0.15,0.07195999437497745,0.06902450311210163,0.07491452564161129
8,median,r_plus_d_0.15,0.07207294899151452,0.06886622433923607,0.07487099957928299
2,median,r_plus_d_0.15,0.07219223028728147,0.0687114839655781,0.0751867498412447
16,median,r_plus_d_0.15,0.07222851378661202,0.06889349243664193,0.07516786100514018
16,mean,r_plus_d_-0.2,0.07453372854799427,0.07119302830213406,0.07736065895921318
4,mean,r_plus_d_0.2,0.0746562435021792,0.0715360618116346,0.07702100149045457
8,mean,r_plus_d_0.2,0.07478794904569808,0.07169439297554142,0.07729722164842137
16,mean,r_plus_d_0.2,0.07478888939786885,0.07163767852783261,0.07744941348907779
8,mean,r_plus_d_-0.2,0.07513249122682714,0.07183802757445962,0.0778786005147065
16,median,r_plus_d_-0.2,0.07539374440578749,0.07217671183671824,0.07812967529915651
4,mean,r_plus_d_-0.2,0.07562289989396026,0.07210406385445332,0.07857292085067048
4,median,r_plus_d_0.2,0.07566224349610495,0.07292928252300217,0.07777494917590769
1,median,r_plus_d_0.2,0.07580021112132346,0.07314235482576596,0.07836707100845346
1,mean,r_plus_d_0.2,0.07580021112132346,0.07314235482576596,0.07836707100845346
2,mean,r_plus_d_0.2,0.07584796237278334,0.07246007476416093,0.07852206431355022
8,median,r_plus_d_0.2,0.0759019433945285,0.07299256532701413,0.07820857053230257
16,median,r_plus_d_0.2,0.07603354906845913,0.07295004707560626,0.078570785809866
8,median,r_plus_d_-0.2,0.07605061107745664,0.07275289035516763,0.07862462941151427
2,median,r_plus_d_0.2,0.07628106406982678,0.07296553691898396,0.07891396459622046
1,mean,r_plus_d_-0.2,0.07648007840505068,0.07220393010114283,0.07928437060643584
1,median,r_plus_d_-0.2,0.07648007840505068,0.07220393010114283,0.07928437060643584
4,median,r_plus_d_-0.2,0.07655590384512553,0.07293718767122764,0.07926269269828791
2,mean,r_plus_d_-0.2,0.07695790260934458,0.07359683204799668,0.07989035349893273
2,median,r_plus_d_-0.2,0.0774855602696596,0.07411105693209588,0.08032602664056823
16,mean,direct,0.17931124252045236,0.17526167728836786,0.1826646574253438
8,mean,direct,0.18178712093404528,0.1765430160970212,0.1853614288635818
4,mean,direct,0.18300446828598768,0.17780417374687602,0.18805862128733236
16,median,direct,0.19041470750839207,0.18584066454378817,0.1937259346793239
8,median,direct,0.1922306290360787,0.18563619341183077,0.1958865706367833
4,median,direct,0.19281798572609052,0.18561694577925938,0.19840251057292033
1,mean,direct,0.19332922474383632,0.18940656465420985,0.19701772352769747
1,median,direct,0.19332922474383632,0.18940656465420985,0.19701772352769747
2,mean,direct,0.19549417843738637,0.19288382466040796,0.19825794562716156
2,median,direct,0.20005303461450769,0.1970474001753861,0.20281388129701497
