year,subset,method,n,rmse
2021,all,raw8,130,0.17938180395896466
2021,all,raw12,130,0.1827224439799546
2021,all,raw16,130,0.18269184984299572
2021,all,converted2,130,0.1316780622529262
2021,all,converted3,130,0.1149183517831679
2021,all,converted4,130,0.11222976488239411
2021,all,converted6,130,0.10960265380098162
2021,all,converted8,130,0.10978884428931082
2021,all,converted12,130,0.11273000735366476
2021,all,converted16,130,0.11749123987013856
2021,period,prod,81,0.09595760367195987
2021,period,raw2,81,0.1367450741241778
2021,period,raw3,81,0.14813681804442727
2021,period,raw4,81,0.16240313826745179
2021,period,raw6,81,0.17190792437872077
2021,period,raw8,81,0.1717546908676623
2021,period,raw12,81,0.17244629228554234
2021,period,raw16,81,0.17244629228554234
2021,period,converted2,81,0.1233128260060087
2021,period,converted3,81,0.10358536531467863
2021,period,converted4,81,0.10054137130311813
2021,period,converted6,81,0.09501302581133142
2021,period,converted8,81,0.09638198505373329
2021,period,converted12,81,0.09873817465351653
2021,period,converted16,81,0.10242883910097861
2021,true_modis,prod,58,0.09875228147201576
2021,true_modis,raw2,58,0.11356457153625647
2021,true_modis,raw3,58,0.1310348490208442
2021,true_modis,raw4,58,0.14866573821473006
2021,true_modis,raw6,58,0.16168204643025313
2021,true_modis,raw8,58,0.16162927760326987
2021,true_modis,raw12,58,0.16306642609762223
2021,true_modis,raw16,58,0.16306642609762223
2021,true_modis,converted2,58,0.12345289676710285
2021,true_modis,converted3,58,0.10396162504230118
2021,true_modis,converted4,58,0.09974505944312179
2021,true_modis,converted6,58,0.09126021866750429
2021,true_modis,converted8,58,0.09077678836969928
2021,true_modis,converted12,58,0.09218324800971144
2021,true_modis,converted16,58,0.09447146972087918
2021,period_modis,prod,58,0.09875228147201576
2021,period_modis,raw2,58,0.11356457153625647
2021,period_modis,raw3,58,0.1310348490208442
2021,period_modis,raw4,58,0.14866573821473006
2021,period_modis,raw6,58,0.16168204643025313
2021,period_modis,raw8,58,0.16162927760326987
2021,period_modis,raw12,58,0.16306642609762223
2021,period_modis,raw16,58,0.16306642609762223
2021,period_modis,converted2,58,0.12345289676710285
2021,period_modis,converted3,58,0.10396162504230118
2021,period_modis,converted4,58,0.09974505944312179
2021,period_modis,converted6,58,0.09126021866750429
2021,period_modis,converted8,58,0.09077678836969928
2021,period_modis,converted12,58,0.09218324800971144
2021,period_modis,converted16,58,0.09447146972087918
2022,all,prod,192,0.07224060509795764
2022,all,raw2,192,0.11383136098315401
2022,all,raw3,192,0.11592412095649156
2022,all,raw4,192,0.12552140804928558
2022,all,raw6,192,0.1378619431081213
2022,all,raw8,192,0.14503051796213148
2022,all,raw12,192,0.1494280876911438
2022,all,raw16,192,0.14942904111941474
2022,all,converted2,192,0.09733348492347133
2022,all,converted3,192,0.09013034608097831
2022,all,converted4,192,0.08995570233168729
2022,all,converted6,192,0.08926122440395473
2022,all,converted8,192,0.08987247002017767
2022,all,converted12,192,0.09172382557661805
2022,all,converted16,192,0.09488479886088808
2022,period,prod,79,0.08159281308923715
2022,period,raw2,79,0.11743407368751999
2022,period,raw3,79,0.12369739502313697
2022,period,raw4,79,0.13715441470169434
2022,period,raw6,79,0.1524181839972353
2022,period,raw8,79,0.15649175064471912
2022,period,raw12,79,0.15783267255636105
2022,period,raw16,79,0.15783267255636105
2022,period,converted2,79,0.10079887887186859
2022,period,converted3,79,0.0945586762935148
2022,period,converted4,79,0.09778191678082652
2022,period,converted6,79,0.09756856122013839
2022,period,converted8,79,0.09821646819972427
2022,period,converted12,79,0.0993435241964527
2022,period,converted16,79,0.10147404923523935
2022,true_modis,prod,54,0.08402124644730623
2022,true_modis,raw2,54,0.08653868133788128
2022,true_modis,raw3,54,0.09210611267145563
2022,true_modis,raw4,54,0.10700233796070555
2022,true_modis,raw6,54,0.12371779419597696
2022,true_modis,raw8,54,0.12971841074628912
2022,true_modis,raw12,54,0.13327510655835542
2022,true_modis,raw16,54,0.13327510655835542
2022,true_modis,converted2,54,0.08485050069479984
2022,true_modis,converted3,54,0.07741614157638958
2022,true_modis,converted4,54,0.07973483332216393
2022,true_modis,converted6,54,0.07966408997989471
2022,true_modis,converted8,54,0.07903279914522256
2022,true_modis,converted12,54,0.0777384442716196
2022,true_modis,converted16,54,0.07775547326888586
2022,period_modis,prod,54,0.08402124644730623
2022,period_modis,raw2,54,0.08653868133788128
2022,period_modis,raw3,54,0.09210611267145563
2022,period_modis,raw4,54,0.10700233796070555
2022,period_modis,raw6,54,0.12371779419597696
2022,period_modis,raw8,54,0.12971841074628912
2022,period_modis,raw12,54,0.13327510655835542
2022,period_modis,raw16,54,0.13327510655835542
2022,period_modis,converted2,54,0.08485050069479984
2022,period_modis,converted3,54,0.07741614157638958
2022,period_modis,converted4,54,0.07973483332216393
