protocol,partition,candidate,n,rmse,mae,tag,tail_n
random_private_like,random0,hgb16_s0.50,2644,0.07415567777041239,0.044473683192644844,fit_exact,169
random_private_like,random0,hgb16_s0.75,2644,0.07500302688358336,0.04558912933245156,fit_exact,169
random_private_like,random0,hgb16,2644,0.07615373548942375,0.047045987374222366,fit_exact,169
random_private_like,random1,baseline,2644,0.06654105909924508,0.04336477478155467,fit_exact,165
random_private_like,random1,ridge10_s0.25,2644,0.0665472673111336,0.04339758902874791,fit_exact,165
random_private_like,random1,ridge10_s0.50,2644,0.06698551923022034,0.04386997931757827,fit_exact,165
random_private_like,random1,ridge10_s0.75,2644,0.06784744317907251,0.0447066713688767,fit_exact,165
random_private_like,random1,ridge10,2644,0.06911719080493096,0.0458306651049859,fit_exact,165
random_private_like,random1,ridge30_s0.25,2644,0.06652488899370256,0.04336657386432949,fit_exact,165
random_private_like,random1,ridge30_s0.50,2644,0.0667972267769827,0.04369905721461354,fit_exact,165
random_private_like,random1,ridge30_s0.75,2644,0.0673545729291104,0.04430042355173846,fit_exact,165
random_private_like,random1,ridge30,2644,0.06818993931457948,0.045146626997540885,fit_exact,165
random_private_like,random1,ridge100,2644,0.06778209638802232,0.04473740921159447,fit_exact,165
random_private_like,random1,huber,2644,0.06809898207058768,0.04496755525580474,fit_exact,165
random_private_like,random1,hgb8_s0.25,2644,0.06646786203001179,0.04337449101898856,fit_exact,165
random_private_like,random1,hgb8_s0.50,2644,0.06668931681237339,0.04375521036880819,fit_exact,165
random_private_like,random1,hgb8_s0.75,2644,0.06720251057981766,0.044422736137264766,fit_exact,165
random_private_like,random1,hgb8,2644,0.06800083850092489,0.04535430261158294,fit_exact,165
random_private_like,random1,hgb16_s0.25,2644,0.06653148491470674,0.04343815886089916,fit_exact,165
random_private_like,random1,hgb16_s0.50,2644,0.06688039656864557,0.04394060250159531,fit_exact,165
random_private_like,random1,hgb16_s0.75,2644,0.06758224194801152,0.044809939030123466,fit_exact,165
random_private_like,random1,hgb16,2644,0.06862619346559055,0.04601012232847563,fit_exact,165
random_private_like,random2,baseline,2644,0.06821208638790288,0.04083501769879138,fit_exact,157
random_private_like,random2,ridge10_s0.25,2644,0.06817307793885208,0.04096219975625477,fit_exact,157
random_private_like,random2,ridge10_s0.50,2644,0.06859438087470635,0.04165082299000266,fit_exact,157
random_private_like,random2,ridge10_s0.75,2644,0.06946762069607083,0.04271490141002126,fit_exact,157
random_private_like,random2,ridge10,2644,0.07077607129831001,0.04405898020385431,fit_exact,157
random_private_like,random2,ridge30_s0.25,2644,0.06811003309108499,0.040883744317366216,fit_exact,157
random_private_like,random2,ridge30_s0.50,2644,0.06830656122627579,0.04133117309803593,fit_exact,157
random_private_like,random2,ridge30_s0.75,2644,0.068799112102276,0.04207904129875762,fit_exact,157
random_private_like,random2,ridge30,2644,0.06958139957040547,0.043101574962927505,fit_exact,157
random_private_like,random2,ridge100,2644,0.06891357879264641,0.04238626084846338,fit_exact,157
random_private_like,random2,huber,2644,0.06993685347134519,0.04314352421914712,fit_exact,157
random_private_like,random2,hgb8_s0.25,2644,0.06817714395354542,0.041087563062933735,fit_exact,157
random_private_like,random2,hgb8_s0.50,2644,0.06844378682787201,0.041707124372621154,fit_exact,157
random_private_like,random2,hgb8_s0.75,2644,0.06900851920176902,0.04260581315124629,fit_exact,157
random_private_like,random2,hgb8,2644,0.06986411281128291,0.04378658278857057,fit_exact,157
random_private_like,random2,hgb16_s0.25,2644,0.06814317797326552,0.041108852284027116,fit_exact,157
random_private_like,random2,hgb16_s0.50,2644,0.06843806991077575,0.04181559982748208,fit_exact,157
random_private_like,random2,hgb16_s0.75,2644,0.06909210414974344,0.0428595038644611,fit_exact,157
random_private_like,random2,hgb16,2644,0.07009522831460378,0.0442737908052272,fit_exact,157
