scope,seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
seed,2,n8_c40_r125_k2,0.0300000000,2644,2187,0.8271558245,0.0640616531,0.0641796998,-0.0001180467
seed,2,n16_c60_r125_k2,0.0500000000,2644,1769,0.6690620272,0.0640659393,0.0641796998,-0.0001137605
seed,2,n8_c40_r125_k2,0.1200000000,2644,2187,0.8271558245,0.0640740916,0.0641796998,-0.0001056082
seed,2,n16_c60_r100_k1,0.0500000000,2644,1601,0.6055219365,0.0640789475,0.0641796998,-0.0001007523
seed,2,n16_c60_r125_k2,0.1000000000,2644,1769,0.6690620272,0.0640800185,0.0641796998,-0.0000996813
seed,2,n12_c40_r100_k2,0.0200000000,2644,1904,0.7201210287,0.0640810377,0.0641796998,-0.0000986622
seed,2,n8_c40_r125_k1,0.0300000000,2644,2187,0.8271558245,0.0640822320,0.0641796998,-0.0000974678
seed,2,n16_c60_r100_k1,0.0800000000,2644,1601,0.6055219365,0.0640844385,0.0641796998,-0.0000952613
seed,2,n8_c40_r125_k1,0.0800000000,2644,2187,0.8271558245,0.0640888207,0.0641796998,-0.0000908791
seed,2,n12_c40_r100_k1,0.0200000000,2644,1904,0.7201210287,0.0640915780,0.0641796998,-0.0000881218
seed,2,n16_c60_r125_k1,0.0500000000,2644,1769,0.6690620272,0.0640939037,0.0641796998,-0.0000857961
seed,2,n8_c40_r125_k2,0.0200000000,2644,2187,0.8271558245,0.0640942354,0.0641796998,-0.0000854644
seed,2,n16_c60_r125_k2,0.0300000000,2644,1769,0.6690620272,0.0640961237,0.0641796998,-0.0000835761
seed,2,n16_c60_r100_k1,0.0300000000,2644,1601,0.6055219365,0.0641027781,0.0641796998,-0.0000769217
seed,1,n8_c40_r125_k2,0.3000000000,2644,2188,0.8275340393,0.0641048599,0.0617229811,0.0023818788
seed,2,n8_c40_r125_k1,0.0200000000,2644,2187,0.8271558245,0.0641062835,0.0641796998,-0.0000734163
seed,2,n16_c60_r125_k1,0.0300000000,2644,1769,0.6690620272,0.0641089902,0.0641796998,-0.0000707096
seed,2,n16_c60_r100_k1,0.1000000000,2644,1601,0.6055219365,0.0641155851,0.0641796998,-0.0000641147
seed,2,n16_c60_r125_k2,0.0200000000,2644,1769,0.6690620272,0.0641188813,0.0641796998,-0.0000608185
seed,2,n16_c60_r125_k1,0.0800000000,2644,1769,0.6690620272,0.0641193990,0.0641796998,-0.0000603008
seed,2,n16_c60_r125_k2,0.1200000000,2644,1769,0.6690620272,0.0641214521,0.0641796998,-0.0000582477
seed,2,n16_c60_r100_k1,0.0200000000,2644,1601,0.6055219365,0.0641229338,0.0641796998,-0.0000567661
seed,2,n16_c60_r125_k1,0.0200000000,2644,1769,0.6690620272,0.0641261546,0.0641796998,-0.0000535452
seed,2,n12_c40_r100_k2,0.0100000000,2644,1904,0.7201210287,0.0641276610,0.0641796998,-0.0000520388
seed,2,n12_c40_r100_k1,0.0100000000,2644,1904,0.7201210287,0.0641322984,0.0641796998,-0.0000474014
seed,2,n8_c40_r125_k2,0.0100000000,2644,2187,0.8271558245,0.0641335885,0.0641796998,-0.0000461113
seed,2,n8_c40_r125_k1,0.0100000000,2644,2187,0.8271558245,0.0641387771,0.0641796998,-0.0000409227
seed,2,n16_c60_r125_k2,0.0100000000,2644,1769,0.6690620272,0.0641467422,0.0641796998,-0.0000329576
seed,2,n16_c60_r100_k1,0.0100000000,2644,1601,0.6055219365,0.0641485765,0.0641796998,-0.0000311233
seed,2,n16_c60_r125_k1,0.0100000000,2644,1769,0.6690620272,0.0641497268,0.0641796998,-0.0000299730
seed,2,n8_c40_r125_k1,0.1000000000,2644,2187,0.8271558245,0.0641506257,0.0641796998,-0.0000290741
seed,2,n16_c60_r125_k1,0.1000000000,2644,1769,0.6690620272,0.0641684495,0.0641796998,-0.0000112504
seed,2,n16_c60_r100_k1,0.1200000000,2644,1601,0.6055219365,0.0641686863,0.0641796998,-0.0000110135
seed,2,n12_c40_r100_k1,0.1500000000,2644,1904,0.7201210287,0.0641731172,0.0641796998,-0.0000065826
seed,2,n12_c40_r100_k2,0.2000000000,2644,1904,0.7201210287,0.0641746614,0.0641796998,-0.0000050384
seed,2,n12_c40_r100_k2,0.0000000000,2644,1904,0.7201210287,0.0641796998,0.0641796998,0.0000000000
seed,2,n8_c40_r125_k2,0.0000000000,2644,2187,0.8271558245,0.0641796998,0.0641796998,0.0000000000
seed,2,n16_c60_r125_k2,0.0000000000,2644,1769,0.6690620272,0.0641796998,0.0641796998,0.0000000000
seed,2,n16_c60_r100_k1,0.0000000000,2644,1601,0.6055219365,0.0641796998,0.0641796998,0.0000000000
seed,2,n16_c60_r125_k1,0.0000000000,2644,1769,0.6690620272,0.0641796998,0.0641796998,0.0000000000
seed,2,n12_c40_r100_k1,0.0000000000,2644,1904,0.7201210287,0.0641796998,0.0641796998,0.0000000000
seed,2,n8_c40_r125_k1,0.0000000000,2644,2187,0.8271558245,0.0641796998,0.0641796998,0.0000000000
seed,2,n8_c40_r125_k2,0.1500000000,2644,2187,0.8271558245,0.0642003913,0.0641796998,0.0000206914
seed,2,n16_c60_r125_k2,0.1500000000,2644,1769,0.6690620272,0.0642218533,0.0641796998,0.0000421535
seed,2,n16_c60_r125_k1,0.1200000000,2644,1769,0.6690620272,0.0642430788,0.0641796998,0.0000633790
seed,2,n8_c40_r125_k1,0.1200000000,2644,2187,0.8271558245,0.0642461255,0.0641796998,0.0000664257
seed,2,n16_c60_r100_k1,0.1500000000,2644,1601,0.6055219365,0.0642893778,0.0641796998,0.0001096780
seed,2,n16_c60_r125_k1,0.1500000000,2644,1769,0.6690620272,0.0644027803,0.0641796998,0.0002230805
seed,2,n8_c40_r125_k1,0.1500000000,2644,2187,0.8271558245,0.0644522110,0.0641796998,0.0002725112
seed,2,n16_c60_r125_k2,0.2000000000,2644,1769,0.6690620272,0.0644906007,0.0641796998,0.0003109009
