year,feat,base,w,sse,n,mae,cov
2020,hist_local,hgb,0.4,1.1841646357611195,222,0.055548573496007274,1.0
2020,hist_local,hgb,0.5,1.502601378808689,222,0.06317265101770819,1.0
2020,hist_local,hgb,0.7,2.374960586544648,222,0.0796437183338437,1.0
2020,hist_local,hgb,1.0,4.272213702250637,222,0.1073500561763791,1.0
2020,hist_local,hgb_lag,0.0,0.6791643260362848,222,0.037629656313872696,1.0
2020,hist_local,hgb_lag,0.02,0.675991024115576,222,0.03779230113152302,1.0
2020,hist_local,hgb_lag,0.05,0.6769734913450989,222,0.038163711834854556,1.0
2020,hist_local,hgb_lag,0.1,0.693924057022534,222,0.039380956731403224,1.0
2020,hist_local,hgb_lag,0.15,0.7300160230685908,222,0.041407602312943395,1.0
2020,hist_local,hgb_lag,0.2,0.7852493894832691,222,0.04373170294329486,1.0
2020,hist_local,hgb_lag,0.3,0.9531403234184899,222,0.049339472429614506,1.0
2020,hist_local,hgb_lag,0.4,1.1975968588281964,222,0.05600531746476629,1.0
2020,hist_local,hgb_lag,0.5,1.5186189957123886,222,0.06358767974162119,1.0
2020,hist_local,hgb_lag,0.7,2.3903600739042306,222,0.07989559040114928,1.0
2020,hist_local,hgb_lag,1.0,4.272213702250637,222,0.1073500561763791,1.0
2021,hist_exact,hgb,0.0,0.7807221728651669,130,0.05719327837556267,0.9923076923076923
2021,hist_exact,hgb,0.02,0.7807216766707117,130,0.05723492573911254,0.9923076923076923
2021,hist_exact,hgb,0.05,0.7852572995744469,130,0.0574385031032753,0.9923076923076923
2021,hist_exact,hgb,0.1,0.8049136502684529,130,0.05819255742427537,0.9923076923076923
2021,hist_exact,hgb,0.15,0.8396912249471851,130,0.059377994485415156,0.9923076923076923
2021,hist_exact,hgb,0.2,0.8895900236106431,130,0.0611481821987003,0.9923076923076923
2021,hist_exact,hgb,0.3,1.0347512928917377,130,0.0652164495122286,0.9923076923076923
2021,hist_exact,hgb,0.4,1.240397458111736,130,0.07084577463320833,0.9923076923076923
