protocol,year,kind,order,alpha,rob,pm,rm,rmse,mae,n,seed
exact,2021,rbf,20,20,0,1,0.0,0.18066542147205542,0.13466069853371493,130,
exact,2021,rbf,20,20,1,0,0.0,0.24558584584962567,0.1827256208045323,130,
exact,2021,rbf,20,20,1,1,0.0,0.24197463194440313,0.18029826320092626,130,
exact,2022,fourier,3,1,0,0,0.0,0.09243372591312818,0.0711743927641789,192,
exact,2022,fourier,3,1,0,1,0.0,0.09168542566958893,0.07093472550143144,192,
exact,2022,fourier,3,1,1,0,0.0,0.0961933149381029,0.0735256308410488,192,
exact,2022,fourier,3,1,1,1,0.0,0.0948396970148668,0.07269907637517024,192,
exact,2022,fourier,3,20,0,0,0.0,0.14239712454846967,0.11309709625859649,192,
exact,2022,fourier,3,20,0,1,0.0,0.1420100949974113,0.11277993185796559,192,
exact,2022,fourier,3,20,1,0,0.0,0.2112851829427767,0.16322809652546774,192,
exact,2022,fourier,3,20,1,1,0.0,0.20878076727671774,0.16145129975587255,192,
exact,2022,fourier,8,1,0,0,0.0,0.08316606773279615,0.06127309004856727,192,
exact,2022,fourier,8,1,0,1,0.0,0.08245097874555422,0.06078659221920015,192,
exact,2022,fourier,8,1,1,0,0.0,0.08730978067835163,0.06343481025048113,192,
exact,2022,fourier,8,1,1,1,0.0,0.08604130378075368,0.062194962294175406,192,
exact,2022,fourier,8,20,0,0,0.0,0.14387812082412338,0.11573954540466269,192,
exact,2022,fourier,8,20,0,1,0.0,0.14306302874327426,0.11505012674818031,192,
exact,2022,fourier,8,20,1,0,0.0,0.22221445280819116,0.1736305366967051,192,
exact,2022,fourier,8,20,1,1,0.0,0.2185703716513742,0.17128864763012405,192,
exact,2022,fourier,12,1,0,0,0.0,0.08941262810209588,0.06538702119645066,192,
exact,2022,fourier,12,1,0,1,0.0,0.08817564672067,0.06470334727664416,192,
exact,2022,fourier,12,1,1,0,0.0,0.09118002018707393,0.06670651977127846,192,
exact,2022,fourier,12,1,1,1,0.0,0.08989381054515153,0.0657132770393024,192,
exact,2022,fourier,12,20,0,0,0.0,0.1588467975288756,0.12728028777775838,192,
exact,2022,fourier,12,20,0,1,0.0,0.15765540078646606,0.1262534516466075,192,
exact,2022,fourier,12,20,1,0,0.0,0.23992281956881242,0.18781507973435926,192,
exact,2022,fourier,12,20,1,1,0.0,0.23560057905140358,0.18478342077540802,192,
exact,2022,rbf,6,1,0,0,0.0,0.09742596918507289,0.07692068043719778,192,
exact,2022,rbf,6,1,0,1,0.0,0.09844156699454838,0.07720248632777359,192,
exact,2022,rbf,6,1,1,0,0.0,0.10265381923352426,0.08002815779349878,192,
exact,2022,rbf,6,1,1,1,0.0,0.10333750323629631,0.0798039675850978,192,
exact,2022,rbf,6,20,0,0,0.0,0.15673349527212424,0.11928617831631409,192,
exact,2022,rbf,6,20,0,1,0.0,0.15667847497254014,0.11942343146599738,192,
exact,2022,rbf,6,20,1,0,0.0,0.2142881836771069,0.15639808431230282,192,
exact,2022,rbf,6,20,1,1,0.0,0.21211080968439341,0.15491050403707182,192,
exact,2022,rbf,12,1,0,0,0.0,0.08397088301917208,0.06268668437962509,192,
exact,2022,rbf,12,1,0,1,0.0,0.08351370471315026,0.06297459036431073,192,
exact,2022,rbf,12,1,1,0,0.0,0.08836744189916418,0.0647359623437333,192,
exact,2022,rbf,12,1,1,1,0.0,0.08751839448325491,0.06484366627769685,192,
exact,2022,rbf,12,20,0,0,0.0,0.1515378870791547,0.11426768932556187,192,
exact,2022,rbf,12,20,0,1,0.0,0.15137806095975073,0.11403879104831037,192,
exact,2022,rbf,12,20,1,0,0.0,0.22452188670266662,0.16680154955284313,192,
exact,2022,rbf,12,20,1,1,0.0,0.22167551236063676,0.1649357443503126,192,
exact,2022,rbf,20,1,0,0,0.0,0.08172870139305008,0.06053148160255065,192,
exact,2022,rbf,20,1,0,1,0.0,0.08073561319883185,0.06001093637160095,192,
exact,2022,rbf,20,1,1,0,0.0,0.08568118882711712,0.0623034837858625,192,
exact,2022,rbf,20,1,1,1,0.0,0.08477236496457032,0.06187482134239749,192,
exact,2022,rbf,20,20,0,0,0.0,0.16044420198171996,0.11858916421634264,192,
exact,2022,rbf,20,20,0,1,0.0,0.16001025287855528,0.11826061910245163,192,
exact,2022,rbf,20,20,1,0,0.0,0.2410555557923853,0.18078151585295832,192,
exact,2022,rbf,20,20,1,1,0.0,0.2373314501242138,0.17827176597010844,192,
exact,2023,fourier,3,1,0,0,0.0,0.0982305965697587,0.07215856047920474,169,
exact,2023,fourier,3,1,0,1,0.0,0.09878912350755513,0.07272054960411424,169,
exact,2023,fourier,3,1,1,0,0.0,0.10073977870538266,0.07203013025774632,169,
exact,2023,fourier,3,1,1,1,0.0,0.10230562249920762,0.07318106944079524,169,
exact,2023,fourier,3,20,0,0,0.0,0.15384202397613075,0.12060941765305182,169,
exact,2023,fourier,3,20,0,1,0.0,0.15375384592354385,0.12049915315297109,169,
exact,2023,fourier,3,20,1,0,0.0,0.24660555133251688,0.17917694565513284,169,
exact,2023,fourier,3,20,1,1,0.0,0.243166600291753,0.17721412470581968,169,
exact,2023,fourier,8,1,0,0,0.0,0.09080837800524195,0.06739978538570092,169,
exact,2023,fourier,8,1,0,1,0.0,0.09072054594867451,0.06762272000018421,169,
exact,2023,fourier,8,1,1,0,0.0,0.090223918181088,0.0653559604612467,169,
exact,2023,fourier,8,1,1,1,0.0,0.09298889716598342,0.0670283805183292,169,
exact,2023,fourier,8,20,0,0,0.0,0.1553110857222132,0.118706957933222,169,
exact,2023,fourier,8,20,0,1,0.0,0.15502520993695318,0.11861983957420558,169,
exact,2023,fourier,8,20,1,0,0.0,0.2545814131677419,0.1799930917053233,169,
exact,2023,fourier,8,20,1,1,0.0,0.2514689908351879,0.17864707726676204,169,
exact,2023,fourier,12,1,0,0,0.0,0.0929520245874593,0.06807513741446632,169,
exact,2023,fourier,12,1,0,1,0.0,0.09258589806037529,0.0682956615924076,169,
exact,2023,fourier,12,1,1,0,0.0,0.10197061802459523,0.07073917171390483,169,
exact,2023,fourier,12,1,1,1,0.0,0.10039886275201503,0.07220685669562871,169,
exact,2023,fourier,12,20,0,0,0.0,0.17062388904353162,0.1264146287582604,169,
exact,2023,fourier,12,20,0,1,0.0,0.16956125415048337,0.1259065370410901,169,
exact,2023,fourier,12,20,1,0,0.0,0.27292634478082217,0.19360261607510665,169,
exact,2023,fourier,12,20,1,1,0.0,0.26797012054560193,0.1908585010213526,169,
exact,2023,rbf,6,1,0,0,0.0,0.09641048900722435,0.07121653730488835,169,
exact,2023,rbf,6,1,0,1,0.0,0.09953418055823257,0.07349530422227382,169,
exact,2023,rbf,6,1,1,0,0.0,0.0989233664703985,0.0719438034700081,169,
exact,2023,rbf,6,1,1,1,0.0,0.10393358150121135,0.07624835819805191,169,
exact,2023,rbf,6,20,0,0,0.0,0.16454127122356701,0.12844488879541718,169,
exact,2023,rbf,6,20,0,1,0.0,0.16480476263196514,0.12846096731548123,169,
exact,2023,rbf,6,20,1,0,0.0,0.24110057647051159,0.1740502662890827,169,
exact,2023,rbf,6,20,1,1,0.0,0.2397456680741581,0.17319440009198162,169,
exact,2023,rbf,12,1,0,0,0.0,0.08933876301169066,0.06687969305642241,169,
exact,2023,rbf,12,1,0,1,0.0,0.09097477446311372,0.0682842180069812,169,
exact,2023,rbf,12,1,1,0,0.0,0.09265407398986387,0.06813275768480873,169,
exact,2023,rbf,12,1,1,1,0.0,0.09614924700477624,0.07113286189010981,169,
exact,2023,rbf,12,20,0,0,0.0,0.16397841900301613,0.1270579315065959,169,
exact,2023,rbf,12,20,0,1,0.0,0.1642191535728585,0.1271772109736528,169,
exact,2023,rbf,12,20,1,0,0.0,0.25184146917317907,0.18130034455606547,169,
exact,2023,rbf,12,20,1,1,0.0,0.24954501215352173,0.18003259630741442,169,
exact,2023,rbf,20,1,0,0,0.0,0.08881267728646898,0.06664395940440603,169,
exact,2023,rbf,20,1,0,1,0.0,0.08950381654551998,0.06799430895580032,169,
exact,2023,rbf,20,1,1,0,0.0,0.08978679405101163,0.06676424638821055,169,
exact,2023,rbf,20,1,1,1,0.0,0.09498170882201665,0.07082915994817254,169,
exact,2023,rbf,20,20,0,0,0.0,0.17649946843994213,0.13535212400931076,169,
exact,2023,rbf,20,20,0,1,0.0,0.17647233872195325,0.13530809078707165,169,
exact,2023,rbf,20,20,1,0,0.0,0.26453843314321307,0.18985797187322107,169,
exact,2023,rbf,20,20,1,1,0.0,0.2625791031645557,0.18892156380033606,169,
exact,2024,fourier,3,1,0,0,0.0,0.07365321490581693,0.05170021212932318,152,
exact,2024,fourier,3,1,0,1,0.0,0.07380950496262502,0.05236564251685171,152,
exact,2024,fourier,3,1,1,0,0.0,0.07852531978868331,0.05427939929144515,152,
exact,2024,fourier,3,1,1,1,0.0,0.07783930888140567,0.054619429120405884,152,
exact,2024,fourier,3,20,0,0,0.0,0.1259124420390809,0.09096858496690673,152,
exact,2024,fourier,3,20,0,1,0.0,0.12498609367530414,0.09029636247523042,152,
exact,2024,fourier,3,20,1,0,0.0,0.2085887647514295,0.13972016525274478,152,
exact,2024,fourier,3,20,1,1,0.0,0.20556069063890045,0.13753920202891634,152,
exact,2024,fourier,8,1,0,0,0.0,0.07411535302712714,0.051721094617716526,152,
exact,2024,fourier,8,1,0,1,0.0,0.07236716460483238,0.05094105986307275,152,
exact,2024,fourier,8,1,1,0,0.0,0.07619475197091566,0.05268302903435236,152,
exact,2024,fourier,8,1,1,1,0.0,0.07426977215761604,0.051983743437803785,152,
exact,2024,fourier,8,20,0,0,0.0,0.12618168084795967,0.09272441196952014,152,
exact,2024,fourier,8,20,0,1,0.0,0.12487777972631557,0.09177853806415835,152,
exact,2024,fourier,8,20,1,0,0.0,0.21538050357288957,0.14490180220955304,152,
exact,2024,fourier,8,20,1,1,0.0,0.20994862887884116,0.14130798421802593,152,
exact,2024,fourier,12,1,0,0,0.0,0.08249641723964896,0.05783947643185287,152,
exact,2024,fourier,12,1,0,1,0.0,0.0803267019118834,0.056462302040897555,152,
exact,2024,fourier,12,1,1,0,0.0,0.08708001926273931,0.05932764263835721,152,
exact,2024,fourier,12,1,1,1,0.0,0.08341486080616144,0.0570361533123481,152,
exact,2024,fourier,12,20,0,0,0.0,0.14838507777197735,0.10351472034418457,152,
exact,2024,fourier,12,20,0,1,0.0,0.14626689296530487,0.10207964148172648,152,
exact,2024,fourier,12,20,1,0,0.0,0.23166258835094278,0.15458701913802864,152,
exact,2024,fourier,12,20,1,1,0.0,0.22515741709382442,0.15042409046782082,152,
exact,2024,rbf,6,1,0,0,0.0,0.07910374699194068,0.05675231406448039,152,
exact,2024,rbf,6,1,0,1,0.0,0.08036918161852917,0.05832005421102009,152,
exact,2024,rbf,6,1,1,0,0.0,0.08726151012786025,0.061402478176405186,152,
exact,2024,rbf,6,1,1,1,0.0,0.08564261920845613,0.061587864314699765,152,
exact,2024,rbf,6,20,0,0,0.0,0.13399884582524166,0.09424373387800565,152,
exact,2024,rbf,6,20,0,1,0.0,0.1334185683112185,0.09401610677372882,152,
exact,2024,rbf,6,20,1,0,0.0,0.1990860292054185,0.128501541560564,152,
exact,2024,rbf,6,20,1,1,0.0,0.19616696560658964,0.12685384234869768,152,
exact,2024,rbf,12,1,0,0,0.0,0.07200233010525946,0.049575119596320064,152,
exact,2024,rbf,12,1,0,1,0.0,0.07172306672493334,0.04942322941890922,152,
exact,2024,rbf,12,1,1,0,0.0,0.07750821535875621,0.052173046239851306,152,
exact,2024,rbf,12,1,1,1,0.0,0.07710659631219724,0.05228324758148268,152,
exact,2024,rbf,12,20,0,0,0.0,0.13270852821665172,0.09093628257197689,152,
exact,2024,rbf,12,20,0,1,0.0,0.13184797836323686,0.09050155702507102,152,
exact,2024,rbf,12,20,1,0,0.0,0.21025716693347332,0.13761596729150077,152,
exact,2024,rbf,12,20,1,1,0.0,0.20636905713422377,0.1353284918130535,152,
exact,2024,rbf,20,1,0,0,0.0,0.07299963337736852,0.05094285008250397,152,
exact,2024,rbf,20,1,0,1,0.0,0.07082736320592013,0.049874097277339546,152,
exact,2024,rbf,20,1,1,0,0.0,0.07976397093552962,0.054565500508815167,152,
exact,2024,rbf,20,1,1,1,0.0,0.07738751704172984,0.053359466226123184,152,
exact,2024,rbf,20,20,0,0,0.0,0.14140526166752418,0.09539469736382604,152,
exact,2024,rbf,20,20,0,1,0.0,0.14017451664741068,0.09478821652824619,152,
exact,2024,rbf,20,20,1,0,0.0,0.2179266880842467,0.1442355728449839,152,
exact,2024,rbf,20,20,1,1,0.0,0.21383726675709167,0.14157152009589447,152,
random,0,fourier,3,1,0,0,0.0,,,2644,0.0
random,0,fourier,3,1,0,1,0.0,,,2644,0.0
random,0,fourier,3,1,1,0,0.0,,,2644,0.0
random,0,fourier,3,1,1,1,0.0,,,2644,0.0
random,0,fourier,3,20,0,0,0.0,,,2644,0.0
random,0,fourier,3,20,0,1,0.0,,,2644,0.0
random,0,fourier,3,20,1,0,0.0,,,2644,0.0
random,0,fourier,3,20,1,1,0.0,,,2644,0.0
random,0,fourier,8,1,0,0,0.0,,,2644,0.0
random,0,fourier,8,1,0,1,0.0,,,2644,0.0
random,0,fourier,8,1,1,0,0.0,,,2644,0.0
random,0,fourier,8,1,1,1,0.0,,,2644,0.0
random,0,fourier,8,20,0,0,0.0,,,2644,0.0
random,0,fourier,8,20,0,1,0.0,,,2644,0.0
random,0,fourier,8,20,1,0,0.0,,,2644,0.0
random,0,fourier,8,20,1,1,0.0,,,2644,0.0
random,0,fourier,12,1,0,0,0.0,,,2644,0.0
random,0,fourier,12,1,0,1,0.0,,,2644,0.0
random,0,fourier,12,1,1,0,0.0,,,2644,0.0
random,0,fourier,12,1,1,1,0.0,,,2644,0.0
random,0,fourier,12,20,0,0,0.0,,,2644,0.0
random,0,fourier,12,20,0,1,0.0,,,2644,0.0
random,0,fourier,12,20,1,0,0.0,,,2644,0.0
random,0,fourier,12,20,1,1,0.0,,,2644,0.0
random,0,rbf,6,1,0,0,0.0,,,2644,0.0
random,0,rbf,6,1,0,1,0.0,,,2644,0.0
random,0,rbf,6,1,1,0,0.0,,,2644,0.0
random,0,rbf,6,1,1,1,0.0,,,2644,0.0
random,0,rbf,6,20,0,0,0.0,,,2644,0.0
random,0,rbf,6,20,0,1,0.0,,,2644,0.0
random,0,rbf,6,20,1,0,0.0,,,2644,0.0
random,0,rbf,6,20,1,1,0.0,,,2644,0.0
random,0,rbf,12,1,0,0,0.0,,,2644,0.0
random,0,rbf,12,1,0,1,0.0,,,2644,0.0
random,0,rbf,12,1,1,0,0.0,,,2644,0.0
random,0,rbf,12,1,1,1,0.0,,,2644,0.0
random,0,rbf,12,20,0,0,0.0,,,2644,0.0
random,0,rbf,12,20,0,1,0.0,,,2644,0.0
random,0,rbf,12,20,1,0,0.0,,,2644,0.0
random,0,rbf,12,20,1,1,0.0,,,2644,0.0
random,0,rbf,20,1,0,0,0.0,,,2644,0.0
random,0,rbf,20,1,0,1,0.0,,,2644,0.0
random,0,rbf,20,1,1,0,0.0,,,2644,0.0
random,0,rbf,20,1,1,1,0.0,,,2644,0.0
random,0,rbf,20,20,0,0,0.0,,,2644,0.0
random,0,rbf,20,20,0,1,0.0,,,2644,0.0
random,0,rbf,20,20,1,0,0.0,,,2644,0.0
random,0,rbf,20,20,1,1,0.0,,,2644,0.0
random2025,2025,fourier,3,1,0,0,0.0,,,756,0.0
random2025,2025,fourier,3,1,0,1,0.0,,,756,0.0
random2025,2025,fourier,3,1,1,0,0.0,,,756,0.0
random2025,2025,fourier,3,1,1,1,0.0,,,756,0.0
