mode,method,weight,n,rmse_pooled,mae_pooled,bias_pooled
2025,hgb_seed7,,1512,0.057011636588584116,0.03626991333373131,-0.0009887465572856234
2025,hgb_seed42+base_k6,0.55,1512,0.05708629057789196,0.03708299006460116,-0.0010967706281994319
2025,hgb_seed_mean+base_k6,0.55,1512,0.05715297548587318,0.037139758810921776,-0.0012727870167020038
2025,hgb_seed42+lag_k16_d3,0.7,1512,0.0572895918607769,0.037056837347772625,-0.0007663727652557513
2025,hgb_seed_mean+lag_k16_d3,0.7,1512,0.057323410454379366,0.03707505705894127,-0.0008837170242574653
2025,hgb_seed42+base_k6,0.6,1512,0.05744334020824967,0.03737438451954884,-0.0011251215456061705
2025,hgb_seed_mean+base_k6,0.6,1512,0.05750310473111869,0.037430401812659476,-0.0012815805576084558
2025,hgb_seed42+lag_k16_d3,0.75,1512,0.0577000296482997,0.037402933371383035,-0.0007650486387222115
2025,hgb_seed_mean+lag_k16_d3,0.75,1512,0.05772781017916075,0.03741123083914653,-0.000862835521223641
2025,hgb_seed42+base_k6,0.65,1512,0.057845094254477286,0.03769890364433495,-0.0011534724630129106
2025,hgb_seed_mean+base_k6,0.65,1512,0.05789777025096762,0.037744307845167656,-0.0012903740985149108
2025,hgb_seed42+lag_k16_d3,0.8,1512,0.05815227213935658,0.03779115925264917,-0.0007637245121886733
2025,hgb_seed_mean+lag_k16_d3,0.8,1512,0.05817416399002538,0.03778635345695908,-0.0008419540181898154
2025,hgb_seed42+base_k6,0.7,1512,0.058290628380808014,0.038044778526104314,-0.0011818233804196487
2025,hgb_seed_mean+base_k6,0.7,1512,0.05833606813829929,0.03808392107857459,-0.0012991676394213643
2025,hgb_seed42+lag_k16_d3,0.85,1512,0.058645352213451345,0.03820637426062424,-0.0007624003856551324
2025,hgb_seed_mean+lag_k16_d3,0.85,1512,0.05866151421240932,0.038204961172491184,-0.0008210725151559902
2025,hgb_seed42+base_k6,0.75,1512,0.05877894705964892,0.038408360280781685,-0.0012101742978263895
2025,hgb_seed_mean+base_k6,0.75,1512,0.05881702297061118,0.03843977891001826,-0.0013079611803278176
2025,hgb_seed42+lag_k16_d3,0.9,1512,0.0591782490888721,0.03865884000822612,-0.0007610762591215938
2025,hgb_seed_mean+lag_k16_d3,0.9,1512,0.059188848183962986,0.03865861788278451,-0.0008001910121221656
2025,hgb_seed42+base_k6,0.8,1512,0.05930899350472923,0.03880863307983764,-0.0012385252152331287
2025,hgb_seed_mean+base_k6,0.8,1512,0.059339597537404566,0.038831651451353456,-0.0013167547212342722
2025,hgb_seed42+lag_k16_d3,0.95,1512,0.05974989742187238,0.03914202035780825,-0.0007597521325880545
2025,hgb_seed_mean+lag_k16_d3,0.95,1512,0.059755107354040625,0.039139003007182226,-0.000779309509088342
2025,hgb_seed42+base_k6,0.85,1512,0.05987965962109728,0.03924882386736175,-0.001266876132639867
2025,hgb_seed_mean+base_k6,0.85,1512,0.05990270261151443,0.03926738360649216,-0.0013255482621407253
2025,hgb_seed42+lag_k16_d3,1.0,1512,0.06035919620355134,0.03966056647635065,-0.0007584280060545156
2025,hgb_seed_mean+lag_k16_d3,1.0,1512,0.06035919620355134,0.03966056647635065,-0.0007584280060545156
2025,lag_k16_d3,,1512,0.06035919620355134,0.03966056647635065,-0.0007584280060545156
2025,hgb_seed42+base_k6,0.9,1512,0.060489795790896625,0.03972516911396236,-0.001295227050046607
2025,hgb_seed_mean+base_k6,0.9,1512,0.06050520658515732,0.03973958349308642,-0.0013343418030471778
2025,hgb_seed42+base_k6,0.95,1512,0.06113822033721404,0.04023665646523564,-0.0013235779674533458
2025,hgb_seed_mean+base_k6,0.95,1512,0.06114594481360341,0.04024266634176753,-0.0013431353439536326
2025,base_k6,,1512,0.0618237285342007,0.0407755051718659,-0.0013519288848600848
