exact,n,temp_rmse,precip_rmse,a,b
0.0,198,0.6936672479741655,2.0313864267272694,AOI-0007,AOI-0030
0.0,198,0.6168481635335634,1.4172813495221277,AOI-0030,AOI-0060
0.0,198,0.5997413949262821,1.2545606328414642,AOI-0030,AOI-0058
0.0,198,0.5007125366029181,1.5477962226576898,AOI-0020,AOI-0030
0.0,198,0.49615297471597963,1.5526808743884242,AOI-0021,AOI-0030
0.0,198,0.4799717914790793,1.0269031253685812,AOI-0002,AOI-0054
0.0,198,0.4753019323990193,1.3164888185798012,AOI-0036,AOI-0040
0.0,198,0.37669347502178985,1.3611001309561643,AOI-0005,AOI-0020
0.0,198,0.3491818578023462,1.1998362363070572,AOI-0014,AOI-0030
0.0,198,0.26604973756082495,0.466884908263355,AOI-0045,AOI-0048
0.0,198,0.24494369897938825,0.6951637164275613,AOI-0046,AOI-0047
0.0,198,0.21916121165616484,0.7250572875509718,AOI-0002,AOI-0029
0.0,198,0.14400087923838584,0.2739910199134164,AOI-0045,AOI-0046
0.0,197,2.765280500474612,3.212529846583912,AOI-0036,AOI-0075
0.0,197,2.662440437105824,2.399114778491229,AOI-0046,AOI-0075
0.0,197,1.7265347748802342,3.21202792934261,AOI-0033,AOI-0052
0.0,197,1.7012666133123338,3.151439460585308,AOI-0036,AOI-0052
0.0,197,1.646993820543509,3.2718621252530884,AOI-0033,AOI-0054
0.0,197,1.615165881053294,3.4193400052897593,AOI-0066,AOI-0067
0.0,197,1.530972754674676,3.0793664481679377,AOI-0030,AOI-0031
0.0,197,1.3908491924721345,3.0333494061978743,AOI-0004,AOI-0036
0.0,197,1.2709026617212755,3.3110416393842717,AOI-0047,AOI-0066
0.0,197,1.2240691397455299,1.9018389185219742,AOI-0048,AOI-0058
0.0,197,1.1959512045315237,1.9400173344180296,AOI-0048,AOI-0060
0.0,197,1.1508011296657417,1.9050114688943807,AOI-0046,AOI-0052
0.0,197,1.1119859584645726,3.292385145222181,AOI-0052,AOI-0066
0.0,197,1.0945255026983107,3.409521627414635,AOI-0054,AOI-0066
0.0,197,1.0935306945936325,3.290463531152743,AOI-0060,AOI-0066
0.0,197,1.0344374676137909,2.77267579215578,AOI-0033,AOI-0047
0.0,197,0.9606712640033827,2.7681114675184237,AOI-0031,AOI-0046
0.0,197,0.9061392667445078,2.5753930003347336,AOI-0031,AOI-0048
0.0,197,0.8788874556986013,2.1338862514772123,AOI-0038,AOI-0044
0.0,197,0.8621116917268962,2.429810037766322,AOI-0036,AOI-0045
0.0,197,0.8577161475930034,2.6201430753195067,AOI-0032,AOI-0046
0.0,197,0.8541190734068754,1.850689725166687,AOI-0002,AOI-0045
0.0,197,0.8463691447346594,1.7650703086181017,AOI-0029,AOI-0048
0.0,197,0.8293191360224053,1.7278490949143024,AOI-0030,AOI-0043
0.0,197,0.8090509817771082,2.419036630118057,AOI-0032,AOI-0048
0.0,197,0.8029995556901248,1.8719546824334379,AOI-0002,AOI-0047
0.0,197,0.7981811376846657,1.8883480059155466,AOI-0005,AOI-0047
0.0,197,0.6787955329622598,1.4864376903280778,AOI-0005,AOI-0060
0.0,197,0.6684852200088917,1.6806003926103659,AOI-0021,AOI-0046
0.0,197,0.6316353087391126,1.5946898792647282,AOI-0033,AOI-0038
0.0,197,0.6279182166583475,1.8419269401022744,AOI-0002,AOI-0007
0.0,197,0.6240092666197798,1.2400049868164975,AOI-0005,AOI-0052
0.0,197,0.6174799917211783,1.4973922117670797,AOI-0020,AOI-0048
0.0,197,0.6111048832359757,1.4997905452561777,AOI-0021,AOI-0048
0.0,197,0.5747772253440199,1.6050670399624054,AOI-0007,AOI-0048
0.0,197,0.5405662576330371,1.337375205059413,AOI-0036,AOI-0038
0.0,197,0.48474433441165576,1.0328278677877216,AOI-0005,AOI-0054
0.0,197,0.19539083012787986,0.6111756511453653,AOI-0001,AOI-0030
0.0,197,0.184512622468287,0.5596969682834854,AOI-0044,AOI-0047
0.0,197,0.16885433670965597,0.598355162676571,AOI-0031,AOI-0036
0.0,197,0.04347430870519281,0.10467779387897655,AOI-0002,AOI-0004
0.0,196,3.053341778731262,3.8441437963757656,AOI-0066,AOI-0075
0.0,196,2.74418699445281,3.3355382229357193,AOI-0033,AOI-0075
0.0,196,2.616155605882759,2.251836466514836,AOI-0030,AOI-0078
0.0,196,2.5916855994120778,2.2896101833801885,AOI-0030,AOI-0074
0.0,196,2.5887861921046187,2.3237064491193427,AOI-0005,AOI-0075
0.0,196,2.5547038275277294,2.3143300170006342,AOI-0002,AOI-0075
0.0,196,1.7703486496144805,3.274475819096586,AOI-0033,AOI-0060
0.0,196,1.7682105314381051,3.2201108104084626,AOI-0036,AOI-0058
0.0,196,1.7452717810412055,3.214116713776297,AOI-0036,AOI-0060
0.0,196,1.605441556505635,3.2802284433420614,AOI-0040,AOI-0066
0.0,196,1.5367465324705984,3.1965241678359995,AOI-0030,AOI-0034
0.0,196,1.49372480954175,2.817965223486401,AOI-0002,AOI-0038
0.0,196,1.4927958624878097,2.8185587719148724,AOI-0005,AOI-0038
0.0,196,1.4832513838216896,3.2129465532663923,AOI-0029,AOI-0033
0.0,196,1.4751042909846834,2.845441927113664,AOI-0002,AOI-0040
0.0,196,1.474998390155533,2.846383406585194,AOI-0005,AOI-0040
0.0,196,1.4747584044049742,2.849414971718818,AOI-0030,AOI-0042
0.0,196,1.449122505618417,3.088100551375436,AOI-0029,AOI-0036
0.0,196,1.4127647969402137,3.13625113611111,AOI-0004,AOI-0033
0.0,196,1.393475364438501,3.051850077271942,AOI-0002,AOI-0032
0.0,196,1.3070586131301611,2.7507757621733226,AOI-0014,AOI-0036
