dataset,partition,year,method,source,n,rmse,mae
random_private_like,random1,2020,lag_component,modis,20,0.06751040622866547,0.053684001835955605
random_private_like,random1,2020,lag_component,s2,116,0.08146630097640023,0.05071431576486503
random_private_like,random1,2021,lag_component,landsat,43,0.07344962779666162,0.052499167324843644
random_private_like,random1,2021,lag_component,modis,22,0.09373762023773878,0.07646369754370887
random_private_like,random1,2021,lag_component,s2,96,0.0985531974547224,0.06586795543918021
random_private_like,random1,2022,lag_component,landsat,56,0.05073885500430188,0.03957938138922002
random_private_like,random1,2022,lag_component,modis,19,0.06970412499078087,0.054573596665201486
random_private_like,random1,2022,lag_component,s2,90,0.07832176697500677,0.0505995186054856
random_private_like,random1,2023,lag_component,landsat,66,0.05558094372581563,0.042664037715415604
random_private_like,random1,2023,lag_component,modis,26,0.06179665743659812,0.0488553848076935
random_private_like,random1,2023,lag_component,s2,93,0.08570412755914221,0.0562297299978566
random_private_like,random1,2024,lag_component,landsat,48,0.04977354306746083,0.035751512828499386
random_private_like,random1,2024,lag_component,modis,12,0.056312251517563555,0.04587541822657659
random_private_like,random1,2024,lag_component,s2,113,0.07347711906184463,0.046349958676066116
random_private_like,random1,2025,lag_component,landsat,186,0.04595968226507895,0.032766420506311116
random_private_like,random1,2025,lag_component,modis,99,0.06570592217237524,0.05134984176535219
random_private_like,random1,2025,lag_component,s2,471,0.06070375875817535,0.038327829372520994
random_private_like,random2,2010,lag_component,landsat,46,0.05200233135145767,0.04121622906152159
random_private_like,random2,2010,lag_component,modis,28,0.05995601542306444,0.045131489441277414
random_private_like,random2,2011,lag_component,landsat,57,0.07629060696261138,0.055823859841281596
random_private_like,random2,2011,lag_component,modis,25,0.06440815023172097,0.048374440010297046
random_private_like,random2,2012,lag_component,landsat,31,0.0527310492067724,0.04210461914703701
random_private_like,random2,2012,lag_component,modis,27,0.08147875333130604,0.062337483190044334
random_private_like,random2,2013,lag_component,landsat,57,0.09670400355502881,0.06864304110429477
random_private_like,random2,2013,lag_component,modis,21,0.07168183662086156,0.055751754922670746
random_private_like,random2,2014,lag_component,landsat,53,0.05007307705770082,0.03985883412347705
random_private_like,random2,2014,lag_component,modis,42,0.08383186740884778,0.06499077363100554
random_private_like,random2,2015,lag_component,landsat,70,0.10344284514986968,0.055094938688995815
random_private_like,random2,2015,lag_component,modis,22,0.05625924960037752,0.04110571388438086
random_private_like,random2,2016,lag_component,landsat,65,0.08052530851775522,0.06002504162784944
random_private_like,random2,2016,lag_component,modis,23,0.08442724972363405,0.06294950374443045
random_private_like,random2,2017,lag_component,landsat,64,0.06357744819529013,0.05011887249792252
random_private_like,random2,2017,lag_component,modis,29,0.09023647618812218,0.07251096222899632
random_private_like,random2,2017,lag_component,s2,47,0.06554107979622181,0.047114536204210807
random_private_like,random2,2018,lag_component,landsat,79,0.05916034365649001,0.044543485263859955
random_private_like,random2,2018,lag_component,modis,18,0.06897715780629918,0.047910302306672675
random_private_like,random2,2018,lag_component,s2,25,0.07375026173336639,0.05324806466034156
random_private_like,random2,2019,lag_component,landsat,57,0.05425497151676181,0.04512149854273133
random_private_like,random2,2019,lag_component,modis,19,0.09496262164156062,0.0760676375080818
random_private_like,random2,2019,lag_component,s2,109,0.11856332466473943,0.06369710136763597
random_private_like,random2,2020,lag_component,landsat,60,0.05097408207663372,0.039703472302935465
random_private_like,random2,2020,lag_component,modis,23,0.08587360398688679,0.06622613646428638
random_private_like,random2,2020,lag_component,s2,107,0.062196586375307616,0.042548107725416076
random_private_like,random2,2021,lag_component,landsat,42,0.08772701377568493,0.05949466928165169
random_private_like,random2,2021,lag_component,modis,21,0.08853027690624937,0.07473116839458281
random_private_like,random2,2021,lag_component,s2,98,0.0730853977871984,0.051137726681789286
random_private_like,random2,2022,lag_component,landsat,66,0.06823613759792663,0.04799769732226826
random_private_like,random2,2022,lag_component,modis,15,0.04479299002245125,0.037541541389137394
random_private_like,random2,2022,lag_component,s2,84,0.08157826447992327,0.04676968698959221
random_private_like,random2,2023,lag_component,landsat,62,0.061023147870187464,0.03938384505215865
random_private_like,random2,2023,lag_component,modis,30,0.06709413463639255,0.05179484673937444
random_private_like,random2,2023,lag_component,s2,93,0.079926903666152,0.05185101555570654
random_private_like,random2,2024,lag_component,landsat,54,0.043490874261934966,0.035083493286147766
random_private_like,random2,2024,lag_component,modis,16,0.07625702557549367,0.05647325073877793
random_private_like,random2,2024,lag_component,s2,103,0.05281505602887556,0.036694133131981506
random_private_like,random2,2025,lag_component,landsat,162,0.12249333692871149,0.04007071720541695
random_private_like,random2,2025,lag_component,modis,74,0.06544839711840335,0.051643248690183045
random_private_like,random2,2025,lag_component,s2,520,0.06424277267865011,0.04042489535931878
all,all,0,blend20,all,9046,0.06864326085608312,0.04259326061373064
exact_hidden_doy,all,0,blend20,all,1114,0.06260634739886303,0.04285451444746953
random_private_like,all,0,blend20,all,7932,0.06944909527214516,0.04255656913985455
exact_hidden_doy,exact2019,2019,blend20,landsat,73,0.058206910542486764,0.042218490075979644
exact_hidden_doy,exact2019,2019,blend20,modis,56,0.047420084041480216,0.03701318602415858
exact_hidden_doy,exact2019,2019,blend20,s2,120,0.06061464160081571,0.03885605355275331
exact_hidden_doy,exact2020,2020,blend20,landsat,25,0.036496578081795704,0.026843657741264303
exact_hidden_doy,exact2020,2020,blend20,modis,69,0.06253916852463867,0.04486256889126539
exact_hidden_doy,exact2020,2020,blend20,s2,128,0.05419835793474439,0.03583730472383452
exact_hidden_doy,exact2021,2021,blend20,landsat,35,0.052022996660469646,0.04173073411006508
exact_hidden_doy,exact2021,2021,blend20,modis,58,0.07937423378541666,0.058595765892894836
exact_hidden_doy,exact2021,2021,blend20,s2,37,0.09228284027542032,0.06849559306176789
exact_hidden_doy,exact2022,2022,blend20,landsat,94,0.060521996443897344,0.042719002563746465
exact_hidden_doy,exact2022,2022,blend20,modis,54,0.07965965003261957,0.06077257075719998
exact_hidden_doy,exact2022,2022,blend20,s2,44,0.06116282911614287,0.04216062640693563
exact_hidden_doy,exact2023,2023,blend20,landsat,48,0.0777749705326103,0.04400349378530962
exact_hidden_doy,exact2023,2023,blend20,modis,67,0.04982836339108364,0.03662698850090746
exact_hidden_doy,exact2023,2023,blend20,s2,54,0.08518003689672957,0.05650332111374667
exact_hidden_doy,exact2024,2024,blend20,landsat,51,0.0321626939712795,0.023808693594609097
exact_hidden_doy,exact2024,2024,blend20,modis,39,0.06655750491175493,0.04603615196201025
exact_hidden_doy,exact2024,2024,blend20,s2,62,0.052705529651471336,0.03864326644545742
random_private_like,random0,2010,blend20,landsat,44,0.05842020657472089,0.04283611312707079
random_private_like,random0,2010,blend20,modis,30,0.07224327888671915,0.05471029549473003
random_private_like,random0,2011,blend20,landsat,46,0.06255355990693676,0.045252725156569217
random_private_like,random0,2011,blend20,modis,36,0.08891732890833187,0.06941304071922455
random_private_like,random0,2012,blend20,landsat,31,0.10488949869852225,0.06283534423028972
random_private_like,random0,2012,blend20,modis,27,0.07549524741785295,0.06212480208160601
random_private_like,random0,2013,blend20,landsat,54,0.07745996769433501,0.0594808869005122
random_private_like,random0,2013,blend20,modis,24,0.052600113781472106,0.03953586466141743
random_private_like,random0,2014,blend20,landsat,61,0.042893028756388854,0.03379531982259822
random_private_like,random0,2014,blend20,modis,34,0.08121927081302947,0.06318979964948729
random_private_like,random0,2015,blend20,landsat,71,0.19142225539246982,0.07274109269794996
random_private_like,random0,2015,blend20,modis,21,0.05502150140001678,0.042197240593209784
random_private_like,random0,2016,blend20,landsat,57,0.14413703058960423,0.06280029346675953
random_private_like,random0,2016,blend20,modis,31,0.07622271599490353,0.05979029309714418
random_private_like,random0,2017,blend20,landsat,69,0.06081810875698135,0.045963311768717985
random_private_like,random0,2017,blend20,modis,25,0.0712351805860724,0.05593306470253068
random_private_like,random0,2017,blend20,s2,46,0.04778471693085202,0.03444675035518006
random_private_like,random0,2018,blend20,landsat,73,0.06217277888144458,0.04412013817118174
random_private_like,random0,2018,blend20,modis,20,0.062718803394381,0.040006852976406895
random_private_like,random0,2018,blend20,s2,29,0.0628348479752371,0.03678982994016525
random_private_like,random0,2019,blend20,landsat,61,0.05684918041909958,0.04036083636802779
random_private_like,random0,2019,blend20,modis,21,0.07293084708824872,0.054196998558732626
