private,train,n,mask_eq,any_eq,temp_rmse,prec_rmse,target_n,target_corr,target_rmse
AOI-0014,AOI-0033,3195,0.6309859154929578,0.6901408450704225,1.3738160598417852,3.2690527735658264,347,0.52206463893254,0.2596482669472818
AOI-0014,AOI-0035,879,0.1751990898748578,0.39362912400455063,,,346,0.4541387713900144,0.2607130676276824
AOI-0014,AOI-0037,3195,0.6306729264475743,0.6888888888888889,1.5951077628333314,3.288954790443448,340,0.5787427149525447,0.20767697597280746
AOI-0014,AOI-0038,3195,0.6256651017214397,0.6860719874804382,1.666204396702365,3.2594109295458304,346,0.49571659938072454,0.23582922973029974
AOI-0014,AOI-0040,3195,0.6297339593114241,0.6901408450704225,1.5951077628333314,3.288954790443448,346,0.40254261207972114,0.2757310547153492
AOI-0014,AOI-0041,864,0.17592592592592593,0.3912037037037037,,,338,0.5547871974205553,0.20652320744507652
AOI-0014,AOI-0043,3195,0.8359937402190923,0.8597809076682316,0.9784526954005113,2.4688535891755508,559,0.6340020874754169,0.217950845188991
AOI-0014,AOI-0045,3195,0.7549295774647887,0.7978090766823162,1.010698139832361,2.5118728441893916,469,0.47457149418370587,0.25813148146891307
AOI-0014,AOI-0048,3195,0.7577464788732394,0.8006259780907669,0.8750099321188582,2.4571647769712026,469,0.5103654711455686,0.23009383515528858
AOI-0014,AOI-0050,720,0.5013888888888889,0.6375,,,459,0.4851953501902321,0.2490049338067815
AOI-0014,AOI-0052,3195,0.77339593114241,0.8081377151799687,0.6715398607049619,2.0017121201685852,487,0.38116059298732946,0.27480560166375645
AOI-0014,AOI-0053,3195,0.7824726134585289,0.8147104851330204,0.5917592555797127,2.00848990666411,483,0.6697716097883587,0.19157549437024599
AOI-0014,AOI-0055,702,0.49715099715099714,0.6381766381766382,,,448,0.4123389018111355,0.2412112320940158
AOI-0014,AOI-0056,765,0.47581699346405226,0.6104575163398693,,,467,0.598816714378373,0.21346109028322816
AOI-0014,AOI-0060,3195,0.7796557120500782,0.8115805946791862,0.761449805238128,2.1558406679727042,466,0.3472233479982988,0.28330999174326715
AOI-0014,AOI-0063,3195,0.854773082942097,0.874491392801252,1.0365148360138412,3.309897481502484,573,0.6708280761602282,0.20142691452052583
AOI-0014,AOI-0064,3195,0.8553990610328639,0.874491392801252,0.9815207958111292,3.1575119213453013,569,0.49446746928004104,0.24422379298863758
AOI-0014,AOI-0065,3195,0.8560250391236307,0.8757433489827856,1.0365148360138412,3.309897481502484,573,0.5671675584075789,0.22966483169061558
AOI-0014,AOI-0069,3195,0.7455399061032864,0.7862284820031299,1.42547884430455,3.159972722670756,454,0.5605007907832568,0.238533550669021
AOI-0014,AOI-0070,3195,0.7436619718309859,0.7852895148669796,1.4510369421783902,3.2143858453852503,452,0.4151024073179965,0.24466854049810818
AOI-0014,AOI-0071,695,0.40575539568345326,0.5798561151079137,,,403,0.40092827987683183,0.23571372658500317
AOI-0014,AOI-0075,3195,0.69358372456964,0.7380281690140845,2.8494905132533974,3.8933667044852283,327,0.2963239284866991,0.27005174243112756
AOI-0014,AOI-0076,701,0.2653352353780314,0.46219686162624823,,,324,0.48478381552841304,0.23717902814112107
AOI-0014,AOI-0077,695,0.2733812949640288,0.4676258992805755,,,325,0.4350779401051167,0.24935771386372
AOI-0017,AOI-0002,870,0.5850574712643678,0.6482758620689655,,,530,0.40058389065790184,0.2148386805691436
AOI-0017,AOI-0003,870,0.7632183908045977,0.803448275862069,,,681,0.4553908507209643,0.2361911461139156
AOI-0017,AOI-0004,870,0.5505747126436782,0.6160919540229886,,,490,0.5125824722333442,0.1497202099727271
AOI-0017,AOI-0007,870,0.6114942528735632,0.6839080459770115,,,570,0.34984075360415806,0.2616175441561198
AOI-0017,AOI-0008,644,0.7531055900621118,0.8478260869565217,,,546,0.36278613837634505,0.2607027461069321
AOI-0017,AOI-0011,870,0.6218390804597701,0.696551724137931,,,578,0.23598726521434452,0.2620021810084811
AOI-0017,AOI-0015,870,0.7954022988505747,0.8229885057471265,,,711,0.48310360289875176,0.2325736803353776
AOI-0017,AOI-0019,870,0.8080459770114943,0.8379310344827586,,,723,0.4458548349323146,0.21775589549355806
AOI-0017,AOI-0020,870,0.7931034482758621,0.8241379310344827,,,711,0.4953325555249466,0.21013908319527008
AOI-0017,AOI-0021,870,0.7954022988505747,0.8275862068965517,,,713,0.4701057710326917,0.22188730103569518
AOI-0017,AOI-0022,870,0.7954022988505747,0.835632183908046,,,721,0.3481105218829686,0.28797864344697754
AOI-0017,AOI-0023,870,0.7885057471264367,0.825287356321839,,,711,0.34650321164140235,0.2756546802531721
AOI-0017,AOI-0026,870,0.5091954022988506,0.5793103448275863,,,450,0.31363383656026184,0.27827843609811015
AOI-0017,AOI-0027,517,0.7620889748549323,0.8665377176015474,,,448,0.47959239862253883,0.1872950197649527
AOI-0017,AOI-0030,870,0.5091954022988506,0.5724137931034483,,,442,0.42018029440673826,0.19938639231540697
AOI-0017,AOI-0033,870,0.28390804597701147,0.47011494252873565,,,342,0.1459782230217422,0.30255934480505664
AOI-0017,AOI-0035,396,0.44191919191919193,0.8611111111111112,,,341,0.19788605750545185,0.29336021884897173
AOI-0017,AOI-0037,870,0.27816091954022987,0.47126436781609193,,,339,0.43183149609356186,0.19221051649273552
AOI-0017,AOI-0038,870,0.2747126436781609,0.4747126436781609,,,343,0.33354644298941943,0.23844609722430474
AOI-0017,AOI-0040,870,0.27586206896551724,0.4781609195402299,,,344,0.30058214406053135,0.2903806199688931
AOI-0017,AOI-0041,394,0.4263959390862944,0.8629441624365483,,,340,0.4529665128291845,0.174330640600244
AOI-0017,AOI-0043,870,0.5655172413793104,0.6505747126436782,,,534,0.12022121265387278,0.30433793843711937
