mode,lag_weight,scale,exact_rmse,exact_base,exact_delta,exact_n,random_rmse,random_base,random_delta,random_n,random2025_rmse,random2025_base,random2025_delta,random2025_n,exact_wins,exact_folds,random_wins,random_folds,random2025_wins,random2025_folds,worst_delta,mean_delta
global,0.300000000,0.375000000,0.061821363,0.061801158,0.000020205,1114,0.071258057,0.071268305,-0.000010249,5664,0.061519193,0.061513373,0.000005819,2268,3,6,2,3,1,3,0.000020205,0.000005259
global,0.300000000,0.400000000,0.061822804,0.061801158,0.000021646,1114,0.071257579,0.071268305,-0.000010726,5664,0.061519839,0.061513373,0.000006465,2268,3,6,2,3,1,3,0.000021646,0.000005795
global,0.300000000,0.425000000,0.061824257,0.061801158,0.000023099,1114,0.071257127,0.071268305,-0.000011178,5664,0.061520517,0.061513373,0.000007143,2268,3,6,2,3,1,3,0.000023099,0.000006355
global,0.300000000,0.450000000,0.061825722,0.061801158,0.000024564,1114,0.071256701,0.071268305,-0.000011605,5664,0.061521227,0.061513373,0.000007854,2268,3,6,2,3,1,3,0.000024564,0.000006938
global,0.300000000,0.475000000,0.061827198,0.061801158,0.000026041,1114,0.071256300,0.071268305,-0.000012005,5664,0.061521970,0.061513373,0.000008597,2268,3,6,2,3,1,3,0.000026041,0.000007544
global,0.300000000,0.500000000,0.061828687,0.061801158,0.000027529,1114,0.071255925,0.071268305,-0.000012380,5664,0.061522745,0.061513373,0.000009371,2268,3,6,2,3,1,3,0.000027529,0.000008173
global,0.300000000,0.525000000,0.061830187,0.061801158,0.000029029,1114,0.071255576,0.071268305,-0.000012729,5664,0.061523552,0.061513373,0.000010179,2268,3,6,2,3,1,3,0.000029029,0.000008826
global,0.300000000,0.550000000,0.061831699,0.061801158,0.000030541,1114,0.071255253,0.071268305,-0.000013053,5664,0.061524391,0.061513373,0.000011018,2268,3,6,2,3,0,3,0.000030541,0.000009502
global,0.300000000,0.575000000,0.061833222,0.061801158,0.000032064,1114,0.071254955,0.071268305,-0.000013350,5664,0.061525263,0.061513373,0.000011889,2268,3,6,2,3,0,3,0.000032064,0.000010201
global,0.300000000,0.600000000,0.061834758,0.061801158,0.000033600,1114,0.071254683,0.071268305,-0.000013622,5664,0.061526166,0.061513373,0.000012793,2268,3,6,2,3,0,3,0.000033600,0.000010924
global,0.300000000,0.625000000,0.061836305,0.061801158,0.000035147,1114,0.071254436,0.071268305,-0.000013869,5664,0.061527102,0.061513373,0.000013729,2268,3,6,2,3,0,3,0.000035147,0.000011669
global,0.300000000,0.650000000,0.061837864,0.061801158,0.000036706,1114,0.071254216,0.071268305,-0.000014089,5664,0.061528071,0.061513373,0.000014698,2268,3,6,2,3,0,3,0.000036706,0.000012438
global,0.300000000,0.675000000,0.061839434,0.061801158,0.000038276,1114,0.071254021,0.071268305,-0.000014284,5664,0.061529071,0.061513373,0.000015698,2268,3,6,2,3,0,3,0.000038276,0.000013230
global,0.300000000,0.700000000,0.061841017,0.061801158,0.000039859,1114,0.071253852,0.071268305,-0.000014454,5664,0.061530104,0.061513373,0.000016731,2268,3,6,2,3,0,3,0.000039859,0.000014045
global,0.300000000,0.725000000,0.061842611,0.061801158,0.000041453,1114,0.071253708,0.071268305,-0.000014597,5664,0.061531169,0.061513373,0.000017796,2268,3,6,2,3,0,3,0.000041453,0.000014884
global,0.300000000,0.750000000,0.061844217,0.061801158,0.000043059,1114,0.071253590,0.071268305,-0.000014715,5664,0.061532266,0.061513373,0.000018893,2268,3,6,2,3,0,3,0.000043059,0.000015746
global,0.300000000,0.775000000,0.061845835,0.061801158,0.000044677,1114,0.071253498,0.071268305,-0.000014807,5664,0.061533395,0.061513373,0.000020022,2268,3,6,2,3,0,3,0.000044677,0.000016631
global,0.300000000,0.800000000,0.061847464,0.061801158,0.000046306,1114,0.071253432,0.071268305,-0.000014874,5664,0.061534557,0.061513373,0.000021184,2268,3,6,2,3,0,3,0.000046306,0.000017539
global,0.300000000,0.825000000,0.061849105,0.061801158,0.000047947,1114,0.071253391,0.071268305,-0.000014914,5664,0.061535751,0.061513373,0.000022378,2268,3,6,2,3,0,3,0.000047947,0.000018470
global,0.300000000,0.850000000,0.061850758,0.061801158,0.000049600,1114,0.071253376,0.071268305,-0.000014929,5664,0.061536977,0.061513373,0.000023604,2268,3,6,2,3,0,3,0.000049600,0.000019425
global,0.300000000,0.875000000,0.061852423,0.061801158,0.000051265,1114,0.071253387,0.071268305,-0.000014919,5664,0.061538235,0.061513373,0.000024862,2268,3,6,2,3,0,3,0.000051265,0.000020403
global,0.300000000,0.900000000,0.061854099,0.061801158,0.000052942,1114,0.071253423,0.071268305,-0.000014882,5664,0.061539526,0.061513373,0.000026153,2268,3,6,2,3,0,3,0.000052942,0.000021404
global,0.300000000,0.925000000,0.061855788,0.061801158,0.000054630,1114,0.071253485,0.071268305,-0.000014820,5664,0.061540848,0.061513373,0.000027475,2268,3,6,2,3,0,3,0.000054630,0.000022428
global,0.300000000,0.950000000,0.061857488,0.061801158,0.000056330,1114,0.071253573,0.071268305,-0.000014733,5664,0.061542203,0.061513373,0.000028830,2268,3,6,2,3,0,3,0.000056330,0.000023476
global,0.300000000,0.975000000,0.061859199,0.061801158,0.000058042,1114,0.071253686,0.071268305,-0.000014619,5664,0.061543590,0.061513373,0.000030217,2268,3,6,2,3,0,3,0.000058042,0.000024547
global,0.300000000,1.000000000,0.061860923,0.061801158,0.000059765,1114,0.071253825,0.071268305,-0.000014480,5664,0.061545010,0.061513373,0.000031636,2268,3,6,2,3,0,3,0.000059765,0.000025641
global,0.325000000,-1.000000000,0.061757328,0.061798059,-0.000040731,1114,0.071411521,0.071355396,0.000056125,5664,0.061508352,0.061489887,0.000018465,2268,3,6,0,3,0,3,0.000056125,0.000011286
global,0.325000000,-0.975000000,0.061758117,0.061798059,-0.000039943,1114,0.071409632,0.071355396,0.000054236,5664,0.061507279,0.061489887,0.000017392,2268,3,6,0,3,0,3,0.000054236,0.000010562
global,0.325000000,-0.950000000,0.061758916,0.061798059,-0.000039143,1114,0.071407768,0.071355396,0.000052372,5664,0.061506236,0.061489887,0.000016349,2268,3,6,0,3,0,3,0.000052372,0.000009860
global,0.325000000,-0.925000000,0.061759728,0.061798059,-0.000038331,1114,0.071405930,0.071355396,0.000050534,5664,0.061505225,0.061489887,0.000015338,2268,3,6,0,3,0,3,0.000050534,0.000009180
global,0.325000000,-0.900000000,0.061760552,0.061798059,-0.000037507,1114,0.071404116,0.071355396,0.000048720,5664,0.061504246,0.061489887,0.000014359,2268,3,6,0,3,0,3,0.000048720,0.000008524
global,0.325000000,-0.875000000,0.061761387,0.061798059,-0.000036672,1114,0.071402326,0.071355396,0.000046930,5664,0.061503297,0.061489887,0.000013410,2268,3,6,0,3,0,3,0.000046930,0.000007890
global,0.325000000,-0.850000000,0.061762234,0.061798059,-0.000035825,1114,0.071400562,0.071355396,0.000045166,5664,0.061502381,0.061489887,0.000012493,2268,3,6,0,3,0,3,0.000045166,0.000007278
global,0.325000000,-0.825000000,0.061763093,0.061798059,-0.000034966,1114,0.071398823,0.071355396,0.000043427,5664,0.061501495,0.061489887,0.000011608,2268,3,6,0,3,0,3,0.000043427,0.000006690
global,0.325000000,-0.800000000,0.061763964,0.061798059,-0.000034095,1114,0.071397108,0.071355396,0.000041712,5664,0.061500641,0.061489887,0.000010754,2268,3,6,0,3,1,3,0.000041712,0.000006124
global,0.325000000,-0.775000000,0.061764846,0.061798059,-0.000033213,1114,0.071395419,0.071355396,0.000040023,5664,0.061499818,0.061489887,0.000009931,2268,3,6,0,3,1,3,0.000040023,0.000005580
global,0.325000000,-0.750000000,0.061765741,0.061798059,-0.000032318,1114,0.071393754,0.071355396,0.000038358,5664,0.061499027,0.061489887,0.000009140,2268,3,6,0,3,1,3,0.000038358,0.000005060
global,0.325000000,-0.725000000,0.061766647,0.061798059,-0.000031412,1114,0.071392114,0.071355396,0.000036718,5664,0.061498267,0.061489887,0.000008380,2268,3,6,0,3,1,3,0.000036718,0.000004562
global,0.325000000,-0.700000000,0.061767565,0.061798059,-0.000030494,1114,0.071390499,0.071355396,0.000035103,5664,0.061497539,0.061489887,0.000007651,2268,3,6,0,3,1,3,0.000035103,0.000004087
global,0.325000000,-0.675000000,0.061768495,0.061798059,-0.000029564,1114,0.071388909,0.071355396,0.000033513,5664,0.061496841,0.061489887,0.000006954,2268,3,6,0,3,1,3,0.000033513,0.000003634
global,0.325000000,-0.650000000,0.061769436,0.061798059,-0.000028623,1114,0.071387344,0.071355396,0.000031948,5664,0.061496176,0.061489887,0.000006289,2268,3,6,0,3,1,3,0.000031948,0.000003205
