route,features,group,seed,split,model,cap,n,rmse,baseline_rmse,delta_rmse,improved
all,candidate,group_aoi,2,3,hgb8,0.03,675,0.051435709675342126,0.051111738380255366,0.00032397129508675987,0
all,candidate,group_aoi,2,3,hgb8,0.04,675,0.051435709675342126,0.051111738380255366,0.00032397129508675987,0
all,candidate,group_aoi,2,3,hgb8,0.06,675,0.051435709675342126,0.051111738380255366,0.00032397129508675987,0
all,candidate,group_aoiyear,0,1,ridge30,0.01,545,0.08835318263471274,0.08854949557261499,-0.00019631293790224602,1
all,candidate,group_aoiyear,0,1,ridge30,0.02,545,0.08834965400923198,0.08854949557261499,-0.00019984156338301307,1
all,candidate,group_aoiyear,0,1,ridge30,0.03,545,0.08834129337520942,0.08854949557261499,-0.00020820219740556867,1
all,candidate,group_aoiyear,0,1,ridge30,0.04,545,0.08834129337520942,0.08854949557261499,-0.00020820219740556867,1
all,candidate,group_aoiyear,0,1,ridge30,0.06,545,0.08834129337520942,0.08854949557261499,-0.00020820219740556867,1
all,candidate,group_aoiyear,0,2,ridge30,0.01,547,0.0688992795743301,0.06898995501249078,-9.06754381606728e-05,1
all,candidate,group_aoiyear,0,2,ridge30,0.02,547,0.06890900242664927,0.06898995501249078,-8.095258584150944e-05,1
all,candidate,group_aoiyear,0,2,ridge30,0.03,547,0.06889079444677607,0.06898995501249078,-9.91605657147121e-05,1
all,candidate,group_aoiyear,0,2,ridge30,0.04,547,0.06889079444677607,0.06898995501249078,-9.91605657147121e-05,1
all,candidate,group_aoiyear,0,2,ridge30,0.06,547,0.06889079444677607,0.06898995501249078,-9.91605657147121e-05,1
all,candidate,group_aoiyear,0,3,ridge30,0.01,535,0.0950926886460221,0.09542867390983333,-0.00033598526381121985,1
all,candidate,group_aoiyear,0,3,ridge30,0.02,535,0.09507044056000727,0.09542867390983333,-0.0003582333498260565,1
all,candidate,group_aoiyear,0,3,ridge30,0.03,535,0.09507044056000727,0.09542867390983333,-0.0003582333498260565,1
all,candidate,group_aoiyear,0,3,ridge30,0.04,535,0.09507044056000727,0.09542867390983333,-0.0003582333498260565,1
all,candidate,group_aoiyear,0,3,ridge30,0.06,535,0.09507044056000727,0.09542867390983333,-0.0003582333498260565,1
all,candidate,group_aoiyear,0,1,ridge100,0.01,545,0.0883883093201982,0.08854949557261499,-0.00016118625241678952,1
all,candidate,group_aoiyear,0,1,ridge100,0.02,545,0.0883859963104547,0.08854949557261499,-0.00016349926216029098,1
all,candidate,group_aoiyear,0,1,ridge100,0.03,545,0.0883859963104547,0.08854949557261499,-0.00016349926216029098,1
all,candidate,group_aoiyear,0,1,ridge100,0.04,545,0.0883859963104547,0.08854949557261499,-0.00016349926216029098,1
all,candidate,group_aoiyear,0,1,ridge100,0.06,545,0.0883859963104547,0.08854949557261499,-0.00016349926216029098,1
all,candidate,group_aoiyear,0,2,ridge100,0.01,547,0.06903564048058652,0.06898995501249078,4.568546809574636e-05,0
all,candidate,group_aoiyear,0,2,ridge100,0.02,547,0.06904027457379666,0.06898995501249078,5.0319561305883775e-05,0
all,candidate,group_aoiyear,0,2,ridge100,0.03,547,0.06904027457379666,0.06898995501249078,5.0319561305883775e-05,0
all,candidate,group_aoiyear,0,2,ridge100,0.04,547,0.06904027457379666,0.06898995501249078,5.0319561305883775e-05,0
all,candidate,group_aoiyear,0,2,ridge100,0.06,547,0.06904027457379666,0.06898995501249078,5.0319561305883775e-05,0
all,candidate,group_aoiyear,0,3,ridge100,0.01,535,0.0952680184953951,0.09542867390983333,-0.0001606554144382294,1
all,candidate,group_aoiyear,0,3,ridge100,0.02,535,0.0952680184953951,0.09542867390983333,-0.0001606554144382294,1
all,candidate,group_aoiyear,0,3,ridge100,0.03,535,0.0952680184953951,0.09542867390983333,-0.0001606554144382294,1
all,candidate,group_aoiyear,0,3,ridge100,0.04,535,0.0952680184953951,0.09542867390983333,-0.0001606554144382294,1
all,candidate,group_aoiyear,0,3,ridge100,0.06,535,0.0952680184953951,0.09542867390983333,-0.0001606554144382294,1
all,candidate,group_aoiyear,0,1,hgb8,0.01,545,0.08841332237066402,0.08854949557261499,-0.00013617320195097316,1
all,candidate,group_aoiyear,0,1,hgb8,0.02,545,0.08839165564307135,0.08854949557261499,-0.00015783992954364334,1
all,candidate,group_aoiyear,0,1,hgb8,0.03,545,0.08836887755897274,0.08854949557261499,-0.0001806180136422475,1
all,candidate,group_aoiyear,0,1,hgb8,0.04,545,0.08836887755897274,0.08854949557261499,-0.0001806180136422475,1
all,candidate,group_aoiyear,0,1,hgb8,0.06,545,0.08836887755897274,0.08854949557261499,-0.0001806180136422475,1
