radius,crop,method,pred,pooled_rmse,min_seed_rmse,max_seed_rmse,mean_delta_vs_global40
32,0,mean,blend0.03,0.06840803276680243,0.06476724625405668,0.07165858186823577,
32,0,median,blend0.03,0.0684558311653844,0.06478576309037984,0.07173347729329009,
4,1,mean,blend0.05,0.06848600252377841,0.06492566772748888,0.07166060811053393,
2,1,mean,blend0.05,0.06853190387648353,0.0649043014756715,0.07173804886977422,
4,0,mean,blend0.05,0.06854378178469095,0.06490280540814061,0.07171651729199513,
2,1,median,blend0.05,0.06855381791858459,0.06494277517295415,0.07175831250857088,
4,1,median,blend0.05,0.06855658263444679,0.0650902298872452,0.07170703245835726,
8,1,mean,blend0.05,0.06856169292484252,0.06499220148072762,0.07176952997862772,
1,1,median,blend0.05,0.06856521113435272,0.065148703450396,0.07178208710368458,
1,1,mean,blend0.05,0.06856521113435272,0.065148703450396,0.07178208710368458,
2,0,mean,blend0.05,0.06857567557057091,0.06486710733709032,0.07180776594463557,
8,0,mean,blend0.05,0.06859709931607669,0.06493922788439603,0.07181284843986277,
2,0,median,blend0.05,0.0686041154623053,0.0649137386084539,0.07182830094107588,
1,0,median,blend0.05,0.06861150599767897,0.06514511392290186,0.07184892148935562,
1,0,mean,blend0.05,0.06861150599767897,0.06514511392290186,0.07184892148935562,
4,0,median,blend0.05,0.0686125171771041,0.06501952516768181,0.07178052381186761,
16,1,mean,blend0.05,0.0686235126005499,0.06504422677401557,0.07184303130319296,
32,1,mean,blend0.05,0.06865245276035253,0.06507913185102705,0.07190958613252692,
8,1,median,blend0.05,0.06865343746944474,0.06512887692556722,0.0718326479648924,
8,0,median,blend0.05,0.06866524940267811,0.06498050131210958,0.07185249267742944,
16,0,mean,blend0.05,0.06871895618054132,0.06506393537665019,0.07193942821812312,
16,1,median,blend0.05,0.06874486652782441,0.06517709237523633,0.0719443412262672,
32,1,median,blend0.05,0.06875743003316166,0.06514898281427181,0.07203136066765783,
16,0,median,blend0.05,0.06882893580051436,0.06515412143465221,0.07207131741340131,
32,0,mean,blend0.05,0.06883141671845293,0.06517970140431956,0.07203973693820681,
