protocol,year,kind,bw,deg,rmse,mae,n,seed
exact,2021,epan,10,2,0.1286208178581777,0.08730636792719158,130,
exact,2021,epan,12,0,0.10107985269337001,0.07253504869177735,130,
exact,2021,epan,12,1,0.10295739015912482,0.07494805437925399,130,
exact,2021,epan,12,2,0.11684886971419275,0.08335521950697042,130,
exact,2021,epan,16,0,0.10062815415288524,0.07139680038909783,130,
exact,2021,epan,16,1,0.09857526420419431,0.0735009202696666,130,
exact,2021,epan,16,2,0.11350395772289815,0.07744219513599612,130,
exact,2021,epan,20,0,0.10192446447833794,0.07355014938676079,130,
exact,2021,epan,20,1,0.09735692568437829,0.0736354951437659,130,
exact,2021,epan,20,2,0.10878732188665811,0.07541292727049932,130,
exact,2021,epan,30,0,0.11292469792049842,0.08275232035455839,130,
exact,2021,epan,30,1,0.10243353126385242,0.07845422486657104,130,
exact,2021,epan,30,2,0.09727274016246146,0.0713558003344938,130,
exact,2021,median,2,0,0.1292362085642983,0.08694820425256355,130,
exact,2021,median,3,0,0.13330599175798388,0.08663060241274051,130,
exact,2021,median,4,0,0.1134539088882111,0.07813018563226078,130,
exact,2021,median,5,0,0.1134990958208913,0.07673045067374544,130,
exact,2021,median,6,0,0.11078184092792721,0.07383930802367948,130,
exact,2021,median,8,0,0.10604724360619144,0.07195704558853712,130,
exact,2021,median,10,0,0.10649568534254848,0.07177874473370957,130,
exact,2021,median,12,0,0.10786274969786078,0.07248569949382914,130,
exact,2021,median,16,0,0.11587841119177511,0.07808060183714319,130,
exact,2021,median,20,0,0.12220118200632217,0.08247966138037131,130,
exact,2021,median,30,0,0.14063785854064473,0.09784490879565721,130,
exact,2022,gauss,2,0,0.08413089937795806,0.05879213805816585,192,
exact,2022,gauss,2,1,0.0857785789116745,0.05956618724768386,192,
exact,2022,gauss,2,2,0.09191926846258269,0.06526025807616542,192,
exact,2022,gauss,3,0,0.08033869186775877,0.05682278705442998,192,
exact,2022,gauss,3,1,0.08134260386809719,0.05704145639075214,192,
exact,2022,gauss,3,2,0.09104748565724263,0.0631131037123827,192,
exact,2022,gauss,4,0,0.07806601231772821,0.056319883246399645,192,
exact,2022,gauss,4,1,0.07994524681981184,0.05681157969732581,192,
exact,2022,gauss,4,2,0.08567289856353105,0.059535071382996546,192,
exact,2022,gauss,5,0,0.07702735113300214,0.056042412392324346,192,
exact,2022,gauss,5,1,0.07826591056732071,0.05618582806804343,192,
exact,2022,gauss,5,2,0.08339704131921874,0.05848692854594475,192,
exact,2022,gauss,6,0,0.0765789972055125,0.055961870522482,192,
exact,2022,gauss,6,1,0.07699146206787762,0.055784723102400326,192,
exact,2022,gauss,6,2,0.0820535632978955,0.057669692282267766,192,
exact,2022,gauss,8,0,0.07671047451729143,0.05702807637635432,192,
exact,2022,gauss,8,1,0.07570060542354634,0.055835334240690905,192,
exact,2022,gauss,8,2,0.07936165883197839,0.05652357863797286,192,
exact,2022,gauss,10,0,0.07821466733622147,0.05886151098642225,192,
exact,2022,gauss,10,1,0.07636243499060591,0.057026716696133815,192,
exact,2022,gauss,10,2,0.07702318479906,0.055677897088706595,192,
exact,2022,gauss,12,0,0.08081562651159402,0.061488081499512154,192,
exact,2022,gauss,12,1,0.07846039698510335,0.058877038582613235,192,
exact,2022,gauss,12,2,0.07611489946909471,0.055648027148460115,192,
exact,2022,gauss,16,0,0.08786576749299571,0.06720634066580872,192,
exact,2022,gauss,16,1,0.08436652193670229,0.06405590134269014,192,
exact,2022,gauss,16,2,0.07750047127342637,0.05711589289331057,192,
exact,2022,gauss,20,0,0.09590560021362116,0.07409744362892695,192,
exact,2022,gauss,20,1,0.09076060869641149,0.07016275752575744,192,
exact,2022,gauss,20,2,0.0810356279805853,0.060196534557646376,192,
exact,2022,gauss,30,0,0.11510602455572358,0.09058062406265817,192,
exact,2022,gauss,30,1,0.10601580359153924,0.08409420600824973,192,
exact,2022,gauss,30,2,0.09232257496522157,0.07056251895035583,192,
exact,2022,tricube,2,0,0.09123630589176245,0.06384207829428307,192,
exact,2022,tricube,2,1,0.09123630589176245,0.06384207829428308,192,
exact,2022,tricube,2,2,0.09123630589176245,0.06384207829428308,192,
exact,2022,tricube,3,0,0.09000728502253176,0.06298564799459916,192,
exact,2022,tricube,3,1,0.09277114619311608,0.06680637208525825,192,
exact,2022,tricube,3,2,0.0958379913252872,0.06885257750356145,192,
exact,2022,tricube,4,0,0.08765266987727309,0.06132067746172631,192,
exact,2022,tricube,4,1,0.08959951486056678,0.06322578699381004,192,
exact,2022,tricube,4,2,0.09589769171280971,0.06804059600184144,192,
exact,2022,tricube,5,0,0.08536997587253727,0.05969692185714338,192,
exact,2022,tricube,5,1,0.0902572998384232,0.0631766257604859,192,
exact,2022,tricube,5,2,0.09637608804447635,0.06821013832905136,192,
exact,2022,tricube,6,0,0.08347789581217095,0.05838142638680108,192,
exact,2022,tricube,6,1,0.08640156375545345,0.06085316181469328,192,
exact,2022,tricube,6,2,0.08892968397049267,0.06444955620944084,192,
exact,2022,tricube,8,0,0.0803835096162234,0.05716098542194895,192,
exact,2022,tricube,8,1,0.08363094873756147,0.059236368210476675,192,
exact,2022,tricube,8,2,0.0871675698896656,0.06258428424729538,192,
exact,2022,tricube,10,0,0.07828904335154113,0.05658652411096222,192,
exact,2022,tricube,10,1,0.07996818892618052,0.056763449434394285,192,
exact,2022,tricube,10,2,0.0912598268434691,0.06370416475670108,192,
exact,2022,tricube,12,0,0.07717185715323033,0.0562290205118011,192,
exact,2022,tricube,12,1,0.07892211384450268,0.056562376724237674,192,
exact,2022,tricube,12,2,0.08879499309420029,0.0619837660034179,192,
exact,2022,tricube,16,0,0.07723412998425339,0.05631700836233746,192,
exact,2022,tricube,16,1,0.07792793320823048,0.0564990395519222,192,
exact,2022,tricube,16,2,0.08294908566329219,0.058597877441626596,192,
exact,2022,tricube,20,0,0.07735041585440283,0.05714166197807138,192,
exact,2022,tricube,20,1,0.07632972434604189,0.05607499394532319,192,
exact,2022,tricube,20,2,0.08181319376307176,0.05737019375184765,192,
exact,2022,tricube,30,0,0.08121644846407358,0.06144071352457519,192,
exact,2022,tricube,30,1,0.07815046507812193,0.058511408360667844,192,
exact,2022,tricube,30,2,0.0775334984301704,0.05623176375403963,192,
exact,2022,epan,2,0,0.09123630589176245,0.06384207829428308,192,
exact,2022,epan,2,1,0.09123630589176245,0.06384207829428307,192,
exact,2022,epan,2,2,0.09123630589176245,0.06384207829428307,192,
