tag,candidate,n,rmse,mae
exact2019,delta_z_w60_w0.350,249,0.07631038686569959,0.05872315712188716
exact2019,delta_z_w60_w0.375,249,0.07845694846624417,0.060620349787862404
exact2019,delta_z_w60_w0.400,249,0.08067023023091685,0.06256732116483715
exact2019,delta_z_w60_w0.425,249,0.08294489129666424,0.06454506852447525
exact2019,delta_z_w60_w0.450,249,0.0852760200921328,0.06655353669382781
exact2019,delta_z_w60_w0.475,249,0.08765911177467126,0.06858421977076479
exact2019,delta_z_w60_w0.500,249,0.09009004282009667,0.07061490284770179
exact2019,state_z_interp_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,state_z_interp_w0.025,249,0.05753220508772308,0.03971080803298007
exact2019,state_z_interp_w0.050,249,0.05797382227203708,0.04008109740877945
exact2019,state_z_interp_w0.075,249,0.058503859010259514,0.040626156816170066
exact2019,state_z_interp_w0.100,249,0.05911993718741229,0.041227549260855444
exact2019,state_z_interp_w0.125,249,0.05981939844802432,0.04189292258390616
exact2019,state_z_interp_w0.150,249,0.060599355541227376,0.042650274223372094
exact2019,state_z_interp_w0.175,249,0.06145674378804449,0.043499180125807974
exact2019,state_z_interp_w0.200,249,0.06238837091746566,0.04440327911760786
exact2019,state_z_interp_w0.225,249,0.06339096385234945,0.04535031076108935
exact2019,state_z_interp_w0.250,249,0.06446121139269059,0.046371822380067415
exact2019,state_z_interp_w0.275,249,0.06559580210642357,0.04741574736190815
exact2019,state_z_interp_w0.300,249,0.06679145706934152,0.04846358359577752
exact2019,state_z_interp_w0.325,249,0.06804495737815529,0.04952051670313378
exact2019,state_z_interp_w0.350,249,0.06935316658547695,0.05060407455454884
exact2019,state_z_interp_w0.375,249,0.07071304837128388,0.05172711051386238
exact2019,state_z_interp_w0.400,249,0.07212167987626758,0.05287846437553712
exact2019,state_z_interp_w0.425,249,0.07357626118578449,0.0541132543986548
exact2019,state_z_interp_w0.450,249,0.07507412147785282,0.05540570080187241
exact2019,state_z_interp_w0.475,249,0.07661272234395995,0.056700354670529696
exact2019,state_z_interp_w0.500,249,0.07818965876586662,0.058026475241516655
exact2019,delta_z_interp_w0.000,249,0.05718105612325281,0.039427367948714015
exact2019,delta_z_interp_w0.025,249,0.05753220508772309,0.03971080803298007
exact2019,delta_z_interp_w0.050,249,0.05797382227203708,0.04008109740877945
exact2019,delta_z_interp_w0.075,249,0.058503859010259514,0.040626156816170066
exact2019,delta_z_interp_w0.100,249,0.05911993718741229,0.04122754926085544
exact2019,delta_z_interp_w0.125,249,0.05981939844802433,0.04189292258390616
exact2019,delta_z_interp_w0.150,249,0.060599355541227376,0.042650274223372094
