lag_weight,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
0.375000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.100000000,0.061834507,0.062592735,-0.000758227,6,6,0.899461400,0.068861975,0.069829641,-0.000967665,3,3,0.685577408,0.061486957,0.062241735,-0.000754778,3,3,0.933862434,-0.000754778,-0.000826890,True
0.375000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.150000000,0.061836876,0.062592735,-0.000755858,6,6,0.899461400,0.068844072,0.069829641,-0.000985568,3,3,0.685577408,0.061487511,0.062241735,-0.000754224,3,3,0.933862434,-0.000754224,-0.000831884,True
0.375000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.100000000,0.061836614,0.062592735,-0.000756120,6,6,0.899461400,0.068866186,0.069829641,-0.000963455,3,3,0.685577408,0.061488124,0.062241735,-0.000753612,3,3,0.933862434,-0.000753612,-0.000824396,True
0.375000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.100000000,0.061835746,0.062592735,-0.000756988,6,6,0.899461400,0.068861679,0.069829641,-0.000967962,3,3,0.685577408,0.061488998,0.062241735,-0.000752738,3,3,0.933862434,-0.000752738,-0.000825896,True
0.400000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.100000000,0.061880695,0.062643363,-0.000762667,6,6,0.899461400,0.068968885,0.069937773,-0.000968888,3,3,0.685577408,0.061512048,0.062263258,-0.000751210,3,3,0.933862434,-0.000751210,-0.000827588,True
0.350000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.175000000,0.061805296,0.062555223,-0.000749927,6,6,0.899461400,0.068739412,0.069734860,-0.000995448,3,3,0.685577408,0.061471718,0.062232615,-0.000760896,3,3,0.933862434,-0.000749927,-0.000835424,True
0.350000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.175000000,0.061805298,0.062555223,-0.000749925,6,6,0.899461400,0.068738875,0.069734860,-0.000995985,3,3,0.685577408,0.061473313,0.062232615,-0.000759302,3,3,0.933862434,-0.000749925,-0.000835071,True
0.350000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.150000000,0.061805874,0.062555223,-0.000749350,6,6,0.899461400,0.068750626,0.069734860,-0.000984235,3,3,0.685577408,0.061475128,0.062232615,-0.000757487,3,3,0.933862434,-0.000749350,-0.000830357,True
0.375000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.100000000,0.061842067,0.062592735,-0.000750668,6,6,0.899461400,0.068874308,0.069829641,-0.000955332,3,3,0.685577408,0.061492497,0.062241735,-0.000749238,3,3,0.933862434,-0.000749238,-0.000818413,True
0.350000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.150000000,0.061806118,0.062555223,-0.000749105,6,6,0.899461400,0.068750068,0.069734860,-0.000984792,3,3,0.685577408,0.061476797,0.062232615,-0.000755817,3,3,0.933862434,-0.000749105,-0.000829905,True
0.400000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.125000000,0.061884722,0.062643363,-0.000758640,6,6,0.899461400,0.068964963,0.069937773,-0.000972810,3,3,0.685577408,0.061514540,0.062263258,-0.000748718,3,3,0.933862434,-0.000748718,-0.000826723,True
0.350000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.200000000,0.061807046,0.062555223,-0.000748177,6,6,0.899461400,0.068729607,0.069734860,-0.001005253,3,3,0.685577408,0.061472068,0.062232615,-0.000760546,3,3,0.933862434,-0.000748177,-0.000837992,True
0.350000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.200000000,0.061807288,0.062555223,-0.000747936,6,6,0.899461400,0.068730123,0.069734860,-0.001004737,3,3,0.685577408,0.061470550,0.062232615,-0.000762065,3,3,0.933862434,-0.000747936,-0.000838246,True
0.375000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.125000000,0.061841285,0.062592735,-0.000751449,6,6,0.899461400,0.068857488,0.069829641,-0.000972153,3,3,0.685577408,0.061493985,0.062241735,-0.000747750,3,3,0.933862434,-0.000747750,-0.000823784,True
0.375000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.100000000,0.061840331,0.062592735,-0.000752403,6,6,0.899461400,0.068865295,0.069829641,-0.000964346,3,3,0.685577408,0.061494245,0.062241735,-0.000747491,3,3,0.933862434,-0.000747491,-0.000821413,True
0.375000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.175000000,0.061845582,0.062592735,-0.000747152,6,6,0.899461400,0.068844087,0.069829641,-0.000985553,3,3,0.685577408,0.061494712,0.062241735,-0.000747024,3,3,0.933862434,-0.000747024,-0.000826576,True
0.375000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.200000000,0.061846065,0.062592735,-0.000746670,6,6,0.899461400,0.068834539,0.069829641,-0.000995102,3,3,0.685577408,0.061492642,0.062241735,-0.000749093,3,3,0.933862434,-0.000746670,-0.000830288,True
0.350000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.175000000,0.061808642,0.062555223,-0.000746581,6,6,0.899461400,0.068743869,0.069734860,-0.000990991,3,3,0.685577408,0.061473332,0.062232615,-0.000759282,3,3,0.933862434,-0.000746581,-0.000832285,True
0.350000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.175000000,0.061808647,0.062555223,-0.000746576,6,6,0.899461400,0.068742258,0.069734860,-0.000992602,3,3,0.685577408,0.061478114,0.062232615,-0.000754500,3,3,0.933862434,-0.000746576,-0.000831226,True
0.350000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.150000000,0.061808977,0.062555223,-0.000746247,6,6,0.899461400,0.068755103,0.069734860,-0.000979757,3,3,0.685577408,0.061476666,0.062232615,-0.000755949,3,3,0.933862434,-0.000746247,-0.000827318,True
0.350000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.125000000,0.061809019,0.062555223,-0.000746204,6,6,0.899461400,0.068763764,0.069734860,-0.000971096,3,3,0.685577408,0.061480777,0.062232615,-0.000751838,3,3,0.933862434,-0.000746204,-0.000823046,True
0.350000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.125000000,0.061809507,0.062555223,-0.000745717,6,6,0.899461400,0.068763186,0.069734860,-0.000971674,3,3,0.685577408,0.061482522,0.062232615,-0.000750093,3,3,0.933862434,-0.000745717,-0.000822494,True
0.350000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.150000000,0.061809710,0.062555223,-0.000745513,6,6,0.899461400,0.068753430,0.069734860,-0.000981430,3,3,0.685577408,0.061481674,0.062232615,-0.000750940,3,3,0.933862434,-0.000745513,-0.000825961,True
0.350000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.200000000,0.061810153,0.062555223,-0.000745071,6,6,0.899461400,0.068733011,0.069734860,-0.001001849,3,3,0.685577408,0.061476794,0.062232615,-0.000755820,3,3,0.933862434,-0.000745071,-0.000834247,True
0.350000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.200000000,0.061810876,0.062555223,-0.000744347,6,6,0.899461400,0.068734561,0.069734860,-0.001000299,3,3,0.685577408,0.061472239,0.062232615,-0.000760375,3,3,0.933862434,-0.000744347,-0.000835007,True
0.350000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.125000000,0.061811879,0.062555223,-0.000743344,6,6,0.899461400,0.068768261,0.069734860,-0.000966599,3,3,0.685577408,0.061482239,0.062232615,-0.000750376,3,3,0.933862434,-0.000743344,-0.000820106,True
0.375000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.150000000,0.061847667,0.062592735,-0.000745068,6,6,0.899461400,0.068855559,0.069829641,-0.000974082,3,3,0.685577408,0.061499021,0.062241735,-0.000742715,3,3,0.933862434,-0.000742715,-0.000820622,True
0.350000000,n16_c60_r125_k2,0.100000000,0.300000000,-0.125000000,0.061813341,0.062555223,-0.000741882,6,6,0.899461400,0.068766527,0.069734860,-0.000968333,3,3,0.685577408,0.061487474,0.062232615,-0.000745140,3,3,0.933862434,-0.000741882,-0.000818452,True
0.350000000,n16_c60_r125_k2,0.100000000,0.350000000,-0.100000000,0.061814734,0.062555223,-0.000740490,6,6,0.899461400,0.068778826,0.069734860,-0.000956034,3,3,0.685577408,0.061488666,0.062232615,-0.000743949,3,3,0.933862434,-0.000740490,-0.000813491,True
0.350000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.175000000,0.061815335,0.062555223,-0.000739888,6,6,0.899461400,0.068752246,0.069734860,-0.000982614,3,3,0.685577408,0.061478154,0.062232615,-0.000754461,3,3,0.933862434,-0.000739888,-0.000825655,True
0.350000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.175000000,0.061815343,0.062555223,-0.000739880,6,6,0.899461400,0.068749561,0.069734860,-0.000985299,3,3,0.685577408,0.061486123,0.062232615,-0.000746492,3,3,0.933862434,-0.000739880,-0.000823890,True
0.350000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.150000000,0.061815427,0.062555223,-0.000739797,6,6,0.899461400,0.068763499,0.069734860,-0.000971361,3,3,0.685577408,0.061481411,0.062232615,-0.000751204,3,3,0.933862434,-0.000739797,-0.000820787,True
0.350000000,n16_c60_r125_k2,0.100000000,0.325000000,-0.100000000,0.061815464,0.062555223,-0.000739760,6,6,0.899461400,0.068778227,0.069734860,-0.000956633,3,3,0.685577408,0.061490486,0.062232615,-0.000742128,3,3,0.933862434,-0.000739760,-0.000812840,True
0.400000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.100000000,0.061892472,0.062643363,-0.000750891,6,6,0.899461400,0.068980610,0.069937773,-0.000957163,3,3,0.685577408,0.061523924,0.062263258,-0.000739334,3,3,0.933862434,-0.000739334,-0.000815796,True
0.375000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.100000000,0.061848261,0.062592735,-0.000744474,6,6,0.899461400,0.068872824,0.069829641,-0.000956816,3,3,0.685577408,0.061502698,0.062241735,-0.000739037,3,3,0.933862434,-0.000739037,-0.000813442,True
0.350000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.200000000,0.061816606,0.062555223,-0.000738617,6,6,0.899461400,0.068740335,0.069734860,-0.000994525,3,3,0.685577408,0.061484728,0.062232615,-0.000747887,3,3,0.933862434,-0.000738617,-0.000827010,True
0.350000000,n16_c60_r125_k2,0.100000000,0.275000000,-0.150000000,0.061816649,0.062555223,-0.000738574,6,6,0.899461400,0.068760711,0.069734860,-0.000974149,3,3,0.685577408,0.061489758,0.062232615,-0.000742856,3,3,0.933862434,-0.000738574,-0.000818527,True
0.350000000,n16_c60_r125_k2,0.100000000,0.375000000,-0.100000000,0.061817351,0.062555223,-0.000737873,6,6,0.899461400,0.068783342,0.069734860,-0.000951518,3,3,0.685577408,0.061490052,0.062232615,-0.000742562,3,3,0.933862434,-0.000737873,-0.000810651,True
0.350000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.200000000,0.061817812,0.062555223,-0.000737412,6,6,0.899461400,0.068742918,0.069734860,-0.000991942,3,3,0.685577408,0.061477137,0.062232615,-0.000755478,3,3,0.933862434,-0.000737412,-0.000828277,True
0.350000000,n16_c60_r125_k2,0.100000000,0.400000000,-0.125000000,0.061818086,0.062555223,-0.000737137,6,6,0.899461400,0.068776676,0.069734860,-0.000958184,3,3,0.685577408,0.061486909,0.062232615,-0.000745706,3,3,0.933862434,-0.000737137,-0.000813676,True
0.375000000,n16_c60_r125_k2,0.100000000,0.250000000,-0.125000000,0.061852318,0.062592735,-0.000740417,6,6,0.899461400,0.068868951,0.069829641,-0.000960689,3,3,0.685577408,0.061505569,0.062241735,-0.000736166,3,3,0.933862434,-0.000736166,-0.000812424,True
