rmse,w,ao_rmse_mean,year_rmse_mean,a,b
0.0618179269763302,0.048713308140040476,0.05128511878177438,0.06172118420239542,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_new25_05_submission.csv
0.06181825753995056,0.046445212197692584,0.05128762376256612,0.06172089846980165,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_trainaug_new25_00_submission.csv
0.06181889323365679,0.3091991909763866,0.051281257074187556,0.0617055677542863,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_20260905_submission.csv
0.061819096682277475,0.040783283423730755,0.05129297679398871,0.0617229683069417,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_shock_global15_submission.csv
0.061820610104691094,0.09576999353154053,0.051323238480766184,0.061714799743904356,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_20260905_submission.csv
0.061820664924636476,0.2922280541271095,0.051284322895875006,0.061685813565686164,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_v2_20260905_submission.csv
0.061822026261151644,0.0,0.05133421948306403,0.061717394023536466,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_localgamma006_v1_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_v2_20260905_submission.csv
0.061827751899136335,0.23310151917827956,0.05108681267324855,0.06181874060154491,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_localpeer_r8_a020_shock175_diag_submission.csv
0.06183670486737667,0.29346958806606804,0.05103458891527122,0.06181517543905071,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w010_hgb_sqclip_w016_v2_20260905_submission.csv,model_dani_source_expert_route_v2_cohort_year_dist_localpeer_r8_a020_submission.csv
0.06184441487635851,0.02549527195487023,0.05134965706063817,0.06172870227083114,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_paired_n12_c40_r100_k2_w008_20260905_submission.csv,model_dani_source_expert_route_v2_trainaug_r2_cyd_v1_localpeer_w16_r4_mean_a025_submission.csv
