held_seed,feature,alpha,n,coverage,rmse,base_rmse,delta
1,date_resmean,0.1544676253,2644,0.9988653555,0.0625609403,0.0630224991,-0.0004615588
1,crop_resmean,0.1729578948,2644,0.9935703480,0.0623631889,0.0630224991,-0.0006593101
2,r1_all_resmed,0.1356149012,2644,0.8426626324,0.0645144743,0.0651400880,-0.0006256137
2,r1_all_resmean,0.1356149012,2644,0.8426626324,0.0645144743,0.0651400880,-0.0006256137
2,r1_all_rawmed,0.1352861585,2644,0.8426626324,0.0645233181,0.0651400880,-0.0006167699
2,r1_all_s2_resmed,0.1398035109,2644,0.3755673222,0.0649383320,0.0651400880,-0.0002017560
2,r1_all_landsat_resmed,0.1517119369,2644,0.3332072617,0.0647287792,0.0651400880,-0.0004113088
2,r1_all_modis_resmed,0.1008282367,2644,0.1524205749,0.0650662970,0.0651400880,-0.0000737910
2,r1_crop_resmed,0.1384569979,2644,0.8343419062,0.0644931703,0.0651400880,-0.0006469177
2,r1_crop_resmean,0.1384569979,2644,0.8343419062,0.0644931703,0.0651400880,-0.0006469177
2,r1_crop_rawmed,0.1383189816,2644,0.8343419062,0.0645022762,0.0651400880,-0.0006378118
2,r1_crop_s2_resmed,0.1497310478,2644,0.3710287443,0.0649539916,0.0651400880,-0.0001860964
2,r1_crop_landsat_resmed,0.1599564436,2644,0.3290468986,0.0647428818,0.0651400880,-0.0003972062
2,r1_crop_modis_resmed,0.1011978509,2644,0.1478819970,0.0650398555,0.0651400880,-0.0001002325
2,r2_all_resmed,0.1532927996,2644,0.9735249622,0.0647077172,0.0651400880,-0.0004323708
2,r2_all_resmean,0.1552459012,2644,0.9735249622,0.0645849123,0.0651400880,-0.0005551757
2,r2_all_rawmed,0.1507846450,2644,0.9735249622,0.0647070392,0.0651400880,-0.0004330488
2,r2_all_s2_resmed,0.1625272931,2644,0.4591527988,0.0649853390,0.0651400880,-0.0001547490
2,r2_all_landsat_resmed,0.1444682594,2644,0.4073373676,0.0647173451,0.0651400880,-0.0004227429
2,r2_all_modis_resmed,0.0721341220,2644,0.1807866868,0.0651272595,0.0651400880,-0.0000128285
2,r2_crop_resmed,0.1468479171,2644,0.9663388805,0.0646762090,0.0651400880,-0.0004638790
2,r2_crop_resmean,0.1504779765,2644,0.9663388805,0.0645699751,0.0651400880,-0.0005701129
