candidate,seed,group,n,rmse,baseline_rmse,delta_rmse
c80_hist_0.10_shock10_state05,0,source=Landsat,1169,0.0792533594,0.0791212725,0.0001320868
c80_hist_0.10_shock10_state05,1,source=Landsat,1159,0.0545034568,0.0546590113,-0.0001555545
c80_hist_0.10_shock10_state05,0,source=MODIS,589,0.0717969605,0.0726122323,-0.0008152718
c80_hist_0.10_shock10_state05,1,source=MODIS,604,0.0652090957,0.0656005173,-0.0003914216
c80_hist_0.10_shock10_state05,0,source=S2,886,0.0592160027,0.0593349125,-0.0001189099
c80_hist_0.10_shock10_state05,1,source=S2,881,0.0750769070,0.0748604253,0.0002164817
c80_hist_0.10_shock10_state05,70404,source=nan,2644,0.0695682934,0.0698641263,-0.0002958330
c80_hist_0.10_shock10_state05,0,distance_bin=0-7,2468,0.0709376995,0.0711236582,-0.0001859587
c80_hist_0.10_shock10_state05,1,distance_bin=0-7,2447,0.0648125472,0.0648530547,-0.0000405075
c80_hist_0.10_shock10_state05,0,distance_bin=17-32,12,0.1079068946,0.1080307797,-0.0001238850
c80_hist_0.10_shock10_state05,1,distance_bin=17-32,6,0.0822451627,0.0822451627,0.0000000000
c80_hist_0.10_shock10_state05,0,distance_bin=8-16,164,0.0751615543,0.0748306566,0.0003308977
c80_hist_0.10_shock10_state05,1,distance_bin=8-16,191,0.0586710843,0.0590782712,-0.0004071869
c80_hist_0.10_shock10_state05,70404,distance_bin=nan,2644,0.0695682934,0.0698641263,-0.0002958330
c80_hist_0.12,0,all,2644,0.0713984926,0.0715691565,-0.0001706639
c80_hist_0.12,1,all,2644,0.0645052470,0.0644982523,0.0000069947
c80_hist_0.12,70404,all,2644,0.0695980948,0.0698641263,-0.0002660315
c80_hist_0.12,0,history,1888,0.0780186428,0.0783223811,-0.0003037383
c80_hist_0.12,1,history,1888,0.0679752983,0.0680570784,-0.0000817801
c80_hist_0.12,70404,history,1888,0.0641089380,0.0645352640,-0.0004263260
c80_hist_0.12,0,2025,756,0.0512586762,0.0509332310,0.0003254451
c80_hist_0.12,1,2025,756,0.0548895012,0.0546069512,0.0002825500
c80_hist_0.12,70404,2025,756,0.0817116904,0.0816675643,0.0000441261
c80_hist_0.12,0,new,2267,0.0746859758,0.0749224715,-0.0002364957
c80_hist_0.12,1,new,2267,0.0665342135,0.0665045729,0.0000296406
c80_hist_0.12,70404,new,2267,0.0713666245,0.0716176482,-0.0002510237
c80_hist_0.12,0,shared,377,0.0470092968,0.0465642964,0.0004450004
c80_hist_0.12,1,shared,377,0.0506177107,0.0507891398,-0.0001714291
c80_hist_0.12,70404,shared,377,0.0578341307,0.0582164708,-0.0003823400
c80_hist_0.12,0,new2025,379,0.0551618184,0.0549354761,0.0002263422
