seed,radius,method,pred,n,rmse,coverage
0,4,mean,b40_d_0.01,2644,0.07075505748548913,0.9931921331316188
0,4,mean,b40_d_0.02,2644,0.07077049890684561,0.9931921331316188
0,4,mean,b40_d_0.03,2644,0.07082422593694411,0.9931921331316188
0,4,mean,b40_d_0.05,2644,0.07104612749853266,0.9931921331316188
0,4,mean,b40_d_0.1,2644,0.07225747200198546,0.9931921331316188
0,4,median,route,2644,0.07044685785728165,0.9931921331316188
0,4,median,direct,2644,0.18561694577925938,0.9931921331316188
0,4,median,r_plus_d_-0.2,2644,0.07926269269828791,0.9931921331316188
0,4,median,r_plus_d_-0.1,2644,0.07295147302643973,0.9931921331316188
0,4,median,r_plus_d_-0.05,2644,0.07118392496947001,0.9931921331316188
0,4,median,r_plus_d_-0.03,2644,0.07076262880329082,0.9931921331316188
0,4,median,r_plus_d_-0.02,2644,0.07061495136820038,0.9931921331316188
0,4,median,r_plus_d_-0.01,2644,0.0705096310608502,0.9931921331316188
0,4,median,r_plus_d_0,2644,0.07044685785728165,0.9931921331316188
0,4,median,r_plus_d_0.01,2644,0.07042674552763177,0.9931921331316188
0,4,median,r_plus_d_0.02,2644,0.07044933060921506,0.9931921331316188
0,4,median,r_plus_d_0.03,2644,0.07051457207543767,0.9931921331316188
0,4,median,r_plus_d_0.05,2644,0.07077247516119588,0.9931921331316188
0,4,median,r_plus_d_0.08,2644,0.071473864060956,0.9931921331316188
0,4,median,r_plus_d_0.1,2644,0.07214638971905153,0.9931921331316188
0,4,median,r_plus_d_0.15,2644,0.07451063487259774,0.9931921331316188
0,4,median,r_plus_d_0.2,2644,0.07777494917590769,0.9931921331316188
0,4,median,b40_d_-0.1,2644,0.0732613981604927,0.9931921331316188
0,4,median,b40_d_-0.05,2644,0.07150885257856061,0.9931921331316188
0,4,median,b40_d_-0.03,2644,0.07109113670327709,0.9931921331316188
0,4,median,b40_d_-0.02,2644,0.07094469325331985,0.9931921331316188
0,4,median,b40_d_-0.01,2644,0.07084022797106958,0.9931921331316188
0,4,median,b40_d_0,2644,0.07077792673087005,0.9931921331316188
0,4,median,b40_d_0.01,2644,0.07075790090717468,0.9931921331316188
0,4,median,b40_d_0.02,2644,0.07078018638291746,0.9931921331316188
0,4,median,b40_d_0.03,2644,0.07084474322879121,0.9931921331316188
0,4,median,b40_d_0.05,2644,0.0711001350637573,0.9931921331316188
0,4,median,b40_d_0.1,2644,0.07246143028118252,0.9931921331316188
0,8,mean,route,2644,0.07044685785728165,0.9950832072617246
0,8,mean,direct,2644,0.1765430160970212,0.9950832072617246
