experiment,held_seed,alpha_local,alpha_shock,alpha_date,n,coverage,rmse,base_rmse,alpha_state,delta
local_fixed,1,0.0250000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0627682537,0.0630224990,,-0.0002542454
local_fixed,1,0.0500000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0625474849,0.0630224990,,-0.0004750141
local_fixed,1,0.0750000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0623605482,0.0630224990,,-0.0006619508
local_fixed,1,0.1000000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0622077487,0.0630224990,,-0.0008147504
local_fixed,1,0.1250000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0620893383,0.0630224990,,-0.0009331607
local_fixed,1,0.1500000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0620055140,0.0630224990,,-0.0010169850
local_fixed,1,0.1750000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0619564164,0.0630224990,,-0.0010660827
local_fixed,1,0.2000000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0619421278,0.0630224990,,-0.0010803712
local_fixed,1,0.2250000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0619626725,0.0630224990,,-0.0010598266
local_fixed,1,0.2500000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0620180157,0.0630224990,,-0.0010044833
local_fixed,1,0.2750000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0621080645,0.0630224990,,-0.0009144345
local_fixed,1,0.3000000000,0.0000000000,0.0000000000,2644,0.9897881997,0.0622326682,0.0630224990,,-0.0007898308
local_loo,1,0.1964517673,0.0000000000,0.0000000000,2644,0.9897881997,0.0619420346,0.0630224990,0.0000000000,-0.0010804644
local_cropshock_loo,1,0.2412711208,-0.0856797406,0.0000000000,2644,0.9897881997,0.0619659047,0.0630224990,0.0000000000,-0.0010565943
local_dateshock_loo,1,0.2253696650,0.0000000000,-0.0662431242,2644,0.9897881997,0.0619291924,0.0630224990,0.0000000000,-0.0010933066
local_jointshock_loo,1,0.2425264871,-0.0764244498,-0.0139662187,2644,0.9897881997,0.0619611872,0.0630224990,0.0000000000,-0.0010613118
local_crop_state_loo,1,0.2414412525,-0.0844250296,0.0000000000,2644,0.9897881997,0.0619714685,0.0630224990,-0.0628804730,-0.0010510305
local_fixed,2,0.0000000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0651400878,0.0651400878,,0.0000000000
local_fixed,2,0.0250000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0649147541,0.0651400878,,-0.0002253338
local_fixed,2,0.0500000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0647191821,0.0651400878,,-0.0004209057
local_fixed,2,0.0750000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0645536425,0.0651400878,,-0.0005864454
local_fixed,2,0.1000000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0644183666,0.0651400878,,-0.0007217212
local_fixed,2,0.1250000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0643135456,0.0651400878,,-0.0008265423
local_fixed,2,0.1500000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0642393284,0.0651400878,,-0.0009007595
local_fixed,2,0.1750000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0641958212,0.0651400878,,-0.0009442666
local_fixed,2,0.2000000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0641830865,0.0651400878,,-0.0009570013
local_fixed,2,0.2250000000,0.0000000000,0.0000000000,2644,0.9924357035,0.0642011426,0.0651400878,,-0.0009389452
