seed,method,alpha,n,rmse
2,soft_crop_r1_l1_p1,0.6500000000,2644,0.0658770519
2,soft_crop_r1_l1_p1,0.7000000000,2644,0.0659342798
2,soft_crop_r1_l1_p1,0.7500000000,2644,0.0660098673
2,soft_crop_r1_l1_p1,0.8000000000,2644,0.0661037512
2,soft_crop_r1_l1_p2,0.0000000000,2644,0.0668046092
2,soft_crop_r1_l1_p2,0.0500000000,2644,0.0665753927
2,soft_crop_r1_l1_p2,0.1000000000,2644,0.0663680250
2,soft_crop_r1_l1_p2,0.1500000000,2644,0.0661827118
2,soft_crop_r1_l1_p2,0.2000000000,2644,0.0660196385
2,soft_crop_r1_l1_p2,0.2500000000,2644,0.0658789705
2,soft_crop_r1_l1_p2,0.3000000000,2644,0.0657608515
2,soft_crop_r1_l1_p2,0.3500000000,2644,0.0656654032
2,soft_crop_r1_l1_p2,0.4000000000,2644,0.0655927245
2,soft_crop_r1_l1_p2,0.4500000000,2644,0.0655428912
2,soft_crop_r1_l1_p2,0.5000000000,2644,0.0655159554
2,soft_crop_r1_l1_p2,0.5500000000,2644,0.0655119454
2,soft_crop_r1_l1_p2,0.6000000000,2644,0.0655308654
2,soft_crop_r1_l1_p2,0.6500000000,2644,0.0655726955
2,soft_crop_r1_l1_p2,0.7000000000,2644,0.0656373919
2,soft_crop_r1_l1_p2,0.7500000000,2644,0.0657248871
2,soft_crop_r1_l1_p2,0.8000000000,2644,0.0658350902
2,soft_crop_r1_l1_p4,0.0000000000,2644,0.0668046092
2,soft_crop_r1_l1_p4,0.0500000000,2644,0.0665462321
2,soft_crop_r1_l1_p4,0.1000000000,2644,0.0663128124
2,soft_crop_r1_l1_p4,0.1500000000,2644,0.0661046145
2,soft_crop_r1_l1_p4,0.2000000000,2644,0.0659218773
2,soft_crop_r1_l1_p4,0.2500000000,2644,0.0657648132
2,soft_crop_r1_l1_p4,0.3000000000,2644,0.0656336063
2,soft_crop_r1_l1_p4,0.3500000000,2644,0.0655284121
2,soft_crop_r1_l1_p4,0.4000000000,2644,0.0654493559
2,soft_crop_r1_l1_p4,0.4500000000,2644,0.0653965326
2,soft_crop_r1_l1_p4,0.5000000000,2644,0.0653700057
2,soft_crop_r1_l1_p4,0.5500000000,2644,0.0653698073
2,soft_crop_r1_l1_p4,0.6000000000,2644,0.0653959376
2,soft_crop_r1_l1_p4,0.6500000000,2644,0.0654483650
2,soft_crop_r1_l1_p4,0.7000000000,2644,0.0655270265
2,soft_crop_r1_l1_p4,0.7500000000,2644,0.0656318277
2,soft_crop_r1_l1_p4,0.8000000000,2644,0.0657626436
2,soft_all_r1_l0_p1,0.0000000000,2644,0.0668046092
2,soft_all_r1_l0_p1,0.0500000000,2644,0.0665542904
2,soft_all_r1_l0_p1,0.1000000000,2644,0.0663288035
2,soft_all_r1_l0_p1,0.1500000000,2644,0.0661284026
2,soft_all_r1_l0_p1,0.2000000000,2644,0.0659533164
2,soft_all_r1_l0_p1,0.2500000000,2644,0.0658037470
2,soft_all_r1_l0_p1,0.3000000000,2644,0.0656798686
2,soft_all_r1_l0_p1,0.3500000000,2644,0.0655818269
2,soft_all_r1_l0_p1,0.4000000000,2644,0.0655097378
2,soft_all_r1_l0_p1,0.4500000000,2644,0.0654636872
2,soft_all_r1_l0_p1,0.5000000000,2644,0.0654437299
2,soft_all_r1_l0_p1,0.5500000000,2644,0.0654498898
2,soft_all_r1_l0_p1,0.6000000000,2644,0.0654821596
2,soft_all_r1_l0_p1,0.6500000000,2644,0.0655405007
2,soft_all_r1_l0_p1,0.7000000000,2644,0.0656248436
2,soft_all_r1_l0_p1,0.7500000000,2644,0.0657350881
2,soft_all_r1_l0_p1,0.8000000000,2644,0.0658711043
2,soft_all_r1_l0_p2,0.0000000000,2644,0.0668046092
2,soft_all_r1_l0_p2,0.0500000000,2644,0.0665396324
2,soft_all_r1_l0_p2,0.1000000000,2644,0.0663008487
2,soft_all_r1_l0_p2,0.1500000000,2644,0.0660885421
2,soft_all_r1_l0_p2,0.2000000000,2644,0.0659029686
2,soft_all_r1_l0_p2,0.2500000000,2644,0.0657443544
2,soft_all_r1_l0_p2,0.3000000000,2644,0.0656128950
2,soft_all_r1_l0_p2,0.3500000000,2644,0.0655087541
2,soft_all_r1_l0_p2,0.4000000000,2644,0.0654320619
2,soft_all_r1_l0_p2,0.4500000000,2644,0.0653829151
2,soft_all_r1_l0_p2,0.5000000000,2644,0.0653613759
2,soft_all_r1_l0_p2,0.5500000000,2644,0.0653674714
2,soft_all_r1_l0_p2,0.6000000000,2644,0.0654011941
2,soft_all_r1_l0_p2,0.6500000000,2644,0.0654625011
2,soft_all_r1_l0_p2,0.7000000000,2644,0.0655513152
2,soft_all_r1_l0_p2,0.7500000000,2644,0.0656675246
2,soft_all_r1_l0_p2,0.8000000000,2644,0.0658109843
2,soft_all_r1_l0_p4,0.0000000000,2644,0.0668046092
2,soft_all_r1_l0_p4,0.0500000000,2644,0.0665348039
2,soft_all_r1_l0_p4,0.1000000000,2644,0.0662922847
2,soft_all_r1_l0_p4,0.1500000000,2644,0.0660773521
2,soft_all_r1_l0_p4,0.2000000000,2644,0.0658902760
2,soft_all_r1_l0_p4,0.2500000000,2644,0.0657312944
2,soft_all_r1_l0_p4,0.3000000000,2644,0.0656006114
2,soft_all_r1_l0_p4,0.3500000000,2644,0.0654983964
2,soft_all_r1_l0_p4,0.4000000000,2644,0.0654247829
2,soft_all_r1_l0_p4,0.4500000000,2644,0.0653798675
2,soft_all_r1_l0_p4,0.5000000000,2644,0.0653637093
2,soft_all_r1_l0_p4,0.5500000000,2644,0.0653763297
2,soft_all_r1_l0_p4,0.6000000000,2644,0.0654177120
2,soft_all_r1_l0_p4,0.6500000000,2644,0.0654878017
2,soft_all_r1_l0_p4,0.7000000000,2644,0.0655865067
2,soft_all_r1_l0_p4,0.7500000000,2644,0.0657136981
2,soft_all_r1_l0_p4,0.8000000000,2644,0.0658692109
2,soft_all_r1_l0.25_p1,0.0000000000,2644,0.0668046092
2,soft_all_r1_l0.25_p1,0.0500000000,2644,0.0665820982
